Status, Fx, Fy, Fz, Tx, Ty, Tz, Time
 0x00000000, -12164689, -5117347, -27501046, 77464, 186528, -264478,154.459960938
 0x00000000, -12159592, -5113447, -27515136, 77408, 186451, -264483,230.916992188
 0x00000000, -12167599, -5116706, -27492944, 77496, 186457, -264638,306.743896484
 0x00000000, -12168436, -5120612, -27497860, 77410, 186564, -264492,383.370117188
 0x00000000, -12173163, -5120746, -27491524, 77383, 186443, -264426,459.392822266
 0x00000000, -12173446, -5134060, -27499148, 77499, 186388, -264611,536.055908203
 0x00000000, -12170495, -5115108, -27492870, 77481, 186453, -264421,613.305908203
 0x00000000, -12162769, -5125558, -27496890, 77205, 186481, -264270,690.108886719
 0x00000000, -12163923, -5123055, -27496482, 77506, 186319, -264146,766.439941406
 0x00000000, -12161067, -5121979, -27484224, 77393, 186321, -264463,843.579833984
 0x00000000, -12165031, -5121795, -27487258, 77707, 186528, -264420,920.092041016
 0x00000000, -12171321, -5129548, -27482100, 77340, 186567, -264379,996.652099609
 0x00000000, -12168917, -5123254, -27490078, 77437, 186551, -264568,1073.14111328
 0x00000000, -12174070, -5127464, -27492614, 77297, 186393, -264391,1152.86376953
 0x00000000, -12166386, -5123306, -27494728, 77342, 186527, -264365,1231.17114258
 0x00000000, -12171099, -5119543, -27480168, 77742, 186529, -264388,1307.72705078
 0x00000000, -12163175, -5123819, -27489914, 77383, 186362, -264298,1383.97583008
 0x00000000, -12166430, -5119911, -27485360, 77605, 186623, -263947,1460.31494141
 0x00000000, -12168931, -5123811, -27486864, 77587, 186404, -264327,1536.32788086
 0x00000000, -12169346, -5119694, -27480492, 77617, 186396, -264383,1612.4140625
 0x00000000, -12171839, -5127439, -27488172, 77368, 186347, -264595,1688.75097656
 0x00000000, -12168729, -5120724, -27482240, 77490, 186393, -264183,1765.5168457
 0x00000000, -12165636, -5118653, -27485340, 77631, 186729, -264316,1841.77709961
 0x00000000, -12174058, -5123571, -27478160, 77752, 186509, -264425,1918.40087891
 0x00000000, -12164398, -5126663, -27493372, 77700, 186220, -264394,1994.4050293
 0x00000000, -12165907, -5129469, -27492024, 77456, 186396, -264360,2070.74707031
 0x00000000, -12166037, -5122255, -27484892, 77741, 186463, -264217,2147.29296875
 0x00000000, -12167593, -5126642, -27491318, 77688, 186542, -264378,2227.88696289
 0x00000000, -12164106, -5122075, -27474156, 77541, 186323, -264514,2304.22192383
 0x00000000, -12171376, -5116148, -27483688, 77781, 186475, -264242,2380.76977539
 0x00000000, -12167151, -5121463, -27489014, 77522, 186575, -264635,2457.0769043
 0x00000000, -12165884, -5121212, -27477172, 77434, 186583, -264296,2534.37890625
 0x00000000, -12173219, -5125230, -27474530, 77680, 186474, -264492,2610.49780273
 0x00000000, -12166420, -5122138, -27482176, 77731, 186480, -264219,2686.71777344
 0x00000000, -12165345, -5120561, -27476340, 77781, 186659, -264163,2763.0300293
 0x00000000, -12169162, -5128724, -27490670, 77618, 186241, -264466,2839.02075195
 0x00000000, -12171175, -5131457, -27482852, 77410, 186299, -264522,2915.05078125
 0x00000000, -12167484, -5121956, -27473588, 77688, 186401, -264404,2991.1550293
 0x00000000, -12165583, -5122477, -27473124, 77749, 186451, -264420,3067.47583008
