encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,2612,7811,2387,-92,106,338,151,0
0,4450,1645,-3545,-140,-195,214,300,0
0,-962,11045,-1710,-192,-189,26,451,0
0,9562,2989,-8780,-99,-190,122,604,0
0,2366,3008,2788,-189,-84,205,757,0
0,6176,5249,-8935,-89,-194,136,917,0
0,3002,2956,-5265,112,161,206,1069,0
0,-1352,-639,-8262,-147,-200,-66,1220,0
0,2780,6381,-2188,93,-213,326,1372,0
0,5998,7327,-5807,38,13,-42,1524,0
0,14942,2872,-5130,49,-165,-191,1676,0
0,6950,6739,-5833,-91,-28,279,1828,0
0,3562,-6200,-10514,216,340,-31,1985,0
0,6866,4180,-6759,215,143,293,2139,0
0,-4808,7717,-3374,3,-31,82,2288,0
0,1354,-447,-4773,169,312,248,2441,0
0,186,13088,-10403,125,81,299,2595,0
0,-3174,8332,-7426,11,219,121,2746,0
0,10210,2656,-7159,331,158,-21,2898,0
0,-4094,6464,-8596,5,289,221,3053,0
0,-8014,10809,-15745,276,153,366,3205,0
17,-1962,8054,-10648,151,244,-89,3356,0
286,-9096,9588,-11512,129,477,307,3510,0
605,-10598,449,-2675,270,573,125,3661,0
1381,-10130,6710,-9456,152,594,213,4008,0
1779,-12806,-5146,-7568,222,598,-41,4173,0
2147,-16086,8909,-9286,248,368,101,4330,0
2562,-11814,3852,-13529,301,774,119,4487,0
2973,1432402,-450353,-43902,-21578,55485,6574,4646,0
3344,3549634,-1374950,-68617,-53850,136521,20805,4802,0
3714,5419118,-2454781,-212942,-82349,208061,32946,4960,0
4080,7257906,-3368338,-200122,-110501,277849,48844,5119,0
4466,9261958,-4258356,-106575,-140706,354552,66942,5278,0
4834,10423822,-5382750,-322946,-158952,398570,76446,5440,0
5233,11604110,-6868484,-799160,-176727,444148,81206,5600,0
5642,12701774,-6306548,-480442,-193352,485465,86152,5756,0
6034,14481246,-6933530,-504713,-220988,552805,95880,5913,0
6465,16390206,-7978038,-687092,-250024,625673,105349,6072,0
6884,18585478,-9231132,-823607,-283530,709147,120616,6232,-1
7355,20985378,-10958656,-1381089,-320342,800523,126653,6386,-1
7581,21965030,-10894888,-1262092,-335562,838079,131290,6545,-1
7587,22257218,-10764700,-1211318,-339825,848759,131120,6701,-1
7587,22372902,-10693400,-1137421,-341727,853447,133292,6856,-1
7588,22428134,-10640428,-1129778,-342945,855890,132181,7012,-1
7588,22466934,-10612992,-1112611,-343617,857485,132888,7170,-1
7588,22501934,-10581034,-1071334,-344093,858707,133549,7326,-1
7588,22508782,-10543784,-1080270,-344320,859579,133014,7481,-1
7588,22541190,-10518936,-1035985,-344848,860353,133994,7635,-1
7588,22571198,-10493524,-1062752,-344881,860763,132998,7793,-1
7573,23190142,-9918720,-747461,-355015,885012,136763,7948,-1
7407,23593698,-8973560,-541609,-362049,899305,131028,8103,-1
7143,23051166,-8333856,-514436,-354287,878561,121476,8259,-1
6857,21394862,-6964474,47154,-328950,814580,121515,8420,-1
6608,19944982,-5725644,404533,-307068,759128,115141,8574,0
6303,18355206,-4521044,862255,-282855,698467,114064,8732,0
6010,16807342,-3332171,1086518,-259390,639465,103033,8888,0
5669,15822574,-2493804,1084324,-244550,601347,89813,9041,0
5243,13456174,-1083740,765642,-208288,510448,54053,9195,0
4833,11029054,584518,873125,-171024,418357,31029,9350,0
4407,8789158,1129986,586925,-136396,333589,9899,9505,0
4017,6756118,944008,105059,-105103,256511,-6428,9664,0
3592,4424674,969662,-324475,-68923,167577,-24625,9823,0
3206,2571950,321412,-558489,-40133,97929,-24947,9977,0
2880,1784378,231789,-497630,-27895,68312,-21394,10132,0
2549,1137758,129155,-95735,-17341,43702,-4876,10286,0
2276,67230,-5740,-569,-1107,2716,-11,10442,0
2075,40090,-4617,-5582,-1088,1994,472,10595,0
1922,24632,-5412,-1610,-1003,1477,382,10751,0
1754,28666,-8051,-3042,-710,1433,173,10904,0
1529,21954,-876,-1018,-625,1213,284,11058,0
1317,19046,-6440,-1099,-682,940,604,11215,0
1109,18850,1422,-10690,-592,610,314,11369,0
902,510,-6064,-6814,-426,637,204,11522,0
711,9454,-2327,-5386,-465,534,251,11678,0
676,19048,86,-1847,-485,326,41,11835,0
596,5386,-1370,-4810,-564,394,51,11990,0
595,3080,6661,-664,-537,317,276,12143,0
595,12170,2386,-1662,-87,-55,26,12295,0
595,14832,-3316,-1483,-396,259,88,12451,0
594,26438,50,-9577,-182,216,89,12602,0
594,8898,-3047,-7802,-202,-37,12,12758,0
594,15814,2207,877,-195,-115,308,12914,0
