encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,-2836,-3382,-1780,13,107,-24,160,0
0,-2144,2030,69,359,107,262,321,0
0,1276,1418,-3863,-121,257,-4,480,0
0,6180,249,-6509,164,242,94,640,0
0,4688,4641,-1169,145,274,-7,848,0
0,-2944,2834,-3949,-9,221,456,1008,0
0,3304,10245,-5711,103,239,221,1167,0
0,-1968,5471,-6304,77,33,349,1327,0
0,-5692,4958,-1737,15,252,471,1496,0
0,-620,1026,-6315,-67,511,170,1655,0
7,3466,-8081,-4217,36,639,224,1814,0
319,-5194,-1641,-9164,-39,205,-60,1974,0
917,-2814,2220,-1223,-161,302,488,2134,0
1518,-7964,-12399,-9502,-328,468,315,2293,0
2095,-4704,1496,-6091,-319,366,399,2451,0
2683,-436,3800,-8756,-200,309,226,2608,0
3258,318828,-50143,29014,-5394,12236,2514,2767,0
3834,770756,-7279,99700,-13108,29619,4963,2938,0
4328,1201132,-126921,117883,-20318,45800,8141,3094,0
4876,1600304,-138693,139266,-26732,60744,8900,3251,0
5416,1974996,-364254,130779,-32989,74886,13272,3409,0
5956,2368092,-213514,220162,-39246,88839,14101,3568,0
6497,2763112,-247134,289315,-46233,104401,17723,3726,0
6979,3121866,-308006,336670,-52023,117260,20219,3881,0
7505,3456602,-317641,373244,-57868,129865,22365,4041,0
7986,3761230,-308461,420027,-63152,141051,24244,4197,0
8488,4049732,-384089,474043,-67880,152160,27021,4354,-1
8993,4346674,-463738,497778,-73059,162923,29830,4512,-1
9498,4593692,-627029,505313,-77252,172173,32868,4672,-1
10049,4847440,-677364,493711,-81465,181415,33833,4831,-1
10540,5027888,-362225,507091,-84364,188448,28789,4989,-1
11027,5207792,96199,528919,-87649,194691,21997,5143,-1
11516,5273292,-726738,171529,-88531,197439,22372,5301,-1
11999,5318576,-1523918,-97791,-89637,199776,25389,5457,-1
12454,5432780,-1129259,65390,-92008,204313,25588,5612,-1
12692,5487568,-1131707,79454,-92631,205798,25631,5767,-1
12692,5491316,-1091175,85572,-92333,205538,25337,5922,-1
12692,5479900,-1082916,74000,-92326,205845,25228,6082,-1
12692,5507440,-1042768,90952,-92842,206103,24797,6237,-1
12660,5917882,-2017937,-365967,-99634,221216,23736,6392,-1
12244,5661428,-12617,431661,-95737,211790,20471,6547,-1
11606,5479828,-87083,530263,-93010,204615,25644,6703,-1
10968,5217626,46238,615942,-88682,194909,26347,6859,-1
10013,4942068,46950,578014,-83887,184317,24746,7099,-1
9375,4303990,-306217,362941,-73330,161095,22073,7255,-1
8730,3941508,-529600,272817,-67286,147203,21985,7409,-1
8099,3584188,-946228,151835,-61125,134006,24488,7564,0
7462,3265864,-894712,100581,-56118,122740,21572,7719,0
6824,2857520,-1118799,-83941,-48872,107095,17628,7874,0
6188,2424324,-1159814,-153588,-41491,90595,15943,8028,0
5613,1930428,-865733,-182792,-33650,72473,9495,8183,0
4914,1579768,-436142,-150474,-27603,59079,3229,8339,0
4282,1221308,-375713,-187126,-21495,45474,137,8495,0
3645,818664,-95837,-169219,-14610,30281,-4038,8649,0
3071,402768,-14373,-113949,-7508,14988,-3340,8804,0
2434,51192,-7658,-5671,-1616,2122,214,8959,0
1794,7012,-8410,10524,-793,-226,547,9114,0
1099,5500,-4810,3937,-477,-37,129,9278,0
459,19924,275,-1891,-805,-72,237,9433,0
-179,16330,-2175,6349,-486,-243,657,9589,0
-751,-28,3867,6480,-567,-546,419,9747,0
-694,1836,9180,-4413,-732,-500,458,9899,0
-694,11290,1234,1257,-798,-441,379,10057,0
-694,19370,-2118,-2891,-592,-646,253,10211,0
-694,14552,8862,1033,-853,-847,258,10366,0
