Status: 0x00000000
Fx: -13305138
Fy: -7682585
Fz: -27002384
Tx: 84722
Ty: 176067
Tz: -217251
1646315891029
Status: 0x00000000
Fx: -13306326
Fy: -7681290
Fz: -26999556
Tx: 84691
Ty: 176039
Tz: -216988
1646315891193
Status: 0x00000000
Fx: -13312083
Fy: -7684244
Fz: -27011458
Tx: 84726
Ty: 176209
Tz: -217119
1646315891350
Status: 0x00000000
Fx: -13306234
Fy: -7675357
Fz: -26993836
Tx: 84823
Ty: 176162
Tz: -217101
1646315891512
Status: 0x00000000
Fx: -13301275
Fy: -7681780
Fz: -26998748
Tx: 84738
Ty: 176382
Tz: -217094
1646315891670
Status: 0x00000000
Fx: -13301455
Fy: -7679066
Fz: -26996730
Tx: 84506
Ty: 176106
Tz: -216955
1646315891827
Status: 0x00000000
Fx: -13305393
Fy: -7682792
Fz: -27006304
Tx: 84447
Ty: 176107
Tz: -217101
1646315891984
Status: 0x00000000
Fx: -13297321
Fy: -7673436
Fz: -27006110
Tx: 84804
Ty: 176032
Tz: -217030
1646315892151
Status: 0x00000000
Fx: -13295049
Fy: -7675118
Fz: -27010638
Tx: 84687
Ty: 176000
Tz: -216962
1646315892309
Status: 0x00000000
Fx: -13306336
Fy: -7686617
Fz: -27017530
Tx: 84569
Ty: 176401
Tz: -217191
1646315892465
Status: 0x00000000
Fx: -13300225
Fy: -7670646
Fz: -27019234
Tx: 84776
Ty: 175920
Tz: -217137
1646315892631
Status: 0x00000000
Fx: -13305387
Fy: -7681216
Fz: -27012124
Tx: 84486
Ty: 176246
Tz: -216911
1646315892788
Status: 0x00000000
Fx: -13302545
Fy: -7680116
Fz: -27003908
Tx: 84609
Ty: 176188
Tz: -217130
1646315892946
Status: 0x00000000
Fx: -13298382
Fy: -7688611
Fz: -27005592
Tx: 84402
Ty: 176195
Tz: -217100
1646315893107
Status: 0x00000000
Fx: -13297164
Fy: -7673792
Fz: -27022392
Tx: 84410
Ty: 175902
Tz: -217062
1646315893262
Status: 0x00000000
Fx: -13306995
Fy: -7681871
Fz: -27020708
Tx: 84267
Ty: 176223
Tz: -217083
1646315893416
Status: 0x00000000
Fx: -13306563
Fy: -7683716
Fz: -27008412
Tx: 84469
Ty: 176091
Tz: -217130
1646315893572
Status: 0x00000000
Fx: -13309557
Fy: -7682408
Fz: -27014200
Tx: 84161
Ty: 176219
Tz: -217055
1646315893725
Status: 0x00000000
Fx: -13304500
Fy: -7680019
Fz: -27019260
Tx: 84343
Ty: 176356
Tz: -217173
1646315893881
Status: 0x00000000
Fx: -13310105
Fy: -7683786
Fz: -27014460
Tx: 84418
Ty: 176272
Tz: -217058
1646315894037
Status: 0x00000000
Fx: -13299552
Fy: -7680277
Fz: -27008408
Tx: 84439
Ty: 176118
Tz: -217216
1646315894198
Status: 0x00000000
Fx: -13298747
Fy: -7680956
Fz: -27006668
Tx: 84354
Ty: 175969
Tz: -217295
1646315894353
Status: 0x00000000
Fx: -13299852
Fy: -7681192
Fz: -27011164
Tx: 84373
Ty: 176345
Tz: -216988
1646315894506
Status: 0x00000000
Fx: -13293355
Fy: -7673128
Fz: -27014134
Tx: 84179
Ty: 176180
Tz: -216930
1646315894665
Status: 0x00000000
Fx: -13305028
Fy: -7673888
Fz: -27017074
Tx: 84322
Ty: 176100
Tz: -216915
1646315894823
Status: 0x00000000
Fx: -13309376
Fy: -7676226
Fz: -27013768
Tx: 84046
Ty: 176046
Tz: -216919
1646315894977
Status: 0x00000000
Fx: -13309671
Fy: -7688509
Fz: -27007390
Tx: 84168
Ty: 176134
Tz: -217168
1646315895133
Status: 0x00000000
Fx: -13292536
Fy: -7678743
Fz: -27006210
Tx: 84145
Ty: 176063
Tz: -217128
1646315895288
Status: 0x00000000
Fx: -13310801
Fy: -7681209
Fz: -27010658
Tx: 84057
Ty: 175925
Tz: -217153
1646315895443
Status: 0x00000000
Fx: -13300608
Fy: -7680840
Fz: -26995668
Tx: 84125
Ty: 176078
Tz: -216994
1646315895596
Status: 0x00000000
Fx: -13310396
Fy: -7677433
Fz: -27008730
Tx: 84169
Ty: 176031
Tz: -216875
1646315895753
Status: 0x00000000
Fx: -13299938
Fy: -7668446
Fz: -27002438
Tx: 83882
Ty: 176148
Tz: -216992
1646315895909
Status: 0x00000000
Fx: -13305197
Fy: -7682868
Fz: -27009182
Tx: 83925
Ty: 175990
Tz: -216908
1646315896065
Status: 0x00000000
Fx: -13304093
Fy: -7682403
Fz: -27008334
Tx: 83904
Ty: 176035
Tz: -216964
1646315896222
Status: 0x00000000
Fx: -13304943
Fy: -7685350
Fz: -27002476
Tx: 83728
Ty: 175972
Tz: -217413
1646315896378
Status: 0x00000000
Fx: -13307262
Fy: -7671896
Fz: -27005636
Tx: 84096
Ty: 175878
Tz: -217055
1646315896535
Status: 0x00000000
Fx: -13306070
Fy: -7676735
Fz: -27007688
Tx: 84006
Ty: 175879
Tz: -216929
1646315896694
Status: 0x00000000
Fx: -13308892
Fy: -7681523
Fz: -26998114
Tx: 83922
Ty: 176103
Tz: -217218
1646315896850
Status: 0x00000000
Fx: -13302464
Fy: -7689483
Fz: -27013524
Tx: 83726
Ty: 176005
Tz: -216956
1646315897005
Status: 0x00000000
Fx: -13306904
Fy: -7676124
Fz: -27011476
Tx: 83838
Ty: 176015
Tz: -216892
1646315897161
Status: 0x00000000
Fx: -13306161
Fy: -7675304
Fz: -27009724
Tx: 84006
Ty: 175810
Tz: -217055
1646315897317
Status: 0x00000000
Fx: -13307602
Fy: -7673925
Fz: -27005460
Tx: 83858
Ty: 176018
Tz: -217093
1646315897472
Status: 0x00000000
Fx: -13309317
Fy: -7682190
Fz: -26998630
Tx: 83791
Ty: 175928
Tz: -217017
1646315897629
Status: 0x00000000
Fx: -13310709
Fy: -7676064
Fz: -27003526
Tx: 83793
Ty: 175924
Tz: -217223
1646315897786
Status: 0x00000000
Fx: -13305414
Fy: -7679051
Fz: -27011168
Tx: 83992
Ty: 175923
Tz: -216818
1646315897942
Status: 0x00000000
Fx: -13308370
Fy: -7681600
Fz: -27009808
Tx: 83406
Ty: 175847
Tz: -216888
1646315898096
Status: 0x00000000
Fx: -13306530
Fy: -7687569
Fz: -27005154
Tx: 83725
Ty: 176205
Tz: -217085
1646315898250
Status: 0x00000000
Fx: -13306920
Fy: -7678234
Fz: -27004052
Tx: 83949
Ty: 175862
Tz: -216975
1646315898406
Status: 0x00000000
Fx: -13313236
Fy: -7676336
Fz: -26998508
Tx: 83803
Ty: 175919
Tz: -217201
1646315898560
Status: 0x00000000
Fx: -13313180
Fy: -7676975
Fz: -27002092
Tx: 83876
Ty: 175930
Tz: -217156
1646315898716
Status: 0x00000000
Fx: -13314718
Fy: -7673824
Fz: -27000576
Tx: 83781
Ty: 176105
Tz: -216860
1646315898870
Status: 0x00000000
Fx: -13310756
Fy: -7672772
Fz: -27002992
Tx: 83740
Ty: 175772
Tz: -217138
1646315899026
Status: 0x00000000
Fx: -13305141
Fy: -7681962
Fz: -27006738
Tx: 83842
Ty: 175978
Tz: -216873
1646315899179
Status: 0x00000000
Fx: -13308889
Fy: -7674579
Fz: -26984460
Tx: 83596
Ty: 175831
Tz: -217085
1646315899337
Status: 0x00000000
Fx: -13316349
Fy: -7677773
Fz: -26998172
Tx: 83828
Ty: 175893
Tz: -217038
1646315899492
Status: 0x00000000
Fx: -13459309
Fy: -7683244
Fz: -27542386
Tx: 74815
Ty: 196227
Tz: -214355
1646315899646
Status: 0x00000000
Fx: -13375067
Fy: -7598279
Fz: -28017240
Tx: 66631
Ty: 214097
Tz: -212317
1646315899799
Status: 0x00000000
Fx: -13340282
Fy: -7534397
Fz: -28468160
Tx: 59261
Ty: 231033
Tz: -210081
1646315899951
Status: 0x00000000
Fx: -13353766
Fy: -7467523
Fz: -28961684
Tx: 50939
Ty: 249387
Tz: -207055
1646315900106
Status: 0x00000000
Fx: -13402741
Fy: -7431911
Fz: -29444576
Tx: 43032
Ty: 267446
Tz: -204137
1646315900260
Status: 0x00000000
Fx: -13322998
Fy: -7352005
Fz: -29919316
Tx: 34764
Ty: 285398
Tz: -202604
1646315900419
Status: 0x00000000
Fx: -13448592
Fy: -7302398
Fz: -30361552
Tx: 27470
Ty: 301419
Tz: -198646
1646315900576
Status: 0x00000000
Fx: -13585532
Fy: -7315276
Fz: -30739556
Tx: 21045
Ty: 315822
Tz: -195753
1646315900730
Status: 0x00000000
Fx: -13622267
Fy: -7268462
Fz: -31105856
Tx: 14948
Ty: 329424
Tz: -193654
1646315900887
Status: 0x00000000
Fx: -13504766
Fy: -7185168
Fz: -31480192
Tx: 8547
Ty: 342792
Tz: -191882
1646315901040
Status: 0x00000000
Fx: -13688681
Fy: -7198616
Fz: -31800268
Tx: 2659
Ty: 355390
Tz: -189282
1646315901194
Status: 0x00000000
Fx: -13416859
Fy: -7169361
Fz: -32105340
Tx: -2381
Ty: 366063
Tz: -192489
1646315901356
Status: 0x00000000
Fx: -13167322
Fy: -7233071
Fz: -32322188
Tx: -6178
Ty: 374008
Tz: -199476
1646315901510
Status: 0x00000000
Fx: -14902786
Fy: -7844333
Fz: -32359264
Tx: -6612
Ty: 375541
Tz: -193213
1646315901666
Status: 0x00000000
Fx: -14586467
Fy: -7655830
Fz: -32567442
Tx: -9876
Ty: 383299
Tz: -191372
1646315901820
Status: 0x00000000
Fx: -14398344
Fy: -7491711
Fz: -32832544
Tx: -14916
Ty: 393778
Tz: -187436
1646315901975
Status: 0x00000000
Fx: -14496655
Fy: -7506257
Fz: -32866394
Tx: -15188
Ty: 394860
Tz: -187318
1646315902128
Status: 0x00000000
Fx: -14498047
Fy: -7524980
Fz: -32867592
Tx: -15463
Ty: 395130
Tz: -187324
1646315902282
Status: 0x00000000
Fx: -14420272
Fy: -7498257
Fz: -32876248
Tx: -15567
Ty: 395245
Tz: -187835
1646315902438
Status: 0x00000000
Fx: -14399571
Fy: -7491895
Fz: -32887980
Tx: -15429
Ty: 395502
Tz: -188085
1646315902592
Status: 0x00000000
Fx: -14397644
Fy: -7515134
Fz: -32988520
Tx: -17285
Ty: 399422
Tz: -188944
1646315902748
Status: 0x00000000
Fx: -14151120
Fy: -7495378
Fz: -33268348
Tx: -22446
Ty: 409817
Tz: -192153
1646315902907
Status: 0x00000000
Fx: -14677191
Fy: -7751870
Fz: -33105330
Tx: -19451
Ty: 403732
Tz: -193199
1646315903060
Status: 0x00000000
Fx: -14202162
Fy: -7597911
Fz: -32756202
Tx: -13728
Ty: 390505
Tz: -195944
1646315903214
Status: 0x00000000
Fx: -13875732
Fy: -7479451
Fz: -32615604
Tx: -11653
Ty: 386051
Tz: -196516
1646315903367
Status: 0x00000000
Fx: -13437417
Fy: -7318828
Fz: -32554432
Tx: -10671
Ty: 383325
Tz: -197623
1646315903523
Status: 0x00000000
Fx: -13369932
Fy: -7265886
Fz: -32484988
Tx: -9382
Ty: 380084
Tz: -197047
1646315903676
Status: 0x00000000
Fx: -13169995
Fy: -7156473
Fz: -32427768
Tx: -8507
Ty: 377741
Tz: -196005
1646315903830
Status: 0x00000000
Fx: -13039836
Fy: -7124602
Fz: -32329984
Tx: -6927
Ty: 374190
Tz: -197511
1646315903987
Status: 0x00000000
Fx: -13020890
Fy: -7130368
Fz: -32201452
Tx: -4957
Ty: 369493
Tz: -197856
1646315904142
Status: 0x00000000
Fx: -12950051
Fy: -7133170
Fz: -32059990
Tx: -2568
Ty: 364178
Tz: -199147
1646315904297
Status: 0x00000000
Fx: -13242481
Fy: -7213763
Fz: -31973634
Tx: -1285
Ty: 360757
Tz: -197474
1646315904451
Status: 0x00000000
Fx: -13571555
Fy: -7347940
Fz: -31630158
Tx: 4606
Ty: 347571
Tz: -196925
1646315904605
Status: 0x00000000
Fx: -13795546
Fy: -7445003
Fz: -31303356
Tx: 10108
Ty: 335934
Tz: -196784
1646315904760
Status: 0x00000000
Fx: -14093220
Fy: -7542729
Fz: -30966072
Tx: 15866
Ty: 322827
Tz: -195951
1646315904918
Status: 0x00000000
Fx: -14334462
Fy: -7621605
Fz: -30624024
Tx: 21755
Ty: 309982
Tz: -195269
1646315905073
Status: 0x00000000
Fx: -14004973
Fy: -7604896
Fz: -30323732
Tx: 26458
Ty: 299083
Tz: -199859
1646315905227
Status: 0x00000000
Fx: -14227279
Fy: -7730220
Fz: -29946240
Tx: 33141
Ty: 284727
Tz: -201610
1646315905379
Status: 0x00000000
Fx: -14244556
Fy: -7798813
Fz: -29535740
Tx: 40126
Ty: 269132
Tz: -204419
1646315905535
Status: 0x00000000
Fx: -14069909
Fy: -7782503
Fz: -29123196
Tx: 46844
Ty: 254132
Tz: -206766
1646315905690
Status: 0x00000000
Fx: -13821988
Fy: -7777673
Fz: -28774256
Tx: 52910
Ty: 240574
Tz: -210705
1646315905843
Status: 0x00000000
Fx: -13654646
Fy: -7762071
Fz: -28441476
Tx: 58739
Ty: 228198
Tz: -213507
1646315905997
Status: 0x00000000
Fx: -13608762
Fy: -7820377
Fz: -28027644
Tx: 65834
Ty: 212879
Tz: -216601
1646315906154
Status: 0x00000000
Fx: -13372198
Fy: -7791196
Fz: -27607324
