Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -13321376, -7686118, -27046316, 84217, 174873, -217297,0, 
0x00000000, -13316997, -7691910, -27043312, 84359, 174694, -217033,151, 
0x00000000, -13318684, -7695162, -27042308, 84044, 174624, -217067,307, 
0x00000000, -13318208, -7687511, -27040684, 84134, 174496, -217118,458, 
0x00000000, -13316798, -7689461, -27051776, 84325, 174861, -216847,612, 
0x00000000, -13319021, -7685147, -27038858, 84140, 174875, -217106,764, 
0x00000000, -13318623, -7686014, -27051220, 84325, 174648, -217010,916, 
0x00000000, -13315482, -7688087, -27047676, 84456, 174905, -216870,1067, 
0x00000000, -13317251, -7696244, -27038754, 84216, 174934, -217028,1226, 
0x00000000, -13311576, -7686568, -27038520, 83894, 174687, -217058,1385, 
0x00000000, -13322004, -7687510, -27048008, 84244, 174905, -216826,1535, 
0x00000000, -13320581, -7689097, -27045136, 84250, 174688, -216970,1696, 
0x00000000, -13325451, -7685431, -27050010, 84351, 175033, -217081,1851, 
0x00000000, -13315710, -7686986, -27039368, 84142, 174810, -217246,2001, 
0x00000000, -13364334, -7675650, -27301580, 79998, 184429, -215546,2160, 
0x00000000, -13470597, -7645624, -27847540, 71391, 204401, -212271,2313, 
0x00000000, -13467626, -7589794, -28335128, 62801, 223290, -209820,2465, 
0x00000000, -13744087, -7662495, -28750480, 55912, 238677, -207432,2627, 
0x00000000, -13597990, -7539362, -29286384, 47250, 258593, -205104,2783, 
0x00000000, -13509156, -7452292, -29771908, 38963, 276378, -202539,2937, 
0x00000000, -13618328, -7396381, -30205928, 31784, 292813, -199050,3094, 
0x00000000, -13628779, -7292564, -30644400, 24480, 308842, -194112,3247, 
0x00000000, -13676827, -7270519, -31029618, 17915, 323523, -192443,3403, 
0x00000000, -13784281, -7242017, -31386926, 12079, 336434, -189417,3555, 
0x00000000, -13927702, -7188932, -31732336, 6375, 349041, -184709,3713, 
0x00000000, -13810811, -7168619, -32019874, 1335, 359770, -186100,3863, 
0x00000000, -13379892, -7176620, -32236872, -2161, 367561, -193523,4014, 
0x00000000, -14351853, -7602795, -32321918, -3764, 371293, -193317,4166, 
0x00000000, -14772156, -7739045, -32406764, -5071, 374492, -191646,4318, 
0x00000000, -14710768, -7732621, -32424008, -5558, 374972, -191755,4477, 
0x00000000, -13651792, -7450231, -32854804, -13037, 390653, -198171,4630, 
0x00000000, -13061681, -7114144, -32729332, -10568, 385535, -196016,4784, 
0x00000000, -13450497, -7166814, -32439826, -5674, 374952, -191609,4938, 
0x00000000, -13214865, -7116387, -32114628, -611, 362799, -193872,5097, 
0x00000000, -12998383, -7140898, -31821540, 4217, 351608, -198694,5251, 
0x00000000, -13250509, -7269216, -31415696, 11308, 336449, -199428,5407, 
0x00000000, -13379739, -7337784, -31044120, 17664, 321692, -199988,5561, 
0x00000000, -13578958, -7430043, -30703040, 22986, 309384, -200169,5725, 
0x00000000, -14019050, -7568581, -30268140, 30727, 293095, -198699,5877, 
0x00000000, -14502455, -7712802, -29826816, 37722, 276950, -195925,6030, 
0x00000000, -14332939, -7835533, -29398388, 44864, 260692, -204176,6183, 
0x00000000, -14126511, -7852071, -29008200, 51457, 246176, -208321,6334, 
0x00000000, -13845363, -7846242, -28627320, 57733, 231761, -213077,6489, 
0x00000000, -13735267, -7848129, -28265388, 63831, 218313, -215286,6643, 
0x00000000, -13510688, -7824465, -27895580, 69893, 204678, -218287,6796, 
0x00000000, -13379759, -7795801, -27504796, 76326, 189948, -219662,6949, 
0x00000000, -13311491, -7685721, -27101304, 83599, 174795, -216930,7102, 
0x00000000, -13315967, -7682158, -27094840, 83674, 174367, -217097,7464, 
0x00000000, -13307741, -7678433, -27084700, 83669, 174251, -217133,7630, 
0x00000000, -13306090, -7691312, -27094434, 83836, 174121, -216943,7791, 
0x00000000, -13309387, -7682284, -27085168, 84004, 173962, -217019,7951, 
0x00000000, -13313204, -7681697, -27082230, 83773, 173680, -216595,8114, 
0x00000000, -13316107, -7683200, -27083684, 83838, 173767, -217124,8275, 
0x00000000, -13303853, -7686640, -27074912, 83729, 173897, -217181,8436, 
0x00000000, -13307900, -7689917, -27088400, 83786, 173804, -217161,8601, 
0x00000000, -13312848, -7689698, -27087364, 83663, 173689, -216929, 1646315986417, 
