, 58
9180, 58
9190, 58
90, 58
9080, 58
9090, 58
9100, 58
9110, 58
9120, 58
9130, 58
9140, 58
9150, 58
9160, 58
9170, 58
9180, 58
9190, 58
92þ0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
10, 0
10, 0
20, 0
30, 0
40, 0
40, 0
50, 0
60, 0
70, 0
70, 0
80, 0
90, 0
90, 0
100, 0
110, 0
120, 0
130, 0
140, 0
140, 0
150, 0
160, 0
170, 0
180, 0
190, 0
190, 0
200, 0
210, 0
220, 0
230, 0
240, 0
240, 0
250, 0
260, 0
270, 0
280, 0
290, 0
290, 0
300, 0
310, 0
320, 0
330, 0
330, 0
340, 0
350, 0
360, 0
370, 0
380, 0
380, 0
390, 0
400, 0
410, 0
420, 0
430, 0
430, 0
440, 0
450, 0
460, 0
470, 0
480, 0
480, 0
490, 0
500, 0
510, 0
520, 0
530, 0
530, 0
540, 0
550, 0
560, 0
570, 0
580, 0
580, 0
590, 0
600, 0
610, 0
620, 0
630, 0
630, 0
640, 0
650, 0
660, 0
670, 0
680, 0
680, 0
690, 0
700, 0
710, 0
720, 0
730, 0
730, 0
740, 0
750, 0
760, 0
770, 0
780, 0
780, 0
790, 0
800, 0
810, 0
820, 0
830, 0
830, 0
840, 0
850, 0
860, 0
870, 0
880, 0
880, 0
890, 0
900, 0
910, 0
920, -1
930, -7
940, -14
950, -23
960, -35
970, -46
980, -55
990, -69
1000, -94
1010, -119
1020, -152
1030, -179
1050, -211
1060, -243
1070, -276
1080, -311
1100, -352
1110, -385
1120, -420
1130, -469
1150, -524
1160, -573
1170, -623
1180, -675
1200, -728
1210, -776
1220, -830
1230, -885
1250, -941
1260, -989
1270, -1039
1290, -1105
1300, -1154
1310, -1209
1330, -1274
1340, -1320
1350, -1376
1370, -1443
1380, -1494
1390, -1551
1410, -1606
1420, -1660
1430, -1716
1450, -1773
1460, -1831
1470, -1888
1490, -1944
1500, -2001
1520, -2067
1530, -2113
1540, -2168
1560, -2231
1570, -2282
1580, -2339
1600, -2403
1610, -2454
1620, -2508
1640, -2567
1650, -2619
1660, -2678
1680, -2734
1690, -2788
1700, -2847
1720, -2905
1730, -2962
1750, -3026
1760, -3071
1770, -3126
1790, -3193
1800, -3243
1810, -3300
1830, -3360
1840, -3409
1850, -3467
1870, -3527
1880, -3579
1890, -3634
1910, -3693
1920, -3751
1930, -3806
1950, -3864
1960, -3917
1980, -3985
1990, -4029
2000, -4088
2020, -4155
2030, -4200
2040, -4256
2060, -4318
2070, -4369
2080, -4426
2100, -4488
2110, -4537
2120, -4594
2140, -4655
2150, -4708
2160, -4763
2180, -4817
2190, -4876
2200, -4933
2220, -4991
2230, -5048
2250, -5109
2260, -5157
2270, -5213
2290, -5279
2300, -5327
2310, -5382
2330, -5447
2340, -5497
2350, -5554
2370, -5611
2380, -5663
2390, -5718
2410, -5777
2420, -5835
2430, -5892
2450, -5948
2460, -6003
2480, -6069
2490, -6114
2500, -6171
2520, -6236
2530, -6283
2540, -6342
2560, -6404
2570, -6456
2580, -6509
2600, -6567
2610, -6620
2620, -6678
2640, -6737
2650, -6793
2660, -6848
2680, -6904
2690, -6961
2710, -7029
2720, -7075
2730, -7127
2750, -7194
2760, -7244
2770, -7300
2790, -7362
2800, -7410
2810, -7468
2830, -7529
2840, -7582
2850, -7640
2870, -7695
2880, -7749
2890, -7806
2910, -7865
2920, -7921
2930, -7975
2950, -8032
2960, -8090
2980, -8155
2990, -8202
3000, -8258
3020, -8320
3030, -8370
3040, -8428
3060, -8492
3070, -8543
3080, -8596
3100, -8656
3110, -8709
3120, -8766
3140, -8823
3150, -8879
3160, -8937
3180, -8994
3190, -109052
3210, -109115
3220, -109178
3240, -109245
3250, -109310
3270, -109376
3290, -109452
3300, -109506
3320, -109575
3330, -109636
3350, -109703
3360, -109765
3380, -109830
3390, -109898
3410, -109964
3430, -110035
3440, -110093
3460, -110162
3470, -110222
3490, -110289
3500, -110353
3520, -110419
3540, -110498
3550, -110552
3570, -110618
3580, -110679
3600, -110748
3610, -110810
3630, -110875
3640, -110941
3660, -111006
3680, -111082
3690, -111137
3710, -111205
3720, -111265
3740, -111330
3750, -111398
3770, -111463
3780, -111526
3800, -111592
3820, -111666
3830, -111721
3850, -111789
3860, -111854
3880, -111916
3890, -111984
3910, -112050
3930, -112122
3940, -112175
3960, -112251
3970, -112308
3990, -112372
4000, -112438
4020, -112505
4030, -112569
4050, -112631
4070, -112707
4080, -112762
4100, -112832
4110, -112895
4130, -112913
4140, -112914
4160, -112915
4170, -112915
4190, -112915
4210, -112915
4220, -112915
4240, -112915
4250, -112915
4270, -112915
4280, -112915
4300, -112915
4320, -112915
4330, -112915
4350, -112915
4360, -112915
4380, -112915
4390, -112915
4410, -112903
4420, -112882
4440, -112860
4460, -112836
4470, -112807
4490, -112760
4500, -112718
4520, -112674
4530, -112631
4550, -112577
4560, -112521
4580, -112464
4600, -112404
4610, -112353
4630, -112286
4640, -112223
4660, -112158
4670, -112098
4690, -112034
4710, -111958
4720, -111905
4740, -111835
4750, -111778
4770, -111712
4780, -111650
4800, -111587
4810, -111522
4830, -111460
4850, -111386
4860, -111330
4880, -111260
4890, -111206
4910, -111141
4920, -111075
4940, -111012
4950, -110950
4970, -110888
4990, -110813
5000, -110757
5020, -110691
5030, -110631
5050, -110565
5060, -110503
5080, -110439
5100, -110363
5110, -110311
5130, -110241
5140, -110183
5160, -110117
5170, -110057
5190, -109994
5200, -109928
5220, -109862
5240, -109793
5250, -109738
5270, -109666
5280, -109608
5300, -109545
5310, -109484
5330, -109418
5340, -109353
5360, -109290
5380, -109219
5390, -109161
5410, -109097
5420, -209036
5440, -208970
5450, -208908
5470, -208845
5490, -208766
5500, -208714
5520, -208646
5530, -208590
5550, -208523
5560, -208459
5580, -208399
5590, -208336
5610, -208269
5630, -208197
5640, -208141
5660, -208075
5670, -208015
5690, -207950
5700, -207888
5720, -207823
5730, -207758
5750, -207697
5770, -207623
5780, -207565
5800, -207503
5810, -207443
5830, -207377
5840, -207312
5860, -207251
5880, -207176
5890, -207122
5910, -207052
5920, -206996
5940, -206932
5950, -206868
5970, -206805
5980, -206740
6000, -206678
6020, -206605
6030, -206550
6050, -206482
6060, -206423
6080, -206359
6090, -206297
6110, -206232
6120, -206165
6140, -206105
6160, -206037
6170, -205978
6190, -205910
6200, -205851
6220, -205789
6230, -205723
6250, -205658
6270, -205585
6280, -205534
6300, -205462
6310, -205406
6330, -205340
6340, -205278
6360, -205214
6370, -205151
6390, -205088
6410, -205013
6420, -204960
6440, -204895
6450, -204834
6470, -204767
6480, -204706
6500, -204644
6510, -204579
6530, -204515
6550, -204443
6560, -204391
6580, -204322
6590, -204260
6610, -204198
6620, -204135
6640, -204069
6660, -203997
6670, -203944
6690, -203871
6700, -203817
6720, -203751
6730, -203690
6750, -203624
6760, -203561
6780, -203500
6800, -203425
6810, -203368
6830, -203302
6840, -203245
6860, -203179
6870, -203115
6890, -203052
6900, -202990
6920, -202925
6940, -202854
6950, -202798
6970, -202729
6980, -202671
7000, -202607
7010, -202543
7030, -202478
7050, -202407
7060, -202354
7080, -202282
7090, -202223
7110, -202157
7120, -202099
7140, -202035
7150, -201968
7170, -201906
7190, -201833
7200, -201778
7220, -201709
7230, -201650
7250, -201587
7260, -201524
7280, -201459
7290, -201398
7310, -201331
7330, -201259
7340, -201205
7360, -201137
7370, -201076
7390, -201013
7400, -200951
7420, -200887
7440, -200810
7450, -200756
7470, -200689
7480, -200632
7500, -200563
7510, -200503
7530, -200440
7540, -200375
7560, -200311
7580, -200237
7590, -200183
7610, -200115
7620, -200056
7640, -199994
7650, -199928
7670, -199871
7680, -199864
7700, -199864
7720, -199864
7730, -199864
7750, -199907
7760, -199914
7780, -199913
7790, -199913
7810, -199913
7830, -199913
7840, -199913
7860, -199913
7870, -199913
7890, -199913
7900, -199913
7920, -199913
7930, -199913
7950, -199913
7970, -199913
7980, -199913
8000, -199913
8010, -199913
8030, -199913
8040, -199913
8060, -199913
8070, -199913
8090, -199913
8110, -199913
8120, -199913
8140, -199913
8150, -199913
8170, -199913
8180, -199913
8200, -199913
8220, -199913
8230, -199913
8250, -199913
8260, -199913
8280, -199913
8290, -199913
8310, -199913
8320, -199913
8340, -199913
