, -198400
15920, -198400
15930, -198400
15950, -198400
15970, -198400
15980, -198400
16000, -198400
16020, -198400
15900, -198400
15920, -198400
15930, -198400
15950, -198400
15970, -198400
15980, -198400
16000, -198400
1602	ÿ0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
10, 0
10, 0
20, 0
30, 0
40, 0
40, 0
50, 0
60, 0
70, 0
70, 0
80, 0
90, 0
90, 0
100, 0
110, 0
120, 0
130, 0
140, 0
140, 0
150, 0
160, 0
170, 0
180, 0
190, 0
190, 0
200, 0
210, 0
220, 0
230, 0
240, 0
240, 0
250, 0
260, 0
270, 0
280, 0
290, 0
290, 0
300, 0
310, 0
320, 0
330, 0
330, 0
340, 0
350, 0
360, 0
370, 0
380, 0
380, 0
390, 0
400, 0
410, 0
420, 0
430, 0
430, 0
440, 0
450, 0
460, 0
470, 0
480, 0
480, 0
490, 0
500, 0
510, 0
520, 0
530, 0
530, 0
540, 0
550, 0
560, 0
570, 0
580, 0
580, 0
590, 0
600, 0
610, 0
620, 0
630, 0
630, 0
640, 0
650, 0
660, 0
670, 0
680, 0
680, 0
690, 0
700, 0
710, 0
720, 0
730, 0
730, 0
740, 0
750, 0
760, 0
770, 0
780, 0
780, 0
790, 0
800, 0
810, 0
820, 0
830, 0
830, 0
840, 0
850, 0
860, 0
870, 0
880, 0
880, 0
890, 0
900, 0
910, 0
920, 0
930, 0
930, 0
940, 0
950, 0
960, 0
970, 0
980, 0
980, 0
990, 0
1000, 0
1010, 0
1020, -3
1030, -7
1040, -12
1050, -19
1060, -27
1070, -36
1090, -44
1100, -49
1110, -54
1120, -60
1130, -67
1140, -76
1150, -85
1170, -96
1180, -102
1190, -110
1200, -119
1210, -130
1230, -156
1240, -186
1250, -215
1260, -249
1280, -281
1290, -311
1300, -352
1310, -391
1330, -430
1340, -465
1350, -504
1360, -548
1380, -600
1390, -648
1400, -696
1410, -746
1430, -796
1440, -843
1450, -891
1460, -941
1480, -992
1490, -1038
1500, -1089
1520, -1148
1530, -1195
1540, -1250
1560, -1305
1570, -1355
1580, -1405
1600, -1460
1610, -1512
1620, -1566
1640, -1616
1650, -1668
1670, -1734
1680, -1777
1690, -1830
1710, -1891
1720, -1935
1730, -1988
1750, -2048
1760, -2095
1770, -2148
1790, -2202
1800, -2253
1810, -2306
1830, -2362
1840, -2411
1850, -2462
1870, -2514
1880, -2568
1890, -2621
1910, -2675
1920, -2726
1940, -2790
1950, -2834
1960, -2889
1980, -2949
1990, -2993
2000, -3045
2020, -3102
2030, -3152
2040, -3204
2060, -3258
2070, -3308
2080, -3363
2100, -3415
2110, -3467
2120, -3518
2140, -3572
2150, -3623
2170, -3688
2180, -3732
2190, -3785
2210, -3846
2220, -3891
2230, -3946
2250, -4002
2260, -4049
2270, -4100
2290, -4157
2300, -4206
2310, -4260
2330, -4313
2340, -4365
2350, -4416
2370, -4469
2380, -4522
2400, -4587
2410, -4627
2420, -4679
2440, -4744
2450, -4789
2460, -4843
2480, -4898
2490, -4946
2500, -4998
2520, -5055
2530, -5103
2540, -5156
2560, -5208
2570, -5260
2580, -5313
2600, -5368
2610, -5418
2630, -5482
2640, -5523
2650, -5578
2670, -5641
2680, -5683
2690, -5734
2710, -5792
2720, -5839
2730, -5891
2750, -5946
2760, -5990
2770, -6041
2790, -6093
2800, -6144
2810, -6193
2830, -6242
2840, -6291
2850, -6343
2870, -6391
2880, -6440
2900, -6494
2910, -6535
2920, -6584
2940, -6641
2950, -6683
2960, -6731
2980, -6786
2990, -6830
3000, -6880
3020, -6932
3030, -6977
3040, -7024
3060, -7075
3070, -7124
3080, -7174
3100, -7221
3110, -7270
3130, -7331
3140, -7371
3150, -7418
3170, -7474
3180, -7514
3190, -7564
3210, -7618
3220, -7663
3230, -7713
3250, -7765
3260, -7810
3270, -7860
3290, -7910
3300, -7959
3310, -8005
3330, -8054
3340, -8104
3360, -8165
3370, -8203
3380, -8252
3400, -8309
3410, -8354
3420, -8402
3440, -8456
3450, -8498
3460, -8549
3480, -8600
3490, -8647
3500, -8696
3520, -8747
3530, -8793
3540, -8842
3560, -8890
3570, -8939
3580, -8985
3600, -9031
3610, -9078
3630, -9138
3640, -9178
3650, -9224
3670, -9277
3680, -9319
3690, -9369
3710, -9421
3720, -9464
3730, -9509
3750, -9561
3760, -9606
3770, -9656
3790, -9704
3800, -9752
3810, -9801
3830, -9849
3840, -9897
3860, -109954
3870, -109999
3890, -110057
3900, -110108
3920, -110165
3930, -110220
3950, -110276
3960, -110332
3980, -110390
4000, -110451
4010, -110495
4030, -110551
4040, -110599
4060, -110651
4070, -110701
4090, -110755
4100, -110806
4120, -110859
4140, -110915
4150, -110962
4170, -111013
4180, -111065
4200, -111116
4210, -111168
4230, -111220
4250, -111285
4260, -111330
4280, -111388
4290, -111434
4310, -111486
4320, -111540
4340, -111593
4350, -111644
4370, -111696
4390, -111757
4400, -111803
4420, -111858
4430, -111906
4450, -111960
4460, -112011
4480, -112065
4490, -112114
4510, -112167
4530, -112226
4540, -112275
4560, -112329
4570, -112381
4590, -112433
4600, -112485
4620, -112539
4640, -112597
4650, -112642
4670, -112699
4680, -112750
4700, -112801
4710, -112853
4730, -112905
4740, -112959
4760, -113010
4780, -113067
4790, -113112
4810, -113169
4820, -113219
4840, -113270
4850, -113321
4870, -113376
4880, -113425
4900, -113478
4920, -113535
4930, -113581
4950, -113633
4960, -113683
4980, -113735
4990, -113781
5010, -113824
5030, -113873
5040, -113911
5060, -113931
5070, -113933
5090, -113933
5100, -113933
5120, -113933
5130, -113933
5150, -113933
5170, -113933
5180, -113933
