Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -13318140, -7689496, -27140504, 84035, 173981, -217674,0, 
0x00000000, -13318146, -7684244, -27130392, 83861, 173828, -217969,151, 
0x00000000, -13314851, -7687642, -27145976, 83843, 173855, -217867,302, 
0x00000000, -13316092, -7697588, -27137496, 83842, 173595, -218143,454, 
0x00000000, -13319196, -7689533, -27134348, 83878, 173723, -217956,606, 
0x00000000, -13320908, -7689067, -27125082, 83827, 173881, -217905,759, 
0x00000000, -13319320, -7689433, -27141518, 83919, 173699, -217784,911, 
0x00000000, -13311035, -7698593, -27132204, 83509, 173653, -217572,1063, 
0x00000000, -13315345, -7686067, -27120846, 83948, 173950, -217843,1215, 
0x00000000, -13315040, -7691986, -27128940, 83873, 173835, -217640,1367, 
0x00000000, -13346989, -7674496, -27211718, 82255, 177122, -217200,1517, 
0x00000000, -13424213, -7673269, -27561456, 76235, 189834, -215467,1671, 
0x00000000, -13351467, -7620266, -27931244, 69570, 203203, -214045,1822, 
0x00000000, -13364648, -7601693, -28240276, 64137, 214909, -212878,1974, 
0x00000000, -13223180, -7539209, -28540742, 58541, 226594, -212878,2126, 
0x00000000, -13070120, -7470530, -28840180, 53096, 238052, -212824,2280, 
0x00000000, -13054469, -7405326, -29149576, 47795, 249103, -210959,2432, 
0x00000000, -12974260, -7338254, -29441540, 42693, 259652, -209360,2597, 
0x00000000, -12864943, -7284729, -29693262, 38020, 269251, -209004,2748, 
0x00000000, -12761726, -7341863, -29809520, 35953, 273607, -213275,2900, 
0x00000000, -13939435, -7724705, -29856328, 35292, 275334, -206108,3051, 
0x00000000, -14889383, -8064440, -29867452, 35145, 275799, -202600,3204, 
0x00000000, -14701585, -8009222, -29922640, 34172, 278029, -203661,3356, 
0x00000000, -14635072, -7997413, -29934314, 33785, 278115, -203755,3507, 
0x00000000, -14576485, -7981063, -29936776, 33907, 278634, -204576,3660, 
0x00000000, -14687786, -8002975, -29902986, 34364, 277424, -203208,3812, 
0x00000000, -14636193, -7978643, -29928856, 33927, 278438, -203606,3964, 
0x00000000, -14667444, -7998810, -29922464, 33738, 278874, -203487,4119, 
0x00000000, -14607112, -7978873, -29937952, 33754, 278750, -203884,4275, 
0x00000000, -14611214, -7973372, -29934044, 33819, 279025, -204114,4426, 
0x00000000, -13973988, -7726113, -30258290, 28302, 290122, -205345,4578, 
0x00000000, -12848523, -7276260, -30245868, 28117, 290405, -208576,4730, 
0x00000000, -12711590, -7193618, -30231490, 28434, 289213, -208147,4881, 
0x00000000, -13103744, -7281942, -29975590, 33027, 280031, -204502,5033, 
0x00000000, -13422267, -7387853, -29787728, 36517, 273138, -203079,5187, 
0x00000000, -14201480, -7687187, -29458686, 42391, 261143, -200595,5339, 
0x00000000, -14518879, -7859109, -29138760, 47811, 249519, -201459,5492, 
0x00000000, -14376409, -7834820, -28896838, 52145, 239857, -203707,5646, 
0x00000000, -14264758, -7847642, -28684580, 55994, 232269, -205721,5800, 
0x00000000, -13925140, -7782699, -28444870, 60008, 223587, -209946,5954, 
0x00000000, -13860624, -7847879, -28123488, 65715, 211766, -213560,6107, 
0x00000000, -13654088, -7817709, -27863828, 70195, 202140, -216748,6258, 
0x00000000, -13471374, -7833831, -27573886, 75223, 191391, -219934,6410, 
0x00000000, -13359371, -7798810, -27287084, 80253, 180860, -221430,6563, 
0x00000000, -13320430, -7689390, -27111230, 83861, 174019, -217782,6718, 
0x00000000, -13320494, -7677897, -27109644, 83554, 174306, -218006,6869, 
0x00000000, -13310770, -7679135, -27112206, 83664, 173926, -217985,7023, 
0x00000000, -13319702, -7694571, -27110564, 83797, 173846, -217901,7174, 
0x00000000, -13328927, -7687490, -27103666, 83798, 174157, -217736,7330, 
0x00000000, -13315753, -7676520, -27109104, 83895, 173710, -218297,7486, 
0x00000000, -13308949, -7692791, -27105012, 83607, 173790, -217802,7638, 
0x00000000, -13319773, -7686575, -27101060, 84059, 173773, -217924,7792, 
0x00000000, -13316799, -7687918, -27113324, 83606, 173969, -217880,7944, 
0x00000000, -13312722, -7688326, -27108688, 83725, 173572, -217994,8097, 
0x00000000, -13315606, -7691323, -27102820, 83759, 173791, -217772,8252, 
0x00000000, -13319726, -7686373, -27107148, 83891, 173472, -217931, 1646316551952, 
