, -199455
53910, -199455
53790, -199455
53810, -199455
53820, -199455
53840, -199455
53860, -199455
53870, -199455
53890, -199455
53910, -199455
53þ0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
10, 0
10, 0
20, 0
30, 0
40, 0
40, 0
50, 0
60, 0
70, 0
70, 0
80, 0
90, 0
90, 0
100, 0
110, 0
120, 0
130, 0
140, 0
140, 0
150, 0
160, 0
170, 0
180, 0
190, 0
190, 0
200, 0
210, 0
220, 0
230, 0
240, 0
240, 0
250, 0
260, 0
270, 0
280, 0
290, 0
290, 0
300, 0
310, 0
320, 0
330, 0
330, 0
340, 0
350, 0
360, 0
370, 0
380, 0
380, 0
390, 0
400, 0
410, 0
420, 0
430, 0
430, 0
440, 0
450, 0
460, -1
470, -2
480, -2
490, -3
500, -6
510, -9
520, -13
530, -18
540, -22
550, -27
560, -31
570, -37
580, -43
590, -50
600, -58
610, -66
620, -75
630, -85
640, -93
650, -101
660, -110
670, -123
690, -140
700, -148
710, -156
720, -168
730, -182
740, -194
750, -204
770, -221
780, -233
790, -243
800, -254
810, -266
820, -280
830, -292
850, -306
860, -318
870, -331
880, -343
890, -354
900, -368
910, -383
930, -398
940, -408
950, -420
960, -434
970, -445
980, -456
990, -471
1010, -489
1020, -499
1030, -512
1040, -527
1060, -544
1070, -555
1080, -573
1090, -591
1110, -608
1120, -622
1130, -639
1140, -654
1160, -677
1170, -692
1180, -707
1190, -725
1210, -746
1220, -760
1230, -782
1240, -800
1260, -821
1270, -837
1280, -854
1290, -874
1310, -897
1320, -910
1330, -931
1340, -948
1360, -971
1370, -988
1380, -1004
1390, -1024
1410, -1044
1420, -1063
1430, -1087
1450, -1106
1460, -1129
1470, -1149
1490, -1171
1500, -1195
1520, -1218
1530, -1237
1540, -1257
1560, -1284
1570, -1301
1580, -1323
1600, -1347
1610, -1366
1620, -1391
1640, -1411
1650, -1433
1660, -1453
1680, -1476
1690, -1497
1700, -1517
1720, -1540
1730, -1560
1750, -1587
1760, -1602
1770, -1623
1790, -1647
1800, -1664
1810, -1688
1830, -1710
1840, -1731
1850, -1752
1870, -1776
1880, -1797
1890, -1816
1910, -1840
1920, -1859
1930, -1883
1950, -1903
1960, -1926
1980, -1952
1990, -1969
2000, -1993
2020, -2015
2030, -2035
2040, -2054
2060, -2079
2070, -2097
2080, -2117
2100, -2142
2110, -2160
2120, -2184
2140, -2205
2150, -2227
2160, -2247
2180, -2267
2190, -2292
2200, -2311
2220, -2335
2230, -2355
2250, -2383
2260, -2400
2270, -2422
2290, -2447
2300, -2464
2310, -2488
2330, -2509
2340, -2532
2350, -2553
2370, -2578
2380, -2600
2390, -2622
2410, -2646
2420, -2667
2430, -2692
2450, -2713
2460, -2738
2480, -2763
2490, -2784
2500, -2806
2520, -2832
2530, -2850
2540, -2873
2560, -2900
2570, -2920
2580, -2944
2600, -2968
2610, -2992
2620, -3013
2640, -3037
2650, -3057
2660, -3081
2680, -3102
2690, -3125
2710, -3152
2720, -3170
2730, -3195
2750, -3219
2760, -3240
2770, -3260
2790, -3289
2800, -3307
2810, -3331
2830, -3355
2840, -3378
2850, -3402
2870, -3426
2880, -3447
2890, -3470
2910, -3494
2920, -3514
2930, -3537
2950, -3557
2960, -3580
2980, -3605
2990, -3622
3000, -3644
3020, -3668
3030, -3690
3040, -3710
3060, -3736
3070, -3755
3080, -3780
3100, -3803
3110, -3826
3120, -3848
3140, -3871
3150, -3896
3160, -3917
3180, -3942
3190, -3964
3210, -3993
3220, -4009
3230, -4033
3250, -4056
3260, -4077
3270, -4100
3290, -4122
3300, -4144
3310, -4165
3330, -4192
3340, -4211
3350, -4236
3370, -4257
3380, -4282
3390, -4303
3410, -4326
3420, -4349
3440, -4378
3450, -4397
3460, -4419
3480, -4446
3490, -4464
3500, -4490
3520, -4512
3530, -4534
3540, -4555
3560, -4581
3570, -4601
3580, -4623
3600, -4646
3610, -4667
3620, -4692
3640, -4712
3650, -4738
3670, -4764
3680, -4785
3690, -4806
3710, -4833
3720, -4852
3730, -4878
3750, -4904
3760, -4927
3770, -4950
3790, -4978
3800, -5000
3810, -5025
3830, -5048
3840, -5071
3850, -5096
3870, -5119
3880, -5144
3890, -5167
3910, -5193
3920, -5215
3940, -5244
3950, -5263
3960, -5289
3980, -5314
3990, -5337
4000, -5360
4020, -5390
4030, -5410
4040, -5436
4060, -5459
4070, -5486
4080, -5507
4100, -5533
4110, -5555
4120, -5581
4140, -5603
4150, -5628
4170, -5654
4180, -5676
4190, -5699
4210, -5727
4220, -5747
4230, -5772
4250, -5800
4260, -5821
4270, -5845
4290, -5871
4300, -5895
4310, -5918
4330, -5943
4340, -5967
4350, -5994
4370, -6017
4380, -6041
4400, -6069
4410, -6089
4420, -6110
4440, -6139
4450, -6158
4460, -6185
4480, -6209
4490, -6232
4500, -6255
4520, -6284
4530, -6304
4540, -6329
4560, -6353
4570, -6379
4580, -6401
4600, -6427
4610, -6450
4620, -6477
4640, -6500
4650, -6525
4670, -6552
4680, -6573
4690, -6597
4710, -6623
4720, -6643
4730, -6667
4750, -6693
4760, -6713
4770, -6740
4790, -6764
4800, -6790
4810, -6812
4830, -6837
4840, -6860
4850, -6886
4870, -6908
4880, -6935
4900, -6964
4910, -6986
4920, -7008
4940, -7037
4950, -7055
4960, -7082
4980, -7105
4990, -7128
5000, -7151
5020, -7179
5030, -7199
5040, -7224
5060, -7248
5070, -7274
5080, -7297
5100, -7321
5110, -7347
5130, -7380
5140, -7399
5150, -7427
5170, -7455
5180, -7480
5190, -7504
5210, -7534
5220, -7555
5230, -7583
5250, -7608
5260, -7632
5270, -7655
5290, -7684
5300, -7705
5310, -7733
5330, -7757
5340, -7786
5360, -7816
5370, -7836
5380, -7860
5400, -7893
5410, -7914
5420, -7941
5440, -7972
5450, -7995
5460, -8021
5480, -8047
5490, -8071
5500, -8095
5520, -8120
5530, -8144
5540, -8171
5560, -8197
5570, -8223
5580, -8246
5600, -8273
5610, -8297
5630, -8327
5640, -8348
5650, -8377
5670, -8405
5680, -8429
5690, -8454
5710, -8485
5720, -8505
5730, -8533
5750, -8559
5760, -8586
5770, -8609
5790, -8634
5800, -8657
5810, -8684
5830, -8706
5840, -8734
5860, -8763
5870, -8786
5880, -8810
5900, -8839
5910, -8861
5920, -8888
5940, -8913
5950, -8938
5960, -8965
5980, -8995
5990, -9019
6000, -9044
6020, -9071
6030, -9095
6040, -9119
6060, -9145
6070, -9173
6090, -9204
6100, -9226
6110, -9252
6130, -9287
6140, -9307
6150, -9335
6170, -9366
6180, -9391
6190, -9418
6210, -9447
6220, -9476
6230, -9501
6250, -9531
6260, -9556
6270, -9586
6290, -109610
6300, -109641
6320, -109674
6330, -109702
6350, -109735
6370, -109770
6380, -109798
6400, -109831
6410, -109860
6430, -109893
6440, -109925
6460, -109956
6480, -109996
6490, -110022
6510, -110055
6520, -110085
6540, -110115
6550, -110145
6570, -110178
6580, -110208
6600, -110240
6620, -110278
6630, -110302
6650, -110337
6660, -110365
6680, -110398
6690, -110430
6710, -110461
6720, -110496
6740, -110527
6760, -110561
6770, -110591
6790, -110622
6800, -110650
6820, -110683
6830, -110711
6850, -110744
6870, -110783
6880, -110807
6900, -110841
6910, -110871
6930, -110902
6940, -110936
6960, -110968
6970, -111001
6990, -111033
7010, -111068
7020, -111094
7040, -111126
7050, -111154
7070, -111188
7080, -111217
7100, -111249
7110, -111283
7130, -111312
7150, -111348
7160, -111377
7180, -111408
7190, -111440
7210, -111473
7220, -111504
7240, -111537
7260, -111574
7270, -111599
7290, -111633
7300, -111659
7320, -111693
7330, -111722
7350, -111753
7360, -111788
7380, -111817
7400, -111852
7410, -111881
7430, -111913
7440, -111944
7460, -111978
7470, -112008
7490, -112041
7500, -112071
7520, -112101
7540, -112137
7550, -112163
7570, -112197
7580, -112226
7600, -112256
7610, -112288
7630, -112317
7650, -112356
7660, -112386
7680, -112418
7690, -112447
7710, -112480
7720, -112509
7740, -112542
7750, -112574
7770, -112604
7790, -112640
7800, -112664
7820, -112698
7830, -112726
7850, -112758
7860, -112792
7880, -112821
7890, -112852
7910, -112885
7930, -112917
7940, -112947
7960, -112984
7970, -113013
7990, -113046
8000, -113078
8020, -113106
8040, -113143
8050, -113168
8070, -113203
8080, -113231
8100, -113261
8110, -113293
8130, -113322
8140, -113354
8160, -113390
8180, -113425
8190, -113451
8210, -113488
8220, -113515
8240, -113547
8250, -113581
8270, -113610
8280, -113641
8300, -113671
8320, -113703
8330, -113730
8350, -113763
8360, -113796
8380, -113827
8390, -113859
8410, -113891
8430, -113924
8440, -113951
8460, -113989
8470, -114018
8490, -114052
8500, -114086
8520, -114115
8530, -114148
8550, -114179
8570, -114212
8580, -114240
8600, -114277
8610, -114306
8630, -114343
8640, -114377
8660, -114408
8670, -114442
8690, -114476
8710, -114511
8720, -114542
8740, -114578
8750, -114608
8770, -114640
8780, -114671
8800, -114701
8820, -114740
8830, -114768
8850, -114803
8860, -114833
8880, -114865
8890, -114897
8910, -114931
8920, -114965
8940, -115000
8960, -115040
8970, -115068
8990, -115101
9000, -115130
9020, -115161
9030, -115194
9050, -115226
9060, -115258
9080, -115292
9100, -115328
9110, -115355
9130, -115389
9140, -115416
9160, -115451
9170, -115505
9190, -115541
9210, -115576
9220, -115601
9240, -115635
9250, -115661
9270, -115697
9280, -115728
9300, -115760
9310, -115795
9330, -115824
9350, -115859
9360, -115888
9380, -115920
9390, -115952
9410, -115990
9420, -116018
9440, -116049
9450, -116079
9470, -116105
9490, -116120
9500, -116121
9520, -116122
9530, -116122
9550, -116122
9560, -116121
9580, -116121
9600, -116121
9610, -116121
9630, -116121
9640, -116121
9660, -116121
9670, -116121
9690, -116121
9700, -116121
9720, -116121
9740, -116121
9750, -116121
9770, -116121
9780, -116121
9800, -116121
9810, -116121
9830, -116121
9840, -116121
9860, -116121
9880, -116121
9890, -116121
9910, -116121
9920, -116121
9940, -116121
9950, -116121
9970, -116121
9990, -116121
10000, -116119
10020, -116118
10030, -116113
10050, -116102
10070, -116092
10080, -116081
10100, -116065
10120, -116036
10130, -116002
