Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10878432, -4436730, -31823012, 57541, 201389, -207615,0, 
0x00000000, -10877032, -4439788, -31820972, 57908, 201244, -207470,152, 
0x00000000, -10877005, -4436109, -31819456, 58017, 201171, -207883,307, 
0x00000000, -10873790, -4442204, -31823040, 57923, 201176, -207734,463, 
0x00000000, -10869527, -4446252, -31823052, 58026, 201034, -207463,613, 
0x00000000, -10873016, -4435999, -31807600, 58037, 201081, -207615,767, 
0x00000000, -10868700, -4443225, -31809380, 58314, 201111, -207650,921, 
0x00000000, -10867473, -4426777, -31802402, 58383, 200600, -207775,1073, 
0x00000000, -10869372, -4445395, -31796938, 58507, 200938, -207529,1277, 
0x00000000, -10870260, -4436481, -31803302, 58549, 200763, -207625,1428, 
0x00000000, -10873727, -4442326, -31801420, 58647, 200679, -207572,1590, 
0x00000000, -10861909, -4435288, -31797898, 59054, 200577, -207518,1745, 
0x00000000, -10868700, -4444847, -31793728, 58871, 200397, -207670,1904, 
0x00000000, -10867233, -4439831, -31795488, 59090, 200599, -207648,2065, 
0x00000000, -10869284, -4431783, -31788516, 59041, 200354, -207758,2215, 
0x00000000, -10875399, -4439390, -31784514, 59376, 200158, -207465,2366, 
0x00000000, -10870432, -4432726, -31792858, 59569, 200417, -207490,2526, 
0x00000000, -10867421, -4443120, -31782792, 59588, 200242, -207492,2678, 
0x00000000, -10864230, -4441337, -31782476, 59394, 200033, -207503,2830, 
0x00000000, -10856655, -4447958, -31956832, 64569, 195084, -207008,2986, 
0x00000000, -10815964, -4444102, -32209752, 72461, 187534, -205837,3140, 
0x00000000, -10773570, -4471722, -32562168, 82633, 177521, -203168,3292, 
0x00000000, -10688709, -4422612, -32912336, 93131, 167491, -202005,3442, 
0x00000000, -10590218, -4350624, -33178784, 100991, 159815, -201416,3599, 
0x00000000, -10522604, -4372168, -33465120, 109532, 151750, -198388,3752, 
0x00000000, -10514972, -4500559, -33759616, 118309, 143371, -194627,3904, 
0x00000000, -10523982, -4558393, -34020664, 126187, 135810, -192813,4056, 
0x00000000, -10519298, -4616641, -34260704, 133442, 128618, -190686,4215, 
0x00000000, -10411326, -4516321, -34555500, 142443, 120707, -190028,4366, 
0x00000000, -10276901, -4444178, -34870940, 152017, 112092, -187692,4518, 
0x00000000, -10167307, -4360864, -35159184, 160775, 103947, -186636,4674, 
0x00000000, -10065991, -4373583, -35443984, 169737, 95561, -183656,4826, 
0x00000000, -10031471, -4477986, -35777248, 179215, 86496, -179126,4978, 
0x00000000, -10022636, -4556038, -36066048, 188140, 78266, -176241,5133, 
0x00000000, -9984333, -4640067, -36360948, 196698, 69895, -172315,5284, 
0x00000000, -9916477, -4690139, -36627672, 204561, 63130, -168861,5438, 
0x00000000, -9920433, -4834677, -36955904, 214771, 53769, -164346,5594, 
0x00000000, -9921801, -4958337, -37256248, 224013, 45087, -161292,5748, 
0x00000000, -9846899, -5023909, -37567472, 233024, 36459, -156725,5899, 
0x00000000, -9771709, -5099233, -37892408, 243043, 27553, -151991,6050, 
0x00000000, -9781191, -5207230, -38190720, 251268, 19877, -148719,6203, 
0x00000000, -9753290, -5310579, -38473376, 260021, 11767, -144980,6354, 
0x00000000, -9697621, -5273600, -38778380, 269915, 3446, -144164,6505, 
0x00000000, -9751030, -5438644, -39059984, 278272, -4145, -140854,6664, 
0x00000000, -9782141, -5645396, -39375152, 287565, -12814, -135928,6816, 
0x00000000, -9702970, -5617560, -39722704, 298489, -21888, -133443,6972, 
