Status: 0x00000000
Fx: -10838904
Fy: -4448729
Fz: -31602056
Tx: 58090
Ty: 202369
Tz: -207106
1645288439289
Status: 0x00000000
Fx: -10844119
Fy: -4448172
Fz: -31599652
Tx: 58161
Ty: 202242
Tz: -207400
1645288439438
Status: 0x00000000
Fx: -10845776
Fy: -4451581
Fz: -31590246
Tx: 58092
Ty: 202160
Tz: -207238
1645288439590
Status: 0x00000000
Fx: -10844240
Fy: -4445187
Fz: -31602640
Tx: 58295
Ty: 202243
Tz: -207079
1645288439740
Status: 0x00000000
Fx: -10838462
Fy: -4447053
Fz: -31598078
Tx: 58441
Ty: 202118
Tz: -207230
1645288439892
Status: 0x00000000
Fx: -10841964
Fy: -4445877
Fz: -31590888
Tx: 58575
Ty: 201991
Tz: -207398
1645288440047
Status: 0x00000000
Fx: -10839064
Fy: -4446629
Fz: -31588790
Tx: 58750
Ty: 202086
Tz: -207071
1645288440393
Status: 0x00000000
Fx: -10842926
Fy: -4446128
Fz: -31592612
Tx: 58864
Ty: 201829
Tz: -207352
1645288440544
Status: 0x00000000
Fx: -10842695
Fy: -4441124
Fz: -31587068
Tx: 59054
Ty: 201906
Tz: -207043
1645288440699
Status: 0x00000000
Fx: -10847233
Fy: -4439378
Fz: -31584196
Tx: 59206
Ty: 201990
Tz: -207339
1645288440874
Status: 0x00000000
Fx: -10844787
Fy: -4440215
Fz: -31586444
Tx: 59236
Ty: 201695
Tz: -207356
1645288441025
Status: 0x00000000
Fx: -10845110
Fy: -4444370
Fz: -31580772
Tx: 59389
Ty: 201662
Tz: -207209
1645288441177
Status: 0x00000000
Fx: -10836600
Fy: -4443431
Fz: -31582880
Tx: 59248
Ty: 201521
Tz: -207411
1645288441327
Status: 0x00000000
Fx: -10842539
Fy: -4447228
Fz: -31581344
Tx: 59393
Ty: 201703
Tz: -207280
1645288441475
Status: 0x00000000
Fx: -10841740
Fy: -4441515
Fz: -31579138
Tx: 59672
Ty: 201311
Tz: -207235
1645288441627
Status: 0x00000000
Fx: -10837026
Fy: -4433587
Fz: -31580922
Tx: 59829
Ty: 201351
Tz: -207164
1645288442101
Status: 0x00000000
Fx: -10848276
Fy: -4443262
Fz: -31566188
Tx: 59911
Ty: 201464
Tz: -207441
1645288442260
Status: 0x00000000
Fx: -10838296
Fy: -4433695
Fz: -31562660
Tx: 60063
Ty: 201409
Tz: -207327
1645288442423
Status: 0x00000000
Fx: -10835573
Fy: -4436718
Fz: -31574600
Tx: 60033
Ty: 201357
Tz: -207185
1645288442581
Status: 0x00000000
Fx: -10836307
Fy: -4438807
Fz: -31556002
Tx: 59996
Ty: 201235
Tz: -207207
1645288442738
Status: 0x00000000
Fx: -10841835
Fy: -4444511
Fz: -31563604
Tx: 60169
Ty: 201268
Tz: -207409
1645288442897
Status: 0x00000000
Fx: -10838221
Fy: -4436522
Fz: -31560376
Tx: 60238
Ty: 201271
Tz: -207233
1645288443054
Status: 0x00000000
Fx: -10835348
Fy: -4442242
Fz: -31549544
Tx: 60338
Ty: 201196
Tz: -207380
1645288443210
Status: 0x00000000
Fx: -10836858
Fy: -4435382
Fz: -31549366
Tx: 60342
Ty: 201062
Tz: -207492
1645288443368
Status: 0x00000000
Fx: -10834510
Fy: -4437658
Fz: -31548620
Tx: 60748
Ty: 201113
Tz: -207277
1645288443533
Status: 0x00000000
Fx: -10834990
Fy: -4441446
Fz: -31544700
Tx: 60654
Ty: 201143
Tz: -207144
1645288443694
Status: 0x00000000
Fx: -10832631
Fy: -4433833
Fz: -31550468
Tx: 60910
Ty: 200977
Tz: -207252
1645288443853
Status: 0x00000000
Fx: -10832864
Fy: -4438764
Fz: -31539094
Tx: 60674
Ty: 200906
Tz: -207545
1645288444012
Status: 0x00000000
Fx: -10835179
Fy: -4435316
Fz: -31534486
Tx: 60765
Ty: 201056
Tz: -207436
1645288444168
Status: 0x00000000
Fx: -10836746
Fy: -4436021
Fz: -31531888
Tx: 60790
Ty: 200997
Tz: -207534
1645288444351
Status: 0x00000000
Fx: -10833392
Fy: -4440210
Fz: -31533554
Tx: 60794
Ty: 200901
Tz: -207388
1645288444508
Status: 0x00000000
Fx: -10839386
Fy: -4436304
Fz: -31513480
Tx: 60789
Ty: 201217
Tz: -207079
1645288444667
Status: 0x00000000
Fx: -10833883
Fy: -4430543
Fz: -31534684
Tx: 61091
Ty: 200894
Tz: -207143
1645288444828
Status: 0x00000000
Fx: -10839691
Fy: -4429270
Fz: -31527718
Tx: 61204
Ty: 200702
Tz: -207470
1645288444992
Status: 0x00000000
Fx: -10839811
Fy: -4437767
Fz: -31523008
Tx: 61149
Ty: 200702
Tz: -207514
1645288445149
Status: 0x00000000
Fx: -10836939
Fy: -4435966
Fz: -31524336
Tx: 61243
Ty: 200980
Tz: -207525
1645288445305
Status: 0x00000000
Fx: -10835391
Fy: -4441188
Fz: -31506152
Tx: 61095
Ty: 200695
Tz: -207460
1645288445463
Status: 0x00000000
Fx: -10835594
Fy: -4441133
Fz: -31516050
Tx: 61291
Ty: 200639
Tz: -207059
1645288445618
Status: 0x00000000
Fx: -10845060
Fy: -4438621
Fz: -31503342
Tx: 61485
Ty: 200351
Tz: -207421
1645288445775
Status: 0x00000000
Fx: -10835441
Fy: -4434258
Fz: -31508792
Tx: 61134
Ty: 200695
Tz: -207367
1645288445936
Status: 0x00000000
Fx: -10684653
Fy: -4336826
Fz: -31940276
Tx: 74071
Ty: 188487
Tz: -205444
1645288446097
Status: 0x00000000
Fx: -10591287
Fy: -4322528
Fz: -32305790
Tx: 85244
Ty: 177782
Tz: -202635
1645288446257
Status: 0x00000000
Fx: -10374100
Fy: -4247400
Fz: -32751268
Tx: 98536
Ty: 165461
Tz: -198097
1645288446417
Status: 0x00000000
Fx: -10284766
Fy: -4191252
Fz: -33179576
Tx: 111904
Ty: 153474
Tz: -196564
1645288446606
Status: 0x00000000
Fx: -10189808
Fy: -4188242
Fz: -33600688
Tx: 124914
Ty: 142227
Tz: -193459
1645288446761
Status: 0x00000000
Fx: -10146808
Fy: -4229322
Fz: -33989688
Tx: 136340
Ty: 131593
Tz: -190265
1645288446916
Status: 0x00000000
Fx: -10067198
Fy: -4316717
Fz: -34456536
Tx: 150389
Ty: 118973
Tz: -185643
1645288447070
Status: 0x00000000
Fx: -9981228
Fy: -4300234
Fz: -34887744
Tx: 163904
Ty: 107613
Tz: -182632
1645288447227
Status: 0x00000000
Fx: -9901491
Fy: -4259879
Fz: -35322488
Tx: 177529
Ty: 95736
Tz: -180780
1645288447387
Status: 0x00000000
Fx: -9914006
Fy: -4476654
Fz: -35770720
Tx: 190594
Ty: 84070
Tz: -174657
1645288447544
Status: 0x00000000
Fx: -10046129
Fy: -4762568
Fz: -36221384
Tx: 205018
Ty: 72456
Tz: -170128
1645288447701
Status: 0x00000000
Fx: -9999581
Fy: -4960611
Fz: -36695384
Tx: 219521
Ty: 59982
Tz: -163461
1645288447868
Status: 0x00000000
Fx: -9956889
Fy: -5002160
Fz: -37149220
Tx: 233982
Ty: 47893
Tz: -160422
1645288448022
Status: 0x00000000
Fx: -10107143
Fy: -5228490
