, -199357
24290, -199357
24300, -199357
24320, -199357
24340, -199357
24350, -199357
24240, -199357
24250, -199357
24270, -199357
24290, -199357
24300, -199357
24320, -199357
24340, -199357
2435þ0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
10, 0
10, 0
20, 0
30, 0
40, 0
40, 0
50, 0
60, 0
70, 0
70, 0
80, 0
90, 0
90, 0
100, 0
110, 0
120, 0
130, 0
140, 0
140, 0
150, 0
160, 0
170, 0
180, 0
190, 0
190, 0
200, 0
210, 0
220, 0
230, 0
240, 0
240, 0
250, 0
260, 0
270, 0
280, 0
290, 0
290, 0
300, 0
310, 0
320, 0
330, 0
330, 0
340, 0
350, 0
360, 0
370, 0
380, 0
380, 0
390, 0
400, -1
410, -2
420, -2
430, -3
440, -4
450, -7
460, -10
470, -14
480, -17
490, -21
500, -24
510, -28
520, -33
530, -37
540, -41
550, -45
560, -51
570, -56
580, -63
590, -72
600, -79
610, -86
620, -92
630, -98
640, -106
660, -119
670, -128
680, -136
690, -144
700, -153
710, -163
720, -174
740, -185
750, -192
760, -200
770, -210
780, -221
790, -231
810, -242
820, -250
830, -261
840, -272
850, -282
860, -291
870, -300
890, -317
900, -328
910, -337
920, -345
930, -357
940, -370
950, -382
970, -394
980, -404
990, -414
1000, -427
1010, -437
1020, -448
1040, -462
1050, -475
1060, -486
1070, -497
1090, -513
1100, -527
1110, -540
1120, -553
1140, -570
1150, -583
1160, -596
1170, -610
1190, -627
1200, -639
1210, -651
1220, -667
1240, -683
1250, -694
1260, -708
1270, -723
1290, -737
1300, -748
1310, -764
1320, -781
1340, -795
1350, -806
1360, -822
1370, -836
1390, -850
1400, -864
1410, -879
1420, -892
1440, -908
1450, -923
1460, -937
1470, -951
1490, -969
1500, -984
1510, -997
1520, -1012
1540, -1030
1550, -1043
1560, -1061
1580, -1081
1590, -1096
1600, -1114
1620, -1133
1630, -1148
1650, -1171
1660, -1186
1670, -1202
1690, -1224
1700, -1238
1710, -1255
1730, -1277
1740, -1291
1750, -1308
1770, -1329
1780, -1344
1790, -1362
1810, -1383
1820, -1397
1830, -1415
1850, -1433
1860, -1448
1880, -1472
1890, -1486
1900, -1500
1920, -1523
1930, -1537
1940, -1553
1960, -1576
1970, -1590
1980, -1606
2000, -1627
2010, -1642
2020, -1659
2040, -1679
2050, -1694
2060, -1712
2080, -1731
2090, -1747
2110, -1771
2120, -1786
2130, -1801
2150, -1824
2160, -1838
2170, -1854
2190, -1876
2200, -1890
2210, -1906
2230, -1927
2240, -1942
2250, -1959
2270, -1980
2280, -1995
2290, -2012
2310, -2031
2320, -2046
2330, -2064
2350, -2083
2360, -2098
2380, -2121
2390, -2135
2400, -2151
2420, -2174
2430, -2189
2440, -2205
2460, -2227
2470, -2241
2480, -2258
2500, -2279
2510, -2294
2520, -2312
2540, -2332
2550, -2348
2560, -2366
2580, -2386
2590, -2401
2610, -2423
2620, -2436
2630, -2452
2650, -2474
2660, -2489
2670, -2503
2690, -2525
2700, -2540
2710, -2557
2730, -2579
2740, -2593
2750, -2610
2770, -2630
2780, -2645
2790, -2663
2810, -2682
2820, -2697
2840, -2720
2850, -2735
2860, -2751
2880, -2774
2890, -2789
2900, -2805
2920, -2828
2930, -2842
2940, -2858
2960, -2879
2970, -2894
2980, -2910
3000, -2931
3010, -2946
3020, -2963
3040, -2983
3050, -2998
3060, -3017
3080, -3035
3090, -3050
3110, -3074
3120, -3089
3130, -3106
3150, -3130
3160, -3144
3170, -3163
3190, -3187
3200, -3202
3210, -3223
3230, -3241
3240, -3258
3250, -3279
3270, -3297
3280, -3316
3290, -3336
3310, -3352
3320, -3373
3340, -3395
3350, -3410
3360, -3430
3380, -3448
3390, -3464
3400, -3485
3420, -3502
3430, -3520
3440, -3539
3460, -3558
3470, -3579
3480, -3597
3500, -3616
3510, -3633
3520, -3649
3540, -3668
3550, -3687
3570, -3705
3580, -3720
3590, -3738
3610, -3757
3620, -3776
3630, -3793
3650, -3812
3660, -3830
3670, -3845
3690, -3865
3700, -3883
3710, -3897
3730, -3915
3740, -3933
3750, -3949
3770, -3968
3780, -3987
3800, -4004
3810, -4018
3820, -4035
3840, -4052
3850, -4066
3860, -4084
3880, -4099
3890, -4114
3900, -4132
3920, -4148
3930, -4164
3940, -4183
3960, -4198
3970, -4215
3980, -4232
4000, -4246
4010, -4263
4020, -4282
4040, -4296
4050, -4313
4070, -4333
4080, -4346
4090, -4363
