encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,10256,11095,86,-55,141,-311,166,0
0,3662,1290,-919,-38,14,-104,321,0
0,2890,-5329,14078,204,-99,-23,480,0
0,8858,9060,7501,-28,24,129,634,0
5,12198,4385,-3283,-401,36,-84,788,0
136,8498,-4865,32,-191,75,-151,949,0
359,11394,2029,2797,-66,14,24,1103,0
672,13458,-4964,-1457,-45,81,-49,1265,0
1035,9926,14,3316,77,-201,32,1424,0
1453,4242,11969,-4886,-11,-54,-223,1597,0
1807,9550,-4078,-3994,73,-3,-126,1751,0
2148,3602,4315,-2122,-20,163,126,1903,0
2533,9942,-141,-6774,-92,-63,-56,2065,0
2914,3674,4076,736,89,-105,-144,2219,0
3269,4454,3817,10809,182,-115,-70,2370,0
3634,-430,-5090,-1790,-240,252,-173,2531,0
3972,13518,930,3477,221,38,57,2688,-1
4277,8132,-1464,-4232,90,-1,4,2844,-1
4572,1606,3458,4355,174,-198,3,3003,-1
4863,85832,6310,-3825,297,-146,-197,3157,-1
5146,371242,22553,-17511,1109,-14,-18,3310,-1
5432,629326,33028,-35481,1517,282,3,3467,-1
5732,836598,19124,-57754,2284,813,-227,3621,-1
6027,1089986,42919,-73809,3081,917,-258,3776,-1
6319,1333444,55431,-88642,3787,1585,-171,3928,-1
6584,1638914,50816,-86192,5300,2345,37,4082,-1
6912,1930142,62383,-125360,6237,3200,-305,4236,-1
7181,2208386,58317,-121457,7425,4168,-189,4388,-1
7507,2546978,68211,-133222,9191,5299,-312,4555,-1
7798,2869278,77981,-150412,10813,6203,-265,4709,-1
8067,3143558,62468,-187243,12245,7440,-264,4862,-1
8389,3420470,100511,-192543,14174,8561,-274,5023,-1
8684,3710430,113899,-170869,16366,10739,-101,5176,-1
8940,3990362,105390,-249922,19830,13359,-628,5333,-1
9267,4281054,92487,-257653,22080,15181,-740,5488,-1
9516,4547222,132875,-250614,24600,17520,-557,5643,-1
9825,4791806,148687,-255566,27266,19452,-429,5804,-1
10107,5070942,86161,-349671,29910,21737,-1438,5964,-1
10402,5347822,164549,-316571,32879,23948,-845,6118,-1
10694,5640234,208625,-208696,34706,25600,324,6275,-1
10980,5618610,208809,-256505,32372,22948,273,6431,-1
11264,5537778,163419,-298807,29975,21270,-323,6590,-1
11539,5483486,153658,-280049,28717,19852,-322,6744,-1
11825,5287814,167929,-269616,28132,19731,-73,6897,-1
12098,5105250,158106,-249673,28229,19959,-413,7051,-1
12352,4996130,148083,-246739,28106,19691,-397,7207,-1
12596,4948626,118947,-249919,28738,20710,-455,7361,-1
12848,5109618,119727,-240589,30000,21761,-481,7520,-1
13073,5088118,132252,-225188,30563,22246,-237,7673,-1
13322,4983522,106476,-234836,30193,21847,-599,7825,-1
13534,4923906,128049,-207898,30160,22173,-151,7977,-1
13754,4809654,105848,-191145,29968,21831,-289,8129,-1
13972,4667842,122410,-266283,29744,21698,-370,8288,0
14198,4523266,140085,-210300,29937,22485,-127,8446,0
14431,4334370,142677,-182631,29334,22427,35,8605,0
14660,4142510,117662,-191611,28504,21923,-174,8761,0
14914,3968710,87099,-166399,28192,21439,-423,8915,0
15034,3949594,16620,-153625,27835,21492,-720,9068,0
15035,3957394,-33453,-159123,28051,21473,-1543,9222,0
15035,3987258,-50091,-171694,28159,21664,-1199,9375,0
15035,4152910,-64878,-165006,29592,22801,-1582,9530,0
15035,4150562,-78553,-139862,29388,22792,-1745,9685,0
14967,4176702,-149664,61872,29768,23130,-845,9838,0
14752,4117722,-283579,247285,29490,22122,-472,10004,0
14487,4263738,-342988,266768,28462,20370,-898,10158,0
14015,5051778,-365346,272719,31005,21148,-1089,10319,0
13481,5815762,-345788,301843,34171,22856,-817,10480,1
12852,6516670,-353703,348895,37202,24696,-611,10649,1
12373,7031746,-362948,367967,39896,27151,-647,10802,1
11917,7328562,-377391,359558,44779,31926,-564,10959,1
11517,7453150,-470576,331490,45941,32974,-1396,11112,1
11151,7389098,-570634,259485,44865,32260,-2600,11264,1
10769,7248934,-483303,303641,44840,32371,-1653,11419,1
10412,7145458,-459565,339133,44246,32132,-1176,11576,1
10034,6900266,-443928,326016,41439,29921,-991,11728,1
9621,7098582,-480245,320540,39729,27665,-1476,11888,1
9146,5485354,-360597,353350,31590,22561,-897,12054,1
8690,4947530,-354588,302804,26840,18709,-905,12209,1
8256,4433058,-308461,289550,22803,15891,-549,12363,1
7602,3869722,-292234,227438,18458,12579,-570,12521,1
6943,3282470,-239640,185953,13699,9097,-708,12677,1
6347,2701578,-205088,152126,9951,6015,-480,12829,1
5770,2149070,-150271,145531,6303,3490,-561,12980,1
5195,1627890,-107022,90621,3818,2037,-517,13133,1
4657,1148810,-67080,75124,1989,506,-128,13293,1
4043,832842,-71793,25373,814,-153,-275,13455,1
3552,489266,-37755,31144,17,-188,-160,13608,2
3007,162842,-11439,17352,-628,-516,104,13789,2
2353,41108,1412,11895,-448,-202,-42,13980,2
1854,44972,10036,19928,-284,-420,173,14134,2
1346,54574,-8650,7469,-780,134,-60,14293,2
780,32022,5550,12690,-619,133,224,14446,2
289,40418,-31,10049,-699,-282,-123,14598,2
-95,41002,-7722,7038,-790,-118,-61,14766,2
-107,22926,8078,3650,-798,-3,51,14933,2
-107,37958,-5437,9488,-730,-230,-405,15085,2
-108,40092,3492,5470,-776,-93,-269,15239,2
-109,25442,-4371,7218,-662,-224,-124,15391,2
-109,35030,1897,9935,-656,-174,-12,15543,2
