encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,-10294,660,3840,-299,151,71,155,0
0,-16772,-7463,-3793,88,196,280,319,0
0,-14748,3762,-8232,-335,-245,244,477,0
0,-9856,-2846,-1385,-15,275,356,633,0
0,-4472,-329,-2868,-312,85,225,792,0
0,-7748,4479,-5298,-376,-38,244,969,0
0,-17104,3808,-2588,-404,118,466,1124,0
0,-17258,2924,-2008,-175,-303,142,1279,0
211,-10038,-2713,-6350,-682,113,362,1816,0
388,-17768,1150,-10969,-433,-114,438,1979,0
571,-10848,-1266,-4329,-244,-126,-10,2138,0
753,-18108,-599,-302,-408,4,242,2299,0
957,-17924,7018,-9277,-363,-114,85,2465,0
1163,-9840,7090,-1620,-419,-149,257,2624,0
1375,-14880,1474,-5536,-308,-58,-49,2782,0
1602,-19748,-305,-6965,-293,114,408,2943,0
1832,-19920,-1718,-6402,-186,2,163,3105,0
2055,-15094,-4071,-5295,-592,-137,265,3268,0
2263,-15296,2781,1293,-390,-88,150,3426,0
2444,-14656,-1160,-10406,-469,-143,563,3584,0
2636,-11718,-2738,-7116,-594,26,129,3742,0
2819,-10502,1262,-10994,-603,34,79,3900,0
3020,-6480,3513,-6885,-514,-72,-3,4059,0
3240,109140,11716,-16205,-923,-793,389,4217,0
3466,273640,17023,-28174,-1671,-2111,132,4386,0
3701,475160,30750,-29176,-2215,-3310,-5,4549,0
3971,635622,36105,-36475,-2699,-4126,97,4715,0
4206,820904,24988,-48564,-1627,-5495,97,4875,0
4463,975128,42180,-29709,-1670,-6572,-128,5044,0
4725,1128968,45076,-61441,-1649,-7061,231,5200,0
4979,1309916,55794,-53377,-1203,-8345,146,5355,0
5235,1470536,56398,-45135,-880,-9085,98,5518,0
5464,1676154,82138,-42548,-1119,-9892,72,5674,0
5726,1846116,82928,-57472,-1076,-10557,34,5831,0
5958,2058720,88524,-28680,-1051,-11082,73,5985,0
6216,2261222,117441,-26664,-1181,-11398,-49,6149,0
6477,2492758,116250,-65262,-1267,-12594,151,6314,0
6729,2700520,125701,-104494,-1013,-13511,314,6469,0
6954,2918212,145262,-45588,-268,-14245,-51,6625,-1
7190,3083624,117945,-112025,261,-14983,307,6780,-1
7415,3304040,147368,-67824,553,-15871,-157,6937,-1
7639,3459436,149110,-73495,690,-16263,-219,7093,-1
7855,3631512,158305,-62567,855,-16716,-42,7251,-1
8069,3796320,190216,-12983,548,-17363,-349,7405,-1
8290,3936632,190449,-69486,938,-17892,-29,7574,-1
8480,4113272,209240,-61410,1092,-18224,-387,7730,-1
8672,4244180,222433,-65483,1058,-18843,-83,7888,-1
8856,4401816,190782,-129177,1488,-19274,23,8046,-1
9049,4538556,168887,-159550,1966,-19857,301,8201,-1
9238,4667248,211445,-117957,2094,-20470,-42,8362,-1
9445,4808384,168070,-141295,2655,-20401,4,8521,-1
9637,4941156,221167,-59294,2937,-21159,-219,8683,-1
9842,5081692,251058,-44140,3247,-21431,118,8846,-1
10031,5247588,215610,-18388,3610,-22137,-274,9009,-1
10222,5395220,276378,33248,3753,-22892,-681,9168,-1
10424,5554092,271437,15050,4032,-23238,-694,9324,-1
10645,5686052,238808,8253,4217,-23688,-308,9479,-1
10855,5834220,266600,19753,4511,-24121,-481,9638,-1
11073,6029760,234018,48446,4984,-24712,-726,9791,-1
11291,6189784,294346,80417,5232,-25420,-1086,9947,-1
11507,6282312,172437,26485,5222,-25705,-964,10103,-1
11731,6247972,212012,38767,5093,-25182,-950,10260,-1
11939,6266092,230592,29959,5023,-25071,-877,10415,-1
12149,6282468,230996,49690,5083,-25107,-445,10572,-1
12379,6387036,231683,36580,5102,-25258,-819,10727,-1
12589,6455808,281302,45743,4994,-25984,-896,10881,-1
12814,6559224,326371,81153,5103,-26067,-737,11035,-1
13023,6541584,251423,9157,5122,-25332,-477,11191,-1
13221,6485936,351045,33914,5266,-25220,-724,11345,-1
13426,6481088,250426,-126720,5212,-24500,86,11500,-1
13658,6522760,352500,-35901,5206,-24803,-544,11660,-1
13888,6644332,378585,-27569,5369,-24946,-417,11815,-1
14098,6799464,305620,-111390,5627,-25894,-197,11967,-1
14303,6875312,391484,-61717,6111,-26195,-278,12125,-1
14537,6895024,262332,-193243,6502,-25641,7,12288,-1
14745,6871548,351293,-157801,7131,-25955,116,12443,-1
14951,6847940,357322,-164994,7118,-25833,179,12596,-1
15162,6819408,266768,-252574,7932,-25097,360,12750,-1
15367,6879272,296056,-290410,8507,-25569,647,12904,-1
15601,7108564,159744,-356356,9460,-26443,729,13064,-1
15831,7265656,116127,-432462,10202,-26998,893,13221,-1
16040,7277448,145047,-363762,10565,-27574,714,13377,-1
16247,7217968,208207,-311671,10526,-27347,457,13531,-1
16478,7228664,284815,-238534,10783,-27430,554,13687,-1
16683,7159888,319437,-194602,10993,-27283,342,13845,-1
16910,6960768,-6228,-563419,10623,-26450,1503,13999,0
17116,6927916,132760,-442813,11201,-25854,1046,14155,0
17320,6977448,234272,-368573,11888,-26141,1148,14308,0
17397,6987064,211583,-324599,11893,-25631,1042,14461,0
17397,6989184,203081,-337689,12000,-25911,809,14615,0
17397,6998236,195075,-328536,12135,-26160,700,14771,0
17397,7042016,222487,-197225,11716,-26129,360,14923,0
17308,7036892,158886,-104785,11941,-26161,-78,15079,0
17197,7080456,148232,16004,11948,-26385,-740,15244,0
17088,7150728,159742,167251,11975,-26615,-1220,15397,0
16980,7253912,220351,365916,12205,-27200,-1920,15554,0
16846,7354576,58682,369513,12263,-27342,-2144,15710,0
16715,7347904,-175257,325377,11844,-27489,-2276,15865,1
16579,7366872,-414543,269354,11373,-28273,-2830,16021,1
16442,7378632,-430285,51950,8524,-31403,-1584,16175,1
16309,7468356,-453623,28351,7419,-32952,-1513,16328,1
16179,7551300,-470474,30663,7006,-33728,-1637,16481,1
16043,7641144,-512895,6610,6687,-34318,-1544,16634,1
15902,7716848,-529411,28077,6408,-34793,-1894,16789,1
15757,7785948,-450146,49543,5879,-36198,-1763,16942,1
15589,7854244,-496913,26691,5808,-36548,-1851,17094,1
15386,7913560,-513254,77605,5658,-36920,-2074,17246,1
15195,7979236,-502250,95801,5463,-37108,-1843,17406,1
15035,8023188,-538274,71871,5229,-37279,-1880,17572,1
14856,8059552,-545091,103020,4923,-37304,-2232,17728,1
14697,8105480,-548200,95894,4760,-37534,-1859,17885,1
14530,8168388,-527375,140914,4621,-37860,-2048,18038,1
14358,8213644,-536979,133357,4297,-37883,-2599,18191,1
14151,8250852,-536195,132872,4050,-38046,-2357,18356,1
13985,8287176,-549009,143575,4192,-38154,-2317,18509,1
13815,8315448,-526162,159327,3729,-38215,-2538,18665,1
13639,8315960,-542885,151390,3763,-37640,-2360,18819,1
13455,8321224,-573941,151371,3850,-37371,-2399,18974,1
13250,8331612,-644441,108287,4015,-37307,-2240,19127,1
13056,8354808,-721064,76485,3558,-37396,-2216,19282,1
12841,8271724,-767239,59700,3271,-36840,-1974,19435,1
12627,8246760,-534119,91466,-353,-41186,-2275,19589,1
12396,8130704,-497993,77178,-1896,-41493,-1796,19744,1
12174,8010284,-441995,153770,-2242,-41276,-2285,19904,1
11913,7802576,-513950,125759,-2706,-40078,-2140,20069,1
11677,7619204,-529720,49265,-3446,-39552,-1411,20222,1
11410,7412316,-513209,39382,-4627,-40186,-1377,20385,1
11148,7294396,-511235,-22060,-5295,-40364,-1207,20539,1
10908,7180220,-507710,-55419,-5795,-40850,-1098,20692,1
10669,6903020,-448428,-84807,-5646,-39685,-477,20846,1
10432,6669584,-541597,-182049,-5609,-38064,269,20998,1
10193,6430924,-487979,-189961,-5771,-37039,23,21150,1
9954,6205784,-493975,-198052,-5254,-35749,143,21302,1
9684,5961872,-450462,-189304,-5307,-34129,324,21457,1
9429,5721948,-430722,-175772,-5123,-32748,87,21611,1
9148,5503376,-402151,-216487,-5041,-31214,492,21769,1
8896,5267920,-419796,-179299,-4898,-29935,444,21920,1
8641,5049640,-386909,-192923,-5018,-28695,414,22074,1
8387,4845504,-355136,-184855,-4785,-27728,530,22227,1
8136,4632472,-341352,-251217,-4707,-26329,657,22381,1
7881,4422240,-328962,-223161,-4853,-24890,810,22533,1
7598,4189128,-340107,-188722,-4883,-23543,768,22686,1
7345,3970864,-315752,-120128,-4692,-22309,246,22844,1
7094,3769032,-264838,-70903,-4771,-20997,-121,23001,1
6840,3556180,-256130,-82122,-4898,-20017,68,23154,1
6554,3324596,-266278,-57946,-4703,-18922,84,23306,2
6293,3091184,-210463,-23073,-4725,-17942,-333,23462,2
5995,2867064,-230488,-40067,-4825,-16919,-144,23615,2
5730,2678080,-199798,-2231,-4551,-16249,-278,23766,2
5457,2442466,-191735,-14411,-4157,-15382,-154,23919,2
5191,2244992,-161150,3631,-4251,-14398,20,24072,2
4923,2004548,-167747,-13465,-4523,-13551,64,24230,2
4624,1794764,-134212,9498,-4396,-12460,16,24388,2
4352,1574834,-111461,7212,-4403,-11259,192,24544,2
4055,1367846,-105785,-9238,-4659,-10430,193,24696,2
3788,1184316,-79316,-15640,-4384,-9714,81,24849,2
3521,1006132,-81059,-16006,-3861,-8391,114,25002,2
3250,859028,-62412,-3301,-3622,-7227,1,25155,2
2983,684066,-57190,-15708,-3358,-5864,253,25309,2
2714,536908,-32470,-10052,-2619,-4800,110,25463,2
2416,391160,-30495,-8011,-2309,-3551,229,25618,2
2149,295788,-23323,-916,-1857,-2911,368,25771,2
1850,194182,-26238,-20715,-1585,-1780,443,25927,2
1572,125830,-21024,-13552,-1367,-1152,234,26083,2
1288,78014,-17282,-21089,-926,-611,56,26237,2
1002,24564,-11314,-13080,-866,-150,333,26389,2
717,40478,-10626,-4644,-810,-179,-7,26544,2
395,35346,-10949,-11657,-629,-122,284,26700,2
81,39080,-4168,-11804,-681,-267,286,26855,2
-224,31944,3661,1504,-552,-63,77,27010,2
218,19752,-20038,-4304,-718,-401,288,27165,2
261,13724,-13927,-22824,-962,-86,311,27318,2
261,31374,-18326,-13291,-813,-251,314,27470,2
261,27170,-1796,-12041,-609,-468,273,27627,2
261,18116,-119,-4776,-471,-292,178,27781,2
261,18490,-7976,-7914,-642,-291,310,27939,2
