Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10666076, -4278599, -30627752, 62697, 199021, -207062,0, 
0x00000000, -10664912, -4285438, -30630344, 62709, 199381, -207220,157, 
0x00000000, -10667376, -4271432, -30625088, 62557, 198835, -207217,335, 
0x00000000, -10671169, -4278267, -30625920, 62623, 199071, -207368,504, 
0x00000000, -10665437, -4285627, -30636724, 62586, 198997, -207210,663, 
0x00000000, -10668783, -4282936, -30633492, 62551, 199038, -207387,838, 
0x00000000, -10664814, -4276621, -30637076, 62716, 198889, -206913,994, 
0x00000000, -10673699, -4285662, -30627364, 62629, 199148, -207120,1175, 
0x00000000, -10665064, -4283075, -30631292, 62774, 198874, -207051,1361, 
0x00000000, -10662686, -4285619, -30630186, 62537, 198732, -206894,1516, 
0x00000000, -10666403, -4278738, -30634406, 62562, 198806, -207259,1675, 
0x00000000, -10662655, -4281563, -30629230, 62612, 198951, -207068,1832, 
0x00000000, -10658705, -4282766, -30639456, 62791, 198780, -207116,1994, 
0x00000000, -10660135, -4296728, -30635980, 62394, 198709, -207136,2157, 
0x00000000, -10669810, -4278771, -30638326, 62706, 198684, -207187,2312, 
0x00000000, -10667104, -4292098, -30639228, 62399, 198685, -207349,2480, 
0x00000000, -10669492, -4280307, -30643940, 62673, 198878, -206913,2633, 
0x00000000, -10669455, -4288143, -30640984, 62541, 198810, -206728,2802, 
0x00000000, -10673082, -4287418, -30642008, 62709, 198756, -207349,2966, 
0x00000000, -10665164, -4281616, -30634460, 62425, 198854, -207229,3123, 
0x00000000, -10666911, -4290529, -30644250, 62729, 198800, -207198,3283, 
0x00000000, -10670064, -4285214, -30629336, 62643, 198674, -206910,3450, 
0x00000000, -10656329, -4294497, -30726660, 62065, 198014, -207041,3606, 
0x00000000, -10646793, -4294085, -30927836, 61860, 197028, -207321,3780, 
0x00000000, -10645397, -4289279, -31088424, 61675, 196026, -207207,3936, 
0x00000000, -10638161, -4313420, -31232516, 61333, 195225, -207168,4091, 
0x00000000, -10624062, -4320195, -31374306, 60964, 194445, -207255,4249, 
0x00000000, -10599706, -4280206, -31517516, 60788, 193947, -207002,4405, 
0x00000000, -10596507, -4315995, -31649896, 60737, 193503, -207451,4558, 
0x00000000, -10613662, -4298693, -31837170, 62791, 192242, -207400,4714, 
0x00000000, -10580739, -4321012, -31944216, 62924, 191589, -207065,4873, 
0x00000000, -10591377, -4328993, -32130176, 63411, 190846, -207256,5034, 
0x00000000, -10576458, -4316244, -32294996, 63502, 189815, -207186,5193, 
0x00000000, -10580292, -4340431, -32498670, 64182, 189459, -206966,5350, 
0x00000000, -10562759, -4323294, -32703688, 64464, 188560, -207094,5504, 
0x00000000, -10543492, -4294159, -32864730, 64526, 188636, -207694,5656, 
0x00000000, -10560008, -4280647, -33031284, 64711, 188397, -207366,5818, 
0x00000000, -10533514, -4302432, -33241962, 64857, 188068, -207202,5972, 
0x00000000, -10516042, -4258302, -33413506, 64882, 187594, -207593,6125, 
0x00000000, -10507948, -4271328, -33608828, 65046, 186831, -207657,6292, 
0x00000000, -10483247, -4274332, -33800944, 65600, 186309, -207654,6444, 
0x00000000, -10513625, -4329541, -33982016, 66117, 185864, -207277,6600, 
0x00000000, -10513301, -4345851, -34149248, 66654, 185615, -207321,6755, 
0x00000000, -10519414, -4369417, -34339184, 67214, 185186, -207148,6910, 
