Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10666982, -4183694, -30689508, 60884, 197146, -208352,0, 
0x00000000, -10660111, -4185200, -30691928, 61037, 196912, -208727,155, 
0x00000000, -10658170, -4191044, -30684764, 60811, 196974, -208395,309, 
0x00000000, -10651641, -4188691, -30675362, 61005, 196791, -208565,467, 
0x00000000, -10677373, -4185205, -30678420, 60852, 197139, -208350,624, 
0x00000000, -10663192, -4184084, -30675768, 60962, 197100, -208625,777, 
0x00000000, -10657182, -4183971, -30678828, 61239, 197001, -208652,932, 
0x00000000, -10666122, -4185524, -30677844, 60979, 197143, -208469,1087, 
0x00000000, -10662924, -4182244, -30678712, 61218, 197126, -208578,1241, 
0x00000000, -10664203, -4183918, -30679748, 60940, 197023, -208341,1402, 
0x00000000, -10663767, -4183602, -30677668, 60934, 197088, -208513,1569, 
0x00000000, -10662964, -4186099, -30684280, 61075, 196951, -208733,1734, 
0x00000000, -10669118, -4191053, -30685636, 61056, 196983, -208537,1887, 
0x00000000, -10667623, -4179809, -30692276, 60866, 197091, -208293,2042, 
0x00000000, -10668780, -4178828, -30684760, 61100, 197116, -208571,2196, 
0x00000000, -10660510, -4183447, -30678350, 61020, 196941, -208193,2350, 
0x00000000, -10657542, -4178658, -30685984, 60995, 196925, -208512,2505, 
0x00000000, -10667076, -4186200, -30686540, 61019, 197104, -208757,2659, 
0x00000000, -10671502, -4174206, -30683556, 60921, 197123, -208537,2813, 
0x00000000, -10663423, -4179951, -30681084, 61003, 196950, -208587,2967, 
0x00000000, -10665858, -4187908, -30677562, 60894, 197317, -208636,3122, 
0x00000000, -10665701, -4185756, -30690134, 60829, 197107, -208300,3275, 
0x00000000, -10664229, -4183527, -30685642, 60963, 196914, -208484,3434, 
0x00000000, -10667793, -4188150, -30693256, 60969, 196845, -208596,3587, 
0x00000000, -10669138, -4179040, -30689200, 61269, 196875, -208436,3751, 
0x00000000, -10659065, -4184027, -30690700, 60886, 196987, -208420,3906, 
0x00000000, -10671128, -4175516, -30685180, 61020, 196990, -208369,4062, 
0x00000000, -10665455, -4187531, -30688110, 61030, 197109, -208483,4217, 
0x00000000, -10667677, -4193184, -30689712, 60847, 197102, -208550,4372, 
0x00000000, -10672295, -4176560, -30686548, 61048, 197078, -208416,4530, 
0x00000000, -10662487, -4183235, -30681280, 60986, 196993, -208533,4688, 
0x00000000, -10660516, -4192240, -30688326, 61019, 196906, -208418,4842, 
0x00000000, -10664676, -4190856, -30690966, 61181, 197148, -208522,4997, 
0x00000000, -10657431, -4184907, -30681774, 60899, 196937, -208393,5150, 
0x00000000, -10651768, -4182063, -30682536, 60928, 196918, -208580,5307, 
0x00000000, -10660081, -4187045, -30679146, 61052, 196923, -208768,5460, 
0x00000000, -10656204, -4184502, -30668546, 61207, 196859, -208454,5613, 
0x00000000, -10659281, -4186314, -30687388, 61023, 197142, -208616,5766, 
0x00000000, -10656833, -4185951, -30670772, 60924, 197172, -208249,5921, 
0x00000000, -10669556, -4190303, -30673916, 61062, 197274, -208561,6074, 
0x00000000, -10661499, -4189468, -30675712, 61154, 196991, -208420,6234, 
0x00000000, -10657911, -4194237, -30671300, 61180, 197129, -208494,6388, 
0x00000000, -10658850, -4187375, -30658234, 61025, 197258, -208298,6542, 
0x00000000, -10654908, -4182617, -30670156, 61359, 196984, -208425,6696, 
0x00000000, -10657704, -4191398, -30660756, 61141, 197242, -208529,6852, 
0x00000000, -10661871, -4186109, -30664538, 61013, 197183, -208667,7006, 
0x00000000, -10655849, -4188040, -30661584, 61142, 197430, -208561,7158, 
0x00000000, -10655873, -4183194, -30661392, 61212, 197434, -208101,7315, 
0x00000000, -10665053, -4188227, -30656414, 61162, 197431, -208441,7470, 
0x00000000, -10648120, -4189003, -30730308, 60784, 197148, -208485,7630, 
0x00000000, -10652065, -4193595, -30823576, 61117, 196613, -208662,7782, 
0x00000000, -10644784, -4206864, -30905484, 60741, 196009, -208075,7935, 
0x00000000, -10634252, -4201426, -31004700, 60618, 195391, -208604,8087, 
0x00000000, -10635960, -4206870, -31112048, 60096, 194970, -208673,8240, 
0x00000000, -10632674, -4216458, -31196448, 59998, 194659, -208615,8392, 
0x00000000, -10615654, -4203429, -31254370, 60196, 194415, -208420,8545, 
0x00000000, -10602429, -4207567, -31332740, 59915, 193953, -208419,8699, 
0x00000000, -10603157, -4201216, -31403732, 59941, 194024, -208544,8852, 
0x00000000, -10596589, -4192607, -31476624, 59801, 193871, -208565,9004, 
0x00000000, -10589443, -4201274, -31555950, 59632, 193333, -208803,9163, 
0x00000000, -10592891, -4205626, -31633308, 59637, 193213, -208794,9316, 
0x00000000, -10584233, -4216991, -31712524, 59646, 192943, -208710,9469, 
0x00000000, -10571754, -4192950, -31769462, 59317, 193110, -208977,9621, 
0x00000000, -10562119, -4203056, -31865904, 60334, 192456, -208913,9776, 
0x00000000, -10604961, -4206730, -31921788, 61857, 192002, -208823,9931, 
0x00000000, -10583637, -4205129, -31996444, 61712, 191403, -208634,10085, 
0x00000000, -10568291, -4199992, -32060886, 61936, 191447, -208830,10240, 
0x00000000, -10566420, -4210943, -32134596, 62089, 191010, -208575,10396, 
0x00000000, -10585415, -4225435, -32226076, 62563, 190729, -208466,10548, 
0x00000000, -10576230, -4224610, -32303520, 62781, 190540, -208383,10700, 
0x00000000, -10557076, -4195979, -32396148, 63034, 190064, -208878,10853, 
0x00000000, -10568034, -4230190, -32483524, 63617, 189761, -208425,11004, 
0x00000000, -10551915, -4227746, -32587542, 63652, 189467, -208479,11156, 
0x00000000, -10546975, -4200801, -32686616, 63612, 189345, -208465,11308, 
0x00000000, -10537029, -4216800, -32779716, 63729, 188883, -208563,11460, 
0x00000000, -10527332, -4188333, -32879718, 63937, 188390, -208797,11615, 
0x00000000, -10551892, -4209707, -32983172, 63671, 188567, -208436,11766, 
0x00000000, -10546188, -4184062, -33056922, 64220, 188393, -208712,11918, 
0x00000000, -10536188, -4157203, -33154350, 64119, 188522, -209067,12071, 
0x00000000, -10508612, -4162962, -33261496, 64203, 189318, -208848,12223, 
0x00000000, -10499736, -4137082, -33363038, 63942, 188920, -209071,12375, 
0x00000000, -10506010, -4192920, -33486836, 64043, 188942, -208650,12528, 
0x00000000, -10498701, -4198214, -33624600, 64567, 188426, -208633,12679, 
0x00000000, -10477027, -4171236, -33735196, 65180, 188329, -208585,12830, 
0x00000000, -10525060, -4258844, -33844360, 65433, 188036, -208481,12984, 
0x00000000, -10492521, -4230493, -33986504, 65920, 187879, -208771,13143, 
0x00000000, -10478315, -4237070, -34097184, 66302, 187368, -208533,13295, 
0x00000000, -10512382, -4262838, -34199152, 66581, 187326, -208465,13448, 
0x00000000, -10479635, -4253188, -34335376, 67181, 187295, -208234,13600, 
0x00000000, -10488618, -4234455, -34435224, 67431, 187168, -208520,13752, 
0x00000000, -10466980, -4249297, -34554072, 67576, 187003, -208176,13903, 
0x00000000, -10449773, -4229717, -34676032, 67840, 186982, -208329,14057, 
0x00000000, -10425350, -4219867, -34785872, 68061, 186775, -208648,14210, 
0x00000000, -10413533, -4241393, -34894348, 68235, 186812, -208383,14368, 
0x00000000, -10408059, -4217380, -35004792, 68813, 186586, -208537,14524, 
0x00000000, -10354447, -4168452, -35112488, 69047, 186198, -208706,14679, 
0x00000000, -10416929, -4251324, -35221868, 69393, 186460, -208304,14836, 
0x00000000, -10417977, -4219368, -35309704, 69692, 186256, -208506,14988, 
0x00000000, -10380513, -4189902, -35401792, 70097, 185845, -208085,15147, 
0x00000000, -10435399, -4256928, -35489796, 70582, 185956, -208082,15301, 
0x00000000, -10396248, -4219616, -35611944, 70891, 185657, -208277,15453, 
0x00000000, -10380341, -4157570, -35717328, 71391, 185659, -208484,15606, 
0x00000000, -10407634, -4204015, -35831076, 71739, 185286, -208318,15758, 
0x00000000, -10399870, -4162109, -35949612, 72123, 185275, -208294,15912, 
0x00000000, -10356697, -4098254, -36048176, 72360, 184921, -208601,16068, 
0x00000000, -10334894, -4072021, -36162608, 72867, 184501, -208637,16225, 
0x00000000, -10349135, -4087822, -36273992, 73397, 184528, -208937,16381, 
0x00000000, -10324063, -4019147, -36366368, 73668, 184163, -208872,16534, 
0x00000000, -10316950, -4028557, -36482024, 73710, 184064, -208914,16690, 
0x00000000, -10376985, -4080662, -36601584, 74485, 183848, -209025,16844, 
0x00000000, -10364700, -4039639, -36692880, 74607, 183478, -208984,16994, 
0x00000000, -10305380, -3991409, -36800244, 74865, 183081, -208536,17152, 
0x00000000, -10321243, -4017513, -36923808, 75445, 182723, -208661,17305, 
0x00000000, -10381633, -4029886, -37019968, 75630, 182673, -208686,17460, 
0x00000000, -10379177, -4028909, -37098196, 75897, 182282, -208822,17614, 
0x00000000, -10363185, -3996600, -37221912, 75932, 182053, -208995,17766, 
0x00000000, -10411961, -4000613, -37224924, 76219, 182290, -208994,17917, 
0x00000000, -10394813, -3990577, -37162456, 76105, 182414, -208859,18079, 
0x00000000, -10372130, -3992865, -37111872, 75469, 182928, -208884,18230, 
0x00000000, -10377075, -3961143, -37074112, 75590, 182964, -209114,18384, 
0x00000000, -10363153, -3963046, -37030844, 75187, 183386, -208999,18544, 
0x00000000, -10365957, -4010202, -36983620, 74969, 183736, -208554,18698, 
0x00000000, -10398075, -4035656, -36915532, 74649, 184311, -208988,18848, 
0x00000000, -10307565, -3968902, -36868960, 74608, 184336, -208687,19000, 
0x00000000, -10382658, -4097567, -36822640, 74235, 185070, -208563,19154, 
0x00000000, -10330547, -4003193, -36815728, 74351, 185065, -208826,19308, 
0x00000000, -10374363, -4055895, -36828348, 73635, 185745, -208654,19458, 
0x00000000, -10361079, -4078414, -36851324, 74191, 185720, -208459,19611, 
0x00000000, -10328254, -4167453, -36822136, 73995, 186040, -208335,19768, 
0x00000000, -10293557, -4264421, -36771412, 73568, 186366, -208144,19922, 
0x00000000, -10304001, -4328596, -36744428, 74035, 187061, -208037,20072, 
0x00000000, -10343099, -4345793, -36693548, 74278, 187428, -208090,20229, 
0x00000000, -10296924, -4302521, -36663584, 74342, 187505, -208103,20384, 
0x00000000, -10236527, -4271183, -36617984, 74428, 188076, -207983,20536, 
0x00000000, -10294019, -4316549, -36599032, 74713, 188400, -207809,20690, 
0x00000000, -10356453, -4365885, -36721808, 75171, 188350, -208038,20841, 
0x00000000, -10384468, -4347124, -36720408, 75053, 188290, -208155,20992, 
0x00000000, -10392647, -4316721, -36703552, 74827, 188219, -208264,21152, 
0x00000000, -10395860, -4300679, -36715088, 75085, 188519, -208046,21303, 
0x00000000, -10412489, -4292177, -36706252, 75082, 188388, -208244,21456, 
0x00000000, -10399972, -4270642, -36693148, 75063, 188573, -208237,21618, 
0x00000000, -10426904, -4267731, -36706248, 74828, 188394, -208436,21774, 
0x00000000, -10445103, -4252106, -36702404, 74858, 188415, -208450,21926, 
0x00000000, -10518137, -4248334, -36677884, 74741, 188270, -208929,22080, 
0x00000000, -10582643, -4246737, -36683252, 74860, 188126, -209047,22234, 
0x00000000, -10587688, -4177103, -36705320, 74723, 187844, -208981,22390, 
0x00000000, -10574728, -4091837, -36751848, 75046, 188016, -209157,22544, 
0x00000000, -10597822, -4048702, -36782496, 75020, 187912, -209170,22695, 
0x00000000, -10626129, -3997456, -36816192, 75139, 187997, -209438,22848, 
0x00000000, -10612294, -3916401, -36823796, 75158, 187905, -209580,23003, 
0x00000000, -10620191, -3812144, -36824636, 75182, 187906, -209464,23157, 
0x00000000, -10675049, -3718271, -36813056, 75137, 187947, -209727,23313, 
0x00000000, -10702428, -3612834, -36802072, 75148, 187988, -209975,23466, 
0x00000000, -10758946, -3585655, -36790512, 74962, 187659, -210008,23619, 
0x00000000, -10968590, -3884653, -36812576, 73741, 186876, -210401,23778, 
0x00000000, -11011027, -3886545, -36830304, 73416, 186213, -210186,23933, 
0x00000000, -11104344, -3968220, -36834688, 72320, 185507, -210549,24085, 
0x00000000, -11149637, -4032504, -36873544, 71151, 184358, -210610,24238, 
0x00000000, -11171882, -4070522, -36907732, 70225, 183385, -210336,24392, 
0x00000000, -11140235, -4098539, -36948388, 69673, 182490, -210214,24545, 
0x00000000, -11143010, -4110530, -36994948, 69554, 182189, -210119,24698, 
0x00000000, -11149041, -4116697, -37027060, 69375, 181378, -210095,24855, 
0x00000000, -11163708, -4134439, -37065000, 69217, 181275, -210168,25007, 
0x00000000, -11198369, -4181664, -37085960, 68985, 181151, -210136,25162, 
0x00000000, -11209027, -4189326, -37108352, 69272, 181047, -210152,25315, 
0x00000000, -11230356, -4193528, -37143116, 69102, 181162, -210262,25468, 
0x00000000, -11229162, -4193182, -37175208, 69212, 180787, -210158,25623, 
0x00000000, -11222120, -4183619, -37216980, 69273, 180860, -210113,25775, 
0x00000000, -11242953, -4201152, -37241472, 69542, 180889, -209785,25929, 
0x00000000, -11247692, -4211978, -37277512, 69580, 180819, -210181,26082, 
0x00000000, -11236614, -4196783, -37289120, 69590, 180606, -209989,26234, 
0x00000000, -11225207, -4191348, -37324912, 69505, 180569, -210141,26387, 
0x00000000, -11249796, -4195987, -37355336, 69843, 180742, -210087,26542, 
0x00000000, -11249828, -4185738, -37374336, 69855, 180682, -210080,26702, 
0x00000000, -11277369, -4178411, -37405932, 69858, 180740, -210347,26856, 
0x00000000, -11292582, -4186300, -37422752, 69691, 180698, -210208,27009, 
0x00000000, -11284686, -4179311, -37447404, 69987, 180860, -210359,27162, 
0x00000000, -11340952, -4224823, -37453968, 69979, 180797, -210431,27315, 
0x00000000, -11387878, -4255883, -37461768, 69894, 180660, -210174,27473, 
0x00000000, -11174748, -4076617, -37480568, 69652, 179805, -210475,27627, 
0x00000000, -11154565, -4141358, -37509228, 68449, 177940, -209911,27781, 
0x00000000, -11168920, -4175172, -37520456, 67991, 177124, -210221,27936, 
0x00000000, -11154524, -4157520, -37560276, 67763, 176498, -209919,28109, 
0x00000000, -11181302, -4191463, -37543380, 67698, 176026, -210084,28264, 
0x00000000, -11177999, -4205078, -37483588, 67096, 176211, -209983,28417, 
0x00000000, -11193570, -4242653, -37423968, 67096, 175977, -210054,28570, 
0x00000000, -11198772, -4247982, -37378368, 66928, 176231, -209816,28734, 
0x00000000, -11146854, -4240478, -37287624, 66645, 176029, -209715,28887, 
0x00000000, -11196317, -4333749, -37211168, 66424, 176122, -209471,29042, 
0x00000000, -11135692, -4251558, -37149784, 66559, 176078, -209485,29197, 
0x00000000, -11154236, -4289115, -37075048, 66117, 176201, -209631,29353, 
0x00000000, -11127238, -4274493, -36997844, 66174, 176091, -209347,29513, 
0x00000000, -11139019, -4291464, -36904956, 65824, 176345, -209583,29677, 
0x00000000, -11178292, -4338979, -36834856, 65529, 176427, -209531,29831, 
0x00000000, -11138002, -4303881, -36762788, 65735, 176508, -209477,29999, 
0x00000000, -11142423, -4297919, -36669240, 65347, 176539, -209420,30152, 
0x00000000, -11106073, -4223347, -36596440, 65304, 176562, -209686,30315, 
0x00000000, -11113879, -4239878, -36505552, 65139, 176590, -209451,30477, 
0x00000000, -11062505, -4221311, -36376416, 64842, 176772, -209757,30637, 
0x00000000, -11104253, -4285185, -36244564, 64586, 177613, -209405,30790, 
0x00000000, -11134631, -4302413, -36130192, 64743, 178100, -209206,30948, 
0x00000000, -11087393, -4257327, -35996048, 64339, 178562, -209446,31102, 
0x00000000, -11016679, -4203716, -35881368, 63976, 178915, -209635,31268, 
0x00000000, -11030821, -4186318, -35774568, 63759, 179330, -209444,31419, 
0x00000000, -11064472, -4226607, -35649268, 63600, 179669, -209365,31577, 
0x00000000, -10993318, -4183689, -35542792, 63159, 179922, -209285,31744, 
0x00000000, -11012721, -4209847, -35413352, 62947, 180524, -209383,31912, 
0x00000000, -11018214, -4221797, -35305988, 62715, 180774, -209328,32069, 
0x00000000, -10955172, -4180822, -35183088, 62484, 181310, -209120,32239, 
0x00000000, -10984981, -4236064, -35069220, 62157, 181349, -209102,32393, 
0x00000000, -11006267, -4234709, -34967112, 62369, 181842, -209088,32546, 
0x00000000, -10954543, -4217959, -34820388, 62063, 182696, -209118,32707, 
0x00000000, -10978683, -4206867, -34712120, 61940, 182954, -209315,32859, 
0x00000000, -11002757, -4250418, -34634584, 61975, 183657, -209079,33009, 
0x00000000, -10922299, -4187857, -34279572, 61049, 184322, -209277,33610, 
0x00000000, -10883789, -4163657, -34172080, 61055, 184510, -209528,33789, 
0x00000000, -10902768, -4199194, -34054500, 60599, 184757, -209127,33948, 
0x00000000, -10903081, -4218036, -33992048, 60362, 185177, -208923,34108, 
0x00000000, -10897025, -4215030, -33871176, 60211, 185547, -209062,34282, 
