, -399678
34680, -399678
34700, -399678
34720, -399678
34730, -399678
34750, -399678
34630, -399678
34650, -399678
34670, -399678
34680, -399678
34700, -399678
34720, -399678
34730, -399678
34750, -390, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
10, 0
10, 0
20, 0
30, 0
40, 0
40, 0
50, 0
60, 0
70, 0
70, 0
80, 0
90, 0
90, 0
100, 0
110, 0
120, 0
130, 0
140, 0
140, 0
150, 0
160, 0
170, 0
180, 0
190, 0
190, 0
200, 0
210, 0
220, 0
230, 0
240, 0
240, 0
250, 0
260, 0
270, 0
280, 0
290, 0
290, 0
300, 0
310, 0
320, 0
330, 0
330, 0
340, 0
350, 0
360, 0
370, 0
380, 0
380, 0
390, 0
400, 0
410, 0
420, 0
430, 0
430, 0
440, 0
450, 0
460, 0
470, 0
480, 0
480, 0
490, 0
500, 0
510, 0
520, 0
530, 0
530, 0
540, 0
550, 0
560, 0
570, 0
580, 0
580, 0
590, 0
600, 0
610, 0
620, 0
630, 0
630, 0
640, 0
650, 0
660, 0
670, 0
680, 0
680, 0
690, 0
700, 0
710, 0
720, 0
730, 0
730, 0
740, 0
750, 0
760, 0
770, 0
780, 0
780, 0
790, 0
800, 0
810, 0
820, 0
830, 0
830, 0
840, 0
850, 0
860, 0
870, 0
880, 0
880, 0
890, 0
900, 0
910, 0
920, 0
930, 0
930, 0
940, 0
950, 0
960, 0
970, 0
980, 0
980, 0
990, 0
1000, 0
1010, 0
1020, 0
1030, 0
1040, 0
1050, 0
1060, 0
1070, 0
1080, 0
1080, 0
1090, 0
1100, 0
1110, 0
1120, 0
1130, 0
1140, 0
1150, 0
1160, 0
1170, 0
1180, 0
1190, 0
1200, 0
1210, 0
1220, 0
1230, 0
1230, 0
1240, 0
1250, 0
1260, -1
1270, -2
1280, -3
1290, -3
1300, -4
1310, -6
1330, -7
1340, -8
1350, -9
1360, -11
1370, -13
1380, -16
1390, -18
1400, -20
1410, -23
1420, -27
1440, -31
1450, -36
1460, -41
1470, -46
1480, -53
1490, -60
1500, -66
1520, -72
1530, -77
1540, -81
1550, -85
1560, -90
1570, -95
1590, -102
1600, -107
1610, -113
1620, -119
1630, -124
1650, -129
1660, -133
1670, -138
1680, -144
1700, -151
1710, -158
1720, -166
1730, -172
1750, -178
1760, -183
1770, -189
1780, -196
1800, -204
1810, -212
1820, -220
1830, -226
1850, -233
1860, -240
1870, -248
1880, -257
1900, -267
1910, -274
1920, -280
1930, -287
1950, -294
1960, -303
1970, -312
1980, -320
2000, -327
2010, -333
2020, -341
2030, -349
2050, -359
2060, -368
2070, -375
2080, -381
2100, -389
2110, -395
2120, -404
2130, -413
2150, -422
2160, -428
2170, -436
2180, -444
2200, -456
2210, -465
2220, -474
2230, -481
2250, -489
2260, -496
2270, -507
2280, -517
2300, -527
2310, -534
2320, -543
2330, -554
2350, -568
2360, -576
2370, -584
2380, -593
2400, -606
2410, -616
2420, -626
2430, -636
2450, -649
2460, -660
2470, -673
2480, -684
2500, -700
2510, -714
2520, -727
2530, -740
2550, -760
2560, -774
2570, -787
2580, -802
2600, -821
2610, -832
2620, -848
2630, -866
2650, -882
2660, -894
2670, -910
2680, -925
2700, -942
2710, -957
2720, -973
2730, -985
2750, -1004
2760, -1019
2770, -1034
2790, -1053
2800, -1069
2810, -1083
2830, -1100
2840, -1117
2850, -1132
2870, -1149
2880, -1167
2890, -1181
2910, -1196
2920, -1214
2930, -1228
2950, -1244
2960, -1262
2980, -1280
2990, -1292
3000, -1312
3020, -1329
3030, -1343
3040, -1362
3060, -1379
3070, -1392
3080, -1411
3100, -1427
3110, -1441
3120, -1460
3140, -1477
3150, -1491
3160, -1510
3180, -1527
3190, -1541
3210, -1564
3220, -1576
3230, -1590
3250, -1611
3260, -1624
3270, -1639
3290, -1659
3300, -1674
3310, -1687
3330, -1705
3340, -1721
3350, -1736
3370, -1754
3380, -1772
3390, -1786
3410, -1803
3420, -1821
3440, -1838
3450, -1852
3460, -1869
3480, -1886
3490, -1900
3500, -1919
3520, -1935
3530, -1951
3540, -1970
3560, -1986
3570, -2002
3580, -2019
3600, -2034
3610, -2051
3620, -2069
3640, -2083
3650, -2099
3670, -2120
3680, -2132
3690, -2148
3710, -2169
3720, -2180
3730, -2196
3750, -2216
3760, -2228
