encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,3100,5132,-11760,-173,-180,79,140,0
0,8472,4740,-7661,-188,-151,17,279,0
0,7432,4396,-5273,-96,-166,48,419,0
0,9226,-550,-3109,-22,12,-5,560,0
0,2582,6057,-10659,-300,-197,259,701,0
0,1248,4006,-4383,-248,-78,-69,2768,0
0,16112,7440,-7749,-545,54,-304,2911,0
0,6844,6968,-6026,-242,50,-90,3052,0
0,11958,-1703,2705,-47,-72,-21,3193,0
0,5942,2280,-5062,-357,150,-25,3335,0
0,12290,6229,-4293,-477,29,11,3478,0
0,1748,-733,190,-537,168,-8,3618,0
0,13006,-717,-77,-274,280,-194,3757,0
0,7918,-2210,4233,-219,274,-278,3898,0
0,5108,-6105,-5043,-195,397,-253,4042,0
0,5904,7121,826,-285,363,-50,4196,0
0,21878,-5297,-2905,-208,371,-156,4355,0
0,-1514,-2798,-1658,-10,459,-31,4534,0
0,-11384,-944,-7223,-349,315,-80,4693,0
0,-10756,6203,-2986,-154,364,-76,4855,0
0,-5056,-2362,1260,-235,299,-47,5005,0
0,-5348,-2107,-9156,-217,527,-298,5149,0
0,-14932,-2531,-12203,-325,511,-193,5293,0
0,-6900,-5495,-5370,116,712,-198,5436,0
0,-9824,4865,216,59,609,-239,5581,0
0,-8368,5053,-10999,-72,447,-36,5851,0
0,620,7896,-4621,68,701,-53,6064,0
0,-8164,1039,-7785,40,656,-131,6312,0
0,-14298,1459,-1398,48,849,-142,6471,0
0,-58,7883,-8701,-261,347,-89,6617,0
0,1420,6979,59,-161,541,79,6764,0
0,4672,-1267,-6582,-150,867,-102,6923,0
0,-636,3819,-10860,-152,771,-153,7075,0
0,8442,6561,-5858,-206,696,115,7219,0
0,-8,6097,-8383,-210,493,-463,7375,0
0,8136,-527,-5370,-290,671,-176,7523,0
10,-1744,7387,-9729,-334,613,49,7669,0
10,3894,-1675,-3613,-114,488,-113,7813,0
10,284,4812,-5909,-142,617,-271,7996,0
10,8032,8363,-4789,143,777,-155,8147,0
10,-3608,3887,-6061,9,527,32,8293,0
84,6308,-492,-2553,-83,810,20,8495,0
185,3848,1178,-6439,-177,745,41,8646,0
314,3056,-3777,-5513,-116,782,-64,8789,0
460,43894,11967,-14613,-473,584,-574,8928,0
605,119380,8474,-17756,-559,-141,-247,9073,0
742,194894,15800,-514,-380,-906,-221,9213,0
883,279968,25851,7642,-810,-1250,-387,9354,0
1021,347664,31045,4286,-1067,-1517,-721,9496,0
1177,428596,29544,5151,-1207,-2009,-243,9638,0
1332,512560,43183,115,-1559,-2388,23,9780,0
1497,591480,39114,2574,-1799,-3325,-567,9924,0
1692,679408,57381,-19803,-2252,-3516,-490,10066,0
1858,785896,61191,-34069,-2509,-4328,-442,10213,0
2030,888212,57105,-3572,-2588,-4645,-265,10354,0
2254,981026,74319,-19285,-2756,-5323,-382,10495,0
2435,1084540,87605,-8342,-3257,-5510,-845,10637,0
2651,1208308,82111,-39105,-1405,-6564,-276,10779,0
2865,1309990,67515,-59611,-749,-7052,-180,10924,0
3098,1443456,101240,-6843,-401,-7792,-613,11068,0
