, -395792
35680, -395792
35690, -395792
35710, -395792
35730, -395792
35740, -395792
35630, -395792
35640, -395792
35660, -395792
35680, -395792
35690, -395792
35710, -395792
35730, -395792
35740, -395792
¦0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
10, 0
10, 0
20, 0
30, 0
40, 0
40, 0
50, 0
60, 0
70, 0
70, 0
80, 0
90, 0
90, 0
100, 0
110, 0
120, 0
130, 0
140, 0
140, 0
150, 0
160, 0
170, 0
180, 0
190, 0
190, 0
200, 0
210, 0
220, 0
230, 0
240, 0
240, 0
250, 0
260, 0
270, 0
280, 0
290, 0
290, 0
300, 0
310, 0
320, 0
330, 0
330, 0
340, 0
350, 0
360, 0
370, 0
380, 0
380, 0
390, 0
400, 0
410, 0
420, 0
430, 0
430, 0
440, 0
450, 0
460, 0
470, 0
480, 0
480, 0
490, 0
500, 0
510, 0
520, 0
530, 0
530, 0
540, 0
550, 0
560, 0
570, 0
580, 0
580, 0
590, 0
600, 0
610, 0
620, 0
630, 0
630, 0
640, 0
650, 0
660, 0
670, 0
680, 0
680, 0
690, 0
700, 0
710, 0
720, 0
730, 0
730, 0
740, 0
750, 0
760, 0
770, 0
780, 0
780, 0
790, 0
800, 0
810, 0
820, 0
830, 0
830, 0
840, 0
850, 0
860, 0
870, 0
880, 0
880, 0
890, 0
900, 0
910, 0
920, 0
930, 0
930, 0
940, 0
950, 0
960, 0
970, 0
980, 0
980, 0
990, 0
1000, 0
1010, 0
1020, 0
1030, 0
1040, 0
1050, 0
1060, 0
1070, 0
1080, 0
1080, 0
1090, 0
1100, 0
1110, 0
1120, 0
1130, 0
1140, 0
1150, 0
1160, 0
1170, 0
1180, 0
1190, 0
1200, 0
1210, 0
1220, -1
1230, -1
1240, -1
1250, -2
1260, -2
1270, -2
1280, -3
1290, -4
1300, -4
1310, -5
1320, -5
1330, -6
1340, -6
1350, -7
1360, -7
1370, -8
1380, -8
1390, -9
1400, -9
1410, -9
1420, -10
1440, -11
1450, -11
1460, -12
1470, -12
1480, -13
1490, -13
1500, -14
1520, -14
1530, -15
1540, -15
1550, -16
1560, -16
1570, -17
1580, -18
1600, -19
1610, -20
1620, -21
1630, -22
1640, -23
1650, -24
1660, -26
1680, -27
1690, -28
1700, -30
1710, -33
1720, -36
1730, -39
1740, -42
1760, -46
1770, -49
1780, -53
1790, -56
1800, -59
1810, -61
1820, -64
1840, -67
1850, -70
1860, -73
1870, -76
1880, -80
1890, -84
1900, -89
1920, -95
1930, -100
1940, -106
1950, -110
1960, -115
1980, -120
1990, -124
2000, -129
2010, -135
2030, -142
2040, -148
2050, -156
2060, -162
2080, -167
2090, -172
2100, -177
2110, -184
2130, -191
2140, -198
2150, -205
2160, -211
2180, -217
2190, -222
2200, -227
2210, -234
2230, -242
2240, -249
2250, -256
2260, -263
2280, -269
2290, -274
2300, -281
2310, -288
2330, -297
2340, -305
2350, -312
2360, -317
2380, -324
2390, -330
2400, -337
2410, -345
2430, -355
2440, -361
2450, -367
2460, -373
2480, -381
2490, -388
2500, -397
2510, -406
2530, -414
2540, -420
2550, -426
2560, -434
2580, -444
2590, -452
2600, -461
2610, -468
2630, -476
2640, -483
2650, -492
2660, -503
2680, -513
2690, -520
2700, -528
2710, -538
2730, -551
2740, -560
2750, -570
2760, -578
2780, -590
2790, -601
2800, -611
2810, -620
2830, -632
2840, -642
2850, -655
2860, -666
2880, -677
2890, -686
2900, -699
2910, -711
2930, -722
2940, -730
2950, -742
2960, -756
2980, -769
2990, -776
3000, -787
3010, -799
3030, -813
3040, -820
3050, -829
3060, -839
3080, -854
3090, -863
3100, -871
3110, -880
3130, -893
3140, -903
3150, -913
3160, -922
3180, -933
3190, -942
3200, -955
3210, -965
3230, -975
3240, -983
3250, -994
3260, -1006
3280, -1017
3290, -1025
3300, -1037
3320, -1051
3330, -1062
3340, -1072
3360, -1082
3370, -1093
3380, -1106
3400, -1117
3410, -1126
3420, -1137
3440, -1150
3450, -1162
3470, -1173
3480, -1181
3490, -1193
3510, -1208
3520, -1217
3530, -1228
3550, -1242
3560, -1255
