Status: 0x00000000
Fx: -10852350
Fy: -4707397
Fz: -30752474
Tx: 66248
Ty: 204149
Tz: -153036
1645118224944
Status: 0x00000000
Fx: -10850945
Fy: -4720391
Fz: -30763984
Tx: 66155
Ty: 203971
Tz: -152843
1645118227224
Status: 0x00000000
Fx: -10850224
Fy: -4728438
Fz: -30757448
Tx: 66096
Ty: 204087
Tz: -153279
1645118227388
Status: 0x00000000
Fx: -10850405
Fy: -4715743
Fz: -30763742
Tx: 66199
Ty: 204001
Tz: -153051
1645118227535
Status: 0x00000000
Fx: -10859283
Fy: -4710853
Fz: -30766084
Tx: 66351
Ty: 204082
Tz: -152969
1645118227680
Status: 0x00000000
Fx: -10851075
Fy: -4713079
Fz: -30766748
Tx: 66060
Ty: 204067
Tz: -153102
1645118227830
Status: 0x00000000
Fx: -10850527
Fy: -4708938
Fz: -30754600
Tx: 66229
Ty: 204066
Tz: -153151
1645118227983
Status: 0x00000000
Fx: -10849442
Fy: -4709847
Fz: -30774404
Tx: 66396
Ty: 203863
Tz: -152813
1645118228122
Status: 0x00000000
Fx: -10850519
Fy: -4712311
Fz: -30763540
Tx: 66240
Ty: 204080
Tz: -152888
1645118228262
Status: 0x00000000
Fx: -10849789
Fy: -4709059
Fz: -30760704
Tx: 66157
Ty: 203844
Tz: -153111
1645118228402
Status: 0x00000000
Fx: -10848547
Fy: -4716543
Fz: -30764724
Tx: 66201
Ty: 204117
Tz: -153007
1645118228543
Status: 0x00000000
Fx: -10846730
Fy: -4709829
Fz: -30759618
Tx: 66286
Ty: 203860
Tz: -152883
1645118228683
Status: 0x00000000
Fx: -10852066
Fy: -4717913
Fz: -30771040
Tx: 66349
Ty: 204139
Tz: -153212
1645118228827
Status: 0x00000000
Fx: -10853731
Fy: -4716075
Fz: -30762664
Tx: 66171
Ty: 204070
Tz: -153088
1645118228973
Status: 0x00000000
Fx: -10847277
Fy: -4715489
Fz: -30764318
Tx: 66281
Ty: 203964
Tz: -152922
1645118229112
Status: 0x00000000
Fx: -10859166
Fy: -4726162
Fz: -30770484
Tx: 66056
Ty: 204150
Tz: -153041
1645118229253
Status: 0x00000000
Fx: -10846559
Fy: -4718565
Fz: -30916722
Tx: 65778
Ty: 203316
Tz: -153042
1645118229402
Status: 0x00000000
Fx: -10830682
Fy: -4741614
Fz: -30982630
Tx: 65448
Ty: 203132
Tz: -153225
1645118229542
Status: 0x00000000
Fx: -10811135
Fy: -4734812
Fz: -31160276
Tx: 65207
Ty: 202489
Tz: -153117
1645118229682
Status: 0x00000000
Fx: -10800304
Fy: -4732261
Fz: -31272372
Tx: 64848
Ty: 202223
Tz: -153149
1645118229822
Status: 0x00000000
Fx: -10795510
Fy: -4731396
Fz: -31388258
Tx: 64690
Ty: 201631
Tz: -153223
1645118229966
Status: 0x00000000
Fx: -10804174
Fy: -4728387
Fz: -31491716
Tx: 64179
Ty: 201319
Tz: -153418
1645118230109
Status: 0x00000000
Fx: -10808059
Fy: -4709253
Fz: -31599104
Tx: 64031
Ty: 201223
Tz: -153271
1645118230252
Status: 0x00000000
Fx: -10820103
Fy: -4686327
Fz: -31681616
Tx: 63692
Ty: 200899
Tz: -153626
1645118230393
Status: 0x00000000
Fx: -10807688
Fy: -4697334
Fz: -31794878
Tx: 63106
Ty: 200764
Tz: -153509
1645118230538
Status: 0x00000000
Fx: -10820190
Fy: -4678138
Fz: -31864184
Tx: 62576
Ty: 201012
Tz: -153253
1645118230682
Status: 0x00000000
Fx: -10805717
Fy: -4676090
Fz: -31998366
Tx: 61858
Ty: 200753
Tz: -153578
1645118230824
Status: 0x00000000
Fx: -10798116
Fy: -4672764
Fz: -32125476
Tx: 61419
Ty: 200413
Tz: -153767
1645118230965
Status: 0x00000000
Fx: -10796674
Fy: -4657759
Fz: -32230958
Tx: 60943
Ty: 200516
Tz: -153693
1645118231111
Status: 0x00000000
Fx: -10793833
Fy: -4626728
Fz: -32325482
Tx: 60535
Ty: 200219
Tz: -153772
1645118231254
Status: 0x00000000
Fx: -10803972
Fy: -4628744
Fz: -32458004
Tx: 62464
Ty: 199837
Tz: -153719
1645118231395
Status: 0x00000000
Fx: -10834316
Fy: -4614491
Fz: -32574808
Tx: 63613
Ty: 199615
Tz: -153761
1645118231537
Status: 0x00000000
Fx: -10802168
Fy: -4640582
Fz: -32733226
Tx: 63346
Ty: 198959
Tz: -153863
1645118231684
Status: 0x00000000
Fx: -10752522
Fy: -4646169
Fz: -32880552
Tx: 63102
Ty: 198495
Tz: -153925
1645118231825
Status: 0x00000000
Fx: -10738678
Fy: -4654033
Fz: -33025030
Tx: 62934
Ty: 198043
Tz: -153884
1645118231965
Status: 0x00000000
Fx: -10692644
Fy: -4671343
Fz: -33182032
Tx: 62636
Ty: 198023
Tz: -153897
1645118232110
Status: 0x00000000
Fx: -10687685
Fy: -4695831
Fz: -33323490
Tx: 62470
Ty: 197984
Tz: -153736
1645118232251
Status: 0x00000000
Fx: -10673384
Fy: -4726767
Fz: -33483944
Tx: 62041
Ty: 197565
Tz: -153793
1645118232393
Status: 0x00000000
Fx: -10642800
Fy: -4698182
Fz: -33622184
Tx: 61573
Ty: 197427
Tz: -154029
1645118232534
Status: 0x00000000
Fx: -10614443
Fy: -4734506
Fz: -33770372
Tx: 61381
Ty: 197555
Tz: -153947
1645118232675
Status: 0x00000000
Fx: -10766262
Fy: -4897425
Fz: -33826912
Tx: 61405
Ty: 199919
Tz: -153632
1645118232818
Status: 0x00000000
Fx: -10684344
Fy: -4762780
Fz: -33968040
Tx: 61420
Ty: 199939
Tz: -153856
1645118232964
Status: 0x00000000
Fx: -10652211
Fy: -4737091
Fz: -34143208
Tx: 60914
Ty: 199714
Tz: -154010
1645118233108
Status: 0x00000000
Fx: -10634392
Fy: -4692235
Fz: -34316740
Tx: 60510
Ty: 199602
Tz: -154255
1645118233249
Status: 0x00000000
Fx: -10603821
Fy: -4756323
Fz: -34458376
Tx: 60118
Ty: 199348
Tz: -153923
1645118233391
Status: 0x00000000
Fx: -10591715
Fy: -4787570
Fz: -34586608
Tx: 60048
Ty: 199496
Tz: -153741
1645118233532
Status: 0x00000000
Fx: -10582109
Fy: -4707961
Fz: -34712632
Tx: 59916
Ty: 199351
Tz: -154279
1645118233674
Status: 0x00000000
Fx: -10576338
Fy: -4723963
Fz: -34855508
Tx: 59798
Ty: 199145
Tz: -154237
1645118233816
Status: 0x00000000
Fx: -10604412
Fy: -4741551
Fz: -34937496
Tx: 59715
Ty: 199202
Tz: -154115
1645118233964
Status: 0x00000000
Fx: -10559332
Fy: -4738839
Fz: -35012348
Tx: 59604
Ty: 198883
Tz: -154340
1645118234111
Status: 0x00000000
Fx: -10550695
Fy: -4761589
Fz: -35213096
Tx: 59741
Ty: 198373
Tz: -153986
1645118234257
Status: 0x00000000
Fx: -10523735
Fy: -4775904
Fz: -35397728
Tx: 59250
Ty: 198477
Tz: -154451
1645118234403
Status: 0x00000000
Fx: -10517107
Fy: -4754931
Fz: -35557008
Tx: 59307
Ty: 198015
Tz: -154233
1645118234551
Status: 0x00000000
Fx: -10527821
Fy: -4733404
Fz: -35635608
Tx: 59114
Ty: 198057
Tz: -154499
1645118234693
Status: 0x00000000
Fx: -10538106
Fy: -4659767
Fz: -35799516
Tx: 59079
Ty: 197540
Tz: -154545
1645118234835
Status: 0x00000000
Fx: -10551207
Fy: -4645116
Fz: -35957604
Tx: 59100
Ty: 197259
Tz: -154208
1645118234984
Status: 0x00000000
Fx: -10559195
Fy: -4648968
Fz: -36098872
Tx: 59022
Ty: 196792
Tz: -154499
1645118235127
Status: 0x00000000
Fx: -10543493
Fy: -4730283
Fz: -36155096
Tx: 59198
Ty: 196605
Tz: -154190
1645118235271
Status: 0x00000000
Fx: -10477020
Fy: -4686678
Fz: -36248028
Tx: 59076
Ty: 196449
Tz: -154433
1645118235413
Status: 0x00000000
Fx: -10523478
Fy: -4621479
Fz: -36339396
Tx: 59066
Ty: 195952
Tz: -154601
1645118235554
Status: 0x00000000
Fx: -10547864
Fy: -4600086
Fz: -36408972
Tx: 59139
Ty: 195852
Tz: -154571
1645118235694
Status: 0x00000000
Fx: -10515773
Fy: -4674946
Fz: -36465032
Tx: 59173
Ty: 195816
Tz: -154292
1645118235835
Status: 0x00000000
Fx: -10533616
Fy: -4612140
Fz: -36553576
Tx: 59033
Ty: 195373
Tz: -154559
1645118235979
Status: 0x00000000
Fx: -10556416
Fy: -4573277
Fz: -36677816
Tx: 58881
Ty: 195365
Tz: -154582
1645118236126
Status: 0x00000000
Fx: -10580909
Fy: -4557570
Fz: -36734064
Tx: 58507
Ty: 195507
Tz: -154751
1645118236268
Status: 0x00000000
Fx: -10596149
Fy: -4583180
Fz: -36812564
Tx: 58300
Ty: 195128
Tz: -154512
1645118236411
Status: 0x00000000
Fx: -10587181
Fy: -4578030
Fz: -36856264
Tx: 58576
Ty: 195155
Tz: -154269
1645118236553
Status: 0x00000000
Fx: -10610583
Fy: -4532065
Fz: -36853376
Tx: 58434
Ty: 195256
Tz: -154718
1645118236703
Status: 0x00000000
Fx: -10610395
Fy: -4530398
Fz: -36832112
Tx: 58406
Ty: 195245
Tz: -154637
1645118236933
Status: 0x00000000
Fx: -10603252
Fy: -4554982
Fz: -36851856
Tx: 58483
Ty: 194934
Tz: -154426
1645118237075
Status: 0x00000000
Fx: -10594293
Fy: -4510982
Fz: -36884116
Tx: 58227
Ty: 194858
Tz: -154826
1645118237217
Status: 0x00000000
Fx: -10645899
Fy: -4468743
Fz: -36902392
Tx: 57963
Ty: 195129
Tz: -154791
1645118237365
Status: 0x00000000
Fx: -10633224
Fy: -4507029
Fz: -36909092
Tx: 58185
Ty: 195053
Tz: -154332
1645118237525
Status: 0x00000000
Fx: -10646296
Fy: -4501799
Fz: -36925232
Tx: 58001
Ty: 195015
Tz: -154950
1645118237680
Status: 0x00000000
Fx: -10678507
Fy: -4490398
Fz: -36886248
Tx: 57868
Ty: 194925
Tz: -154511
1645118237822
Status: 0x00000000
Fx: -10662605
Fy: -4509603
Fz: -36842304
Tx: 57846
Ty: 194690
Tz: -154571
1645118237965
Status: 0x00000000
Fx: -10655147
Fy: -4454162
Fz: -36870828
Tx: 57676
Ty: 194612
Tz: -154694
1645118238109
Status: 0x00000000
Fx: -10652746
Fy: -4504621
Fz: -36731716
Tx: 57994
Ty: 194967
Tz: -154712
1645118238252
Status: 0x00000000
Fx: -10522680
Fy: -4574452
Fz: -36935472
Tx: 57536
Ty: 194728
Tz: -154729
1645118238404
Status: 0x00000000
