Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10852350, -4707397, -30752474, 66248, 204149, -153036,0, 
0x00000000, -10850945, -4720391, -30763984, 66155, 203971, -152843,2280, 
0x00000000, -10850224, -4728438, -30757448, 66096, 204087, -153279,2444, 
0x00000000, -10850405, -4715743, -30763742, 66199, 204001, -153051,2591, 
0x00000000, -10859283, -4710853, -30766084, 66351, 204082, -152969,2736, 
0x00000000, -10851075, -4713079, -30766748, 66060, 204067, -153102,2886, 
0x00000000, -10850527, -4708938, -30754600, 66229, 204066, -153151,3039, 
0x00000000, -10849442, -4709847, -30774404, 66396, 203863, -152813,3178, 
0x00000000, -10850519, -4712311, -30763540, 66240, 204080, -152888,3318, 
0x00000000, -10849789, -4709059, -30760704, 66157, 203844, -153111,3458, 
0x00000000, -10848547, -4716543, -30764724, 66201, 204117, -153007,3599, 
0x00000000, -10846730, -4709829, -30759618, 66286, 203860, -152883,3739, 
0x00000000, -10852066, -4717913, -30771040, 66349, 204139, -153212,3883, 
0x00000000, -10853731, -4716075, -30762664, 66171, 204070, -153088,4029, 
0x00000000, -10847277, -4715489, -30764318, 66281, 203964, -152922,4168, 
0x00000000, -10859166, -4726162, -30770484, 66056, 204150, -153041,4309, 
0x00000000, -10846559, -4718565, -30916722, 65778, 203316, -153042,4458, 
0x00000000, -10830682, -4741614, -30982630, 65448, 203132, -153225,4598, 
0x00000000, -10811135, -4734812, -31160276, 65207, 202489, -153117,4738, 
0x00000000, -10800304, -4732261, -31272372, 64848, 202223, -153149,4878, 
0x00000000, -10795510, -4731396, -31388258, 64690, 201631, -153223,5022, 
0x00000000, -10804174, -4728387, -31491716, 64179, 201319, -153418,5165, 
0x00000000, -10808059, -4709253, -31599104, 64031, 201223, -153271,5308, 
0x00000000, -10820103, -4686327, -31681616, 63692, 200899, -153626,5449, 
0x00000000, -10807688, -4697334, -31794878, 63106, 200764, -153509,5594, 
0x00000000, -10820190, -4678138, -31864184, 62576, 201012, -153253,5738, 
0x00000000, -10805717, -4676090, -31998366, 61858, 200753, -153578,5880, 
0x00000000, -10798116, -4672764, -32125476, 61419, 200413, -153767,6021, 
0x00000000, -10796674, -4657759, -32230958, 60943, 200516, -153693,6167, 
0x00000000, -10793833, -4626728, -32325482, 60535, 200219, -153772,6310, 
0x00000000, -10803972, -4628744, -32458004, 62464, 199837, -153719,6451, 
0x00000000, -10834316, -4614491, -32574808, 63613, 199615, -153761,6593, 
0x00000000, -10802168, -4640582, -32733226, 63346, 198959, -153863,6740, 
0x00000000, -10752522, -4646169, -32880552, 63102, 198495, -153925,6881, 
0x00000000, -10738678, -4654033, -33025030, 62934, 198043, -153884,7021, 
0x00000000, -10692644, -4671343, -33182032, 62636, 198023, -153897,7166, 
0x00000000, -10687685, -4695831, -33323490, 62470, 197984, -153736,7307, 
0x00000000, -10673384, -4726767, -33483944, 62041, 197565, -153793,7449, 
0x00000000, -10642800, -4698182, -33622184, 61573, 197427, -154029,7590, 
0x00000000, -10614443, -4734506, -33770372, 61381, 197555, -153947,7731, 
0x00000000, -10766262, -4897425, -33826912, 61405, 199919, -153632,7874, 
0x00000000, -10684344, -4762780, -33968040, 61420, 199939, -153856,8020, 
0x00000000, -10652211, -4737091, -34143208, 60914, 199714, -154010,8164, 
0x00000000, -10634392, -4692235, -34316740, 60510, 199602, -154255,8305, 
0x00000000, -10603821, -4756323, -34458376, 60118, 199348, -153923,8447, 
0x00000000, -10591715, -4787570, -34586608, 60048, 199496, -153741,8588, 
0x00000000, -10582109, -4707961, -34712632, 59916, 199351, -154279,8730, 
0x00000000, -10576338, -4723963, -34855508, 59798, 199145, -154237,8872, 
0x00000000, -10604412, -4741551, -34937496, 59715, 199202, -154115,9020, 
0x00000000, -10559332, -4738839, -35012348, 59604, 198883, -154340,9167, 
0x00000000, -10550695, -4761589, -35213096, 59741, 198373, -153986,9313, 
0x00000000, -10523735, -4775904, -35397728, 59250, 198477, -154451,9459, 
0x00000000, -10517107, -4754931, -35557008, 59307, 198015, -154233,9607, 
0x00000000, -10527821, -4733404, -35635608, 59114, 198057, -154499,9749, 
0x00000000, -10538106, -4659767, -35799516, 59079, 197540, -154545,9891, 
0x00000000, -10551207, -4645116, -35957604, 59100, 197259, -154208,10040, 
0x00000000, -10559195, -4648968, -36098872, 59022, 196792, -154499,10183, 
0x00000000, -10543493, -4730283, -36155096, 59198, 196605, -154190,10327, 
0x00000000, -10477020, -4686678, -36248028, 59076, 196449, -154433,10469, 
0x00000000, -10523478, -4621479, -36339396, 59066, 195952, -154601,10610, 
