Status: 0x00000000
Fx: -10790789
Fy: -4605919
Fz: -30688432
Tx: 65611
Ty: 204324
Tz: -151990
1645115627806
Status: 0x00000000
Fx: -10788019
Fy: -4605143
Fz: -30698944
Tx: 65725
Ty: 204102
Tz: -151868
1645115627952
Status: 0x00000000
Fx: -10789132
Fy: -4611916
Fz: -30689616
Tx: 65416
Ty: 204222
Tz: -152058
1645115628091
Status: 0x00000000
Fx: -10785498
Fy: -4610219
Fz: -30697192
Tx: 65432
Ty: 204047
Tz: -152009
1645115628230
Status: 0x00000000
Fx: -10777119
Fy: -4601847
Fz: -30695804
Tx: 65686
Ty: 204214
Tz: -151961
1645115628368
Status: 0x00000000
Fx: -10790483
Fy: -4603494
Fz: -30693606
Tx: 65296
Ty: 204351
Tz: -151942
1645115628511
Status: 0x00000000
Fx: -10784457
Fy: -4606149
Fz: -30689676
Tx: 65853
Ty: 204406
Tz: -152122
1645115628676
Status: 0x00000000
Fx: -10785444
Fy: -4609470
Fz: -30690116
Tx: 65409
Ty: 204435
Tz: -151993
1645115628818
Status: 0x00000000
Fx: -10783134
Fy: -4611750
Fz: -30688140
Tx: 65469
Ty: 204494
Tz: -151984
1645115628959
Status: 0x00000000
Fx: -10789168
Fy: -4609711
Fz: -30677628
Tx: 65508
Ty: 204333
Tz: -152319
1645115629099
Status: 0x00000000
Fx: -10785187
Fy: -4604304
Fz: -30682988
Tx: 65692
Ty: 204542
Tz: -151562
1645115629239
Status: 0x00000000
Fx: -10781417
Fy: -4600405
Fz: -30685180
Tx: 65746
Ty: 204328
Tz: -152018
1645115629383
Status: 0x00000000
Fx: -10781955
Fy: -4606875
Fz: -30698332
Tx: 65629
Ty: 204146
Tz: -151920
1645115629542
Status: 0x00000000
Fx: -10778900
Fy: -4601964
Fz: -30679674
Tx: 65606
Ty: 204577
Tz: -152032
1645115629686
Status: 0x00000000
Fx: -10787344
Fy: -4603805
Fz: -30699916
Tx: 65547
Ty: 204766
Tz: -152197
1645115629828
Status: 0x00000000
Fx: -10788858
Fy: -4597134
Fz: -30698272
Tx: 65706
Ty: 204511
Tz: -152177
1645115629969
Status: 0x00000000
Fx: -10781483
Fy: -4603286
Fz: -30682986
Tx: 65776
Ty: 204867
Tz: -151781
1645115630113
Status: 0x00000000
Fx: -10779516
Fy: -4606703
Fz: -30696560
Tx: 65464
Ty: 204423
Tz: -151903
1645115630252
Status: 0x00000000
Fx: -10793823
Fy: -4606836
Fz: -30692136
Tx: 65495
Ty: 204997
Tz: -152076
1645115630392
Status: 0x00000000
Fx: -10789597
Fy: -4597887
Fz: -30694994
Tx: 65682
Ty: 204687
Tz: -151771
1645115630533
Status: 0x00000000
Fx: -10788733
Fy: -4608792
Fz: -30693888
Tx: 65126
Ty: 204585
Tz: -152180
1645115630674
Status: 0x00000000
Fx: -10781501
Fy: -4605084
Fz: -30691096
Tx: 65270
Ty: 204655
Tz: -151920
1645115630812
Status: 0x00000000
Fx: -10781079
Fy: -4607123
Fz: -30687710
Tx: 65291
Ty: 204699
Tz: -151716
1645115630952
Status: 0x00000000
Fx: -10782486
Fy: -4608721
Fz: -30679208
Tx: 65584
Ty: 204862
Tz: -151877
1645115631093
Status: 0x00000000
Fx: -10780788
Fy: -4603194
Fz: -30688368
Tx: 65640
Ty: 204748
Tz: -151771
1645115631236
Status: 0x00000000
Fx: -10785458
Fy: -4605170
Fz: -30692580
Tx: 65420
Ty: 204903
Tz: -151845
1645115631378
Status: 0x00000000
Fx: -10774995
Fy: -4605294
Fz: -30690216
Tx: 65328
Ty: 204794
Tz: -152228
1645115631517
Status: 0x00000000
Fx: -10777972
Fy: -4601281
Fz: -30689004
Tx: 65375
Ty: 204566
Tz: -152032
1645115631659
Status: 0x00000000
Fx: -10778338
Fy: -4606480
Fz: -30687196
Tx: 65489
Ty: 205070
Tz: -151929
1645115631801
Status: 0x00000000
Fx: -10782298
Fy: -4606033
Fz: -30703232
Tx: 65275
Ty: 204732
Tz: -152075
1645115631943
Status: 0x00000000
Fx: -10778537
Fy: -4605787
Fz: -30696756
Tx: 65210
Ty: 204736
Tz: -152037
1645115632083
Status: 0x00000000
Fx: -10784488
Fy: -4612492
Fz: -30692458
Tx: 65319
Ty: 204959
Tz: -151909
1645115632225
Status: 0x00000000
Fx: -10780134
Fy: -4605127
Fz: -30686736
Tx: 65373
Ty: 204633
Tz: -152047
1645115632367
Status: 0x00000000
Fx: -10778651
Fy: -4602659
Fz: -30688436
Tx: 65306
Ty: 204725
Tz: -151880
1645115632511
Status: 0x00000000
Fx: -10779348
Fy: -4603762
Fz: -30695596
Tx: 65322
Ty: 204817
Tz: -152032
1645115632651
Status: 0x00000000
Fx: -10782365
Fy: -4608335
Fz: -30693110
Tx: 65355
Ty: 204988
Tz: -152305
1645115632791
Status: 0x00000000
Fx: -10780850
Fy: -4608041
Fz: -30687036
Tx: 65340
Ty: 204905
Tz: -152064
1645115632933
Status: 0x00000000
Fx: -10782541
Fy: -4609761
Fz: -30697510
Tx: 65297
Ty: 204799
Tz: -151997
1645115633075
Status: 0x00000000
Fx: -10776190
Fy: -4614429
Fz: -30693598
Tx: 65013
Ty: 205101
Tz: -151903
1645115633222
Status: 0x00000000
Fx: -10775313
Fy: -4611711
Fz: -30700554
Tx: 65135
Ty: 204885
Tz: -152091
1645115633363
Status: 0x00000000
Fx: -10774338
Fy: -4611512
Fz: -30692722
Tx: 65307
Ty: 204826
Tz: -152121
1645115633504
Status: 0x00000000
Fx: -10778251
Fy: -4613677
Fz: -30693264
Tx: 64960
Ty: 204872
Tz: -152009
1645115633644
Status: 0x00000000
Fx: -10777534
Fy: -4618329
Fz: -30706686
Tx: 64792
Ty: 204882
Tz: -151787
1645115633788
Status: 0x00000000
Fx: -10783008
Fy: -4617807
Fz: -30699126
Tx: 65151
