Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10774826, -4540086, -30685484, 64196, 204983, -152834,0, 
0x00000000, -10769347, -4540679, -30687648, 64247, 205013, -152927,144, 
0x00000000, -10766070, -4542785, -30681848, 64199, 204882, -152558,282, 
0x00000000, -10769104, -4541589, -30689472, 64165, 205259, -152471,420, 
0x00000000, -10763035, -4536886, -30681924, 64368, 204988, -152785,562, 
0x00000000, -10767527, -4544328, -30683230, 64242, 204995, -152430,706, 
0x00000000, -10771603, -4541255, -30679320, 64490, 204968, -152681,845, 
0x00000000, -10774268, -4537291, -30680084, 64273, 205058, -152923,988, 
0x00000000, -10773765, -4539307, -30675316, 64293, 205216, -152498,1139, 
0x00000000, -10766521, -4539248, -30670254, 64295, 205133, -152741,1280, 
0x00000000, -10763676, -4541012, -30682960, 64442, 205236, -152374,1426, 
0x00000000, -10767955, -4548089, -30678680, 64280, 205079, -152817,1574, 
0x00000000, -10764227, -4547811, -30672000, 64513, 205207, -152558,1715, 
0x00000000, -10767095, -4543109, -30677676, 64373, 205316, -152590,1853, 
0x00000000, -10771926, -4548030, -30675950, 64472, 205368, -152633,1996, 
0x00000000, -10773727, -4543538, -30666264, 64698, 205344, -152775,2139, 
0x00000000, -10766761, -4542863, -30670052, 64297, 205231, -152747,2279, 
0x00000000, -10768987, -4543925, -30667464, 64556, 205553, -152599,2418, 
0x00000000, -10771740, -4546585, -30664084, 64406, 205508, -152908,2562, 
0x00000000, -10769742, -4544422, -30657546, 64504, 205112, -152821,2703, 
0x00000000, -10764641, -4535855, -30662888, 64775, 205174, -152680,2843, 
0x00000000, -10769947, -4538685, -30666424, 64373, 205070, -152703,2982, 
0x00000000, -10766554, -4546099, -30669076, 64570, 205142, -152682,3126, 
0x00000000, -10766416, -4546820, -30658928, 64367, 205329, -152640,3268, 
0x00000000, -10765451, -4541103, -30658342, 64574, 205081, -152659,3412, 
0x00000000, -10765951, -4552811, -30653622, 64338, 205284, -152520,3552, 
0x00000000, -10775455, -4546820, -30660876, 64634, 205253, -152694,3693, 
0x00000000, -10772977, -4550769, -30652440, 64709, 205232, -152715,3832, 
0x00000000, -10772447, -4544636, -30648570, 64547, 205355, -152651,3973, 
0x00000000, -10767633, -4550468, -30655840, 64417, 205454, -152636,4118, 
0x00000000, -10771327, -4553718, -30657738, 64753, 205541, -152656,4257, 
0x00000000, -10773324, -4552008, -30649918, 64848, 205233, -152641,4399, 
0x00000000, -10774373, -4543339, -30645012, 64794, 205447, -152843,4545, 
0x00000000, -10770687, -4552938, -30656464, 64738, 205605, -152516,4683, 
0x00000000, -10767383, -4547525, -30645584, 64550, 205138, -152727,4824, 
0x00000000, -10768460, -4552313, -30642364, 64754, 205276, -152543,4963, 
0x00000000, -10763675, -4551990, -30686040, 64610, 205582, -152762,5104, 
0x00000000, -10756526, -4548507, -30753160, 64750, 206025, -152488,5246, 
0x00000000, -10756563, -4540493, -30809560, 64536, 206566, -152626,5387, 
0x00000000, -10750852, -4555227, -30857838, 64901, 206330, -152774,5529, 
0x00000000, -10749754, -4556017, -30908264, 64341, 207081, -152514,5673, 
0x00000000, -10742842, -4556496, -30960118, 64610, 207343, -152657,5815, 
0x00000000, -10742046, -4547889, -31001176, 64589, 207555, -152430,5957, 
0x00000000, -10746680, -4545204, -31075336, 64641, 207973, -152899,6097, 
0x00000000, -10736200, -4528846, -31118664, 64448, 208264, -152609,6237, 
