Status: 0x00000000
Fx: -10720470
Fy: -4524376
Fz: -30750492
Tx: 63925
Ty: 204724
Tz: -154285
1645114615367
Status: 0x00000000
Fx: -10726630
Fy: -4525331
Fz: -30746196
Tx: 63981
Ty: 205036
Tz: -153947
1645114615506
Status: 0x00000000
Fx: -10730875
Fy: -4530159
Fz: -30743756
Tx: 64306
Ty: 204819
Tz: -154282
1645114615645
Status: 0x00000000
Fx: -10730375
Fy: -4528506
Fz: -30749308
Tx: 64186
Ty: 205029
Tz: -154103
1645114615785
Status: 0x00000000
Fx: -10726194
Fy: -4525299
Fz: -30750752
Tx: 64041
Ty: 204679
Tz: -154011
1645114615925
Status: 0x00000000
Fx: -10729792
Fy: -4523102
Fz: -30749998
Tx: 64042
Ty: 205105
Tz: -154043
1645114616066
Status: 0x00000000
Fx: -10729050
Fy: -4525571
Fz: -30754856
Tx: 64010
Ty: 204719
Tz: -153811
1645114616205
Status: 0x00000000
Fx: -10726589
Fy: -4530892
Fz: -30751516
Tx: 64139
Ty: 204805
Tz: -153971
1645114616355
Status: 0x00000000
Fx: -10719182
Fy: -4522615
Fz: -30751460
Tx: 64052
Ty: 204674
Tz: -154219
1645114616496
Status: 0x00000000
Fx: -10709512
Fy: -4525018
Fz: -30748368
Tx: 64212
Ty: 204750
Tz: -153799
1645114616636
Status: 0x00000000
Fx: -10718106
Fy: -4520376
Fz: -30752370
Tx: 64136
Ty: 204745
Tz: -153886
1645114616784
Status: 0x00000000
Fx: -10724558
Fy: -4521954
Fz: -30761964
Tx: 64156
Ty: 204827
Tz: -153787
1645114616922
Status: 0x00000000
Fx: -10717110
Fy: -4526490
Fz: -30762920
Tx: 64163
Ty: 204821
Tz: -154189
1645114617063
Status: 0x00000000
Fx: -10723273
Fy: -4527931
Fz: -30773484
Tx: 63848
Ty: 204808
Tz: -154290
1645114617202
Status: 0x00000000
Fx: -10725018
Fy: -4522857
Fz: -30764880
Tx: 64021
Ty: 204637
Tz: -153995
1645114617346
Status: 0x00000000
Fx: -10723607
Fy: -4524323
Fz: -30753772
Tx: 64100
Ty: 204753
Tz: -153787
1645114617489
Status: 0x00000000
Fx: -10724450
Fy: -4519696
Fz: -30763354
Tx: 64183
Ty: 204622
Tz: -154021
1645114617629
Status: 0x00000000
Fx: -10726629
Fy: -4524404
Fz: -30764108
Tx: 64193
Ty: 204443
Tz: -153880
1645114617770
Status: 0x00000000
Fx: -10724491
Fy: -4524431
Fz: -30760512
Tx: 64047
