Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10720470, -4524376, -30750492, 63925, 204724, -154285,0, 
0x00000000, -10726630, -4525331, -30746196, 63981, 205036, -153947,139, 
0x00000000, -10730875, -4530159, -30743756, 64306, 204819, -154282,278, 
0x00000000, -10730375, -4528506, -30749308, 64186, 205029, -154103,418, 
0x00000000, -10726194, -4525299, -30750752, 64041, 204679, -154011,558, 
0x00000000, -10729792, -4523102, -30749998, 64042, 205105, -154043,699, 
0x00000000, -10729050, -4525571, -30754856, 64010, 204719, -153811,838, 
0x00000000, -10726589, -4530892, -30751516, 64139, 204805, -153971,988, 
0x00000000, -10719182, -4522615, -30751460, 64052, 204674, -154219,1129, 
0x00000000, -10709512, -4525018, -30748368, 64212, 204750, -153799,1269, 
0x00000000, -10718106, -4520376, -30752370, 64136, 204745, -153886,1417, 
0x00000000, -10724558, -4521954, -30761964, 64156, 204827, -153787,1555, 
0x00000000, -10717110, -4526490, -30762920, 64163, 204821, -154189,1696, 
0x00000000, -10723273, -4527931, -30773484, 63848, 204808, -154290,1835, 
0x00000000, -10725018, -4522857, -30764880, 64021, 204637, -153995,1979, 
0x00000000, -10723607, -4524323, -30753772, 64100, 204753, -153787,2122, 
0x00000000, -10724450, -4519696, -30763354, 64183, 204622, -154021,2262, 
0x00000000, -10726629, -4524404, -30764108, 64193, 204443, -153880,2403, 
0x00000000, -10724491, -4524431, -30760512, 64047, 204515, -153954,2542, 
0x00000000, -10724302, -4523324, -30762612, 64347, 204563, -154004,2680, 
0x00000000, -10731423, -4525865, -30751358, 63963, 204753, -154143,2820, 
0x00000000, -10730834, -4533548, -30751372, 64035, 204694, -153867,2961, 
0x00000000, -10727857, -4525858, -30756462, 64165, 204585, -153915,3105, 
0x00000000, -10725784, -4528526, -30739786, 64246, 204772, -154009,3245, 
0x00000000, -10724383, -4531482, -30737974, 64150, 204648, -154107,3384, 
0x00000000, -10732181, -4526937, -30753298, 64362, 204744, -154076,3525, 
0x00000000, -10718641, -4530984, -30744822, 64175, 204716, -153952,3736, 
0x00000000, -10726862, -4522134, -30756220, 64254, 204795, -153952,3875, 
0x00000000, -10726416, -4520762, -30749594, 64252, 204793, -153950,4026, 
0x00000000, -10721779, -4526201, -30749292, 64131, 204480, -153824,4168, 
0x00000000, -10725853, -4530844, -30742922, 64256, 204643, -153913,4308, 
0x00000000, -10729904, -4527377, -30749316, 64264, 204703, -153690,4453, 
0x00000000, -10728011, -4529997, -30751704, 64374, 204676, -153843,4593, 
0x00000000, -10726006, -4529021, -30741936, 64323, 204561, -153966,4734, 
0x00000000, -10725995, -4525318, -30736042, 64168, 204692, -153682,4876, 
