encoder,Fz,Fx,Fy,Tx,Ty,Tz,time,turn_count
0,0,0,0,0,0,0,0,0
0,3252,-828,-3500,188,-416,-153,141,0
0,4392,-6884,-2236,67,2,-407,280,0
0,-252,-677,-3701,33,-28,-142,420,0
0,5668,-7966,-7611,96,-104,118,560,0
33,6500,1647,-7130,-174,-146,-318,704,0
167,1280,1124,-5428,124,-65,-287,843,0
413,9164,-8306,-2222,-94,78,-248,982,0
695,-676,-5723,-10079,-65,-73,-340,1123,0
1052,-6182,-1739,-10275,-150,-93,-226,1263,0
1386,-2348,-4151,-9663,64,31,-249,1403,0
1734,-2028,494,-8725,-76,-54,-302,1546,0
2004,3612,-1223,-13273,168,138,-407,1686,0
2206,2936,-4509,-8192,145,63,-246,1831,0
2384,3214,733,-13124,-156,-150,-309,1972,0
2577,-2736,2038,-3185,45,49,-86,2110,0
2766,-4620,-5826,-7044,285,-101,-437,2249,0
2957,-1068,-7880,-4277,263,189,83,2388,0
3164,-288,-7301,-13248,148,160,-360,2530,0
3353,-9176,-8650,-9426,87,187,-31,2670,0
3539,-4118,-7849,-9140,196,-39,-201,2810,0
3748,-8022,3775,-15340,145,279,-168,2955,0
3937,-2352,335,-13397,375,-10,-146,3093,0
4146,-2052,-8019,-6415,282,64,-45,3237,0
4333,-7884,-2554,1137,397,-95,-177,3384,0
4560,3336,-7454,-12698,226,-167,-231,3531,0
4747,-8164,-3019,-8856,284,-48,10,3673,0
4934,3660,-5250,-3566,507,81,0,3814,0
5143,100564,13636,-9254,617,379,-269,3954,0
5330,170312,-3592,-6600,679,1074,-40,4093,0
5521,242172,12754,-5626,1147,1737,-76,4233,0
5725,301640,13499,-12807,1266,1675,-47,4373,0
5930,378484,16727,7968,1507,2283,107,4515,0
6123,451660,14247,8426,1522,2574,48,4664,0
6326,511688,10372,7180,1538,3105,-85,4804,0
6517,567112,13228,19687,1422,3632,-195,4945,0
6710,532616,8304,26513,633,3908,278,5085,0
6913,545014,3119,5859,520,3597,36,5231,0
7119,588988,1805,16225,488,4068,262,5371,0
7307,643972,13931,33834,528,4444,36,5514,0
7516,702822,20155,28582,821,4881,11,5657,0
7705,770132,27403,28301,256,5301,263,5798,0
7910,812904,30666,28134,615,5480,187,5944,0
8102,860420,14314,1710,1110,5653,-53,6083,0
8308,919028,31470,17344,1533,5707,-23,6224,0
8493,984036,53926,2837,2234,6243,266,6364,0
8682,1026430,45832,-5320,2410,6629,-202,6505,0
8889,1094908,68433,-8981,2538,6753,94,6645,0
9097,1143024,68705,-1605,2630,6972,221,6787,0
9284,1175852,63270,1568,2747,7447,64,6930,0
9446,1241580,61191,-5099,2959,7699,-59,7073,0
9597,1265408,57372,9454,2917,7974,453,7214,0
9677,1308978,61076,14657,3044,8152,343,7365,0
9764,1328232,70869,24972,3007,8339,412,7512,0
9863,1363132,68060,25481,3142,8610,167,7653,0
10022,1406748,76643,21634,3240,8924,367,7793,0
10131,1422960,83364,35614,3625,9145,212,7933,0
10254,1461972,87176,29021,3504,9130,337,8073,0
10361,1497204,86106,21441,3528,9588,410,8214,0
10490,1520332,73181,12242,3215,9754,412,8355,0
10600,1548484,72584,9185,3489,9905,443,8496,0
10718,1581452,85454,22071,3221,10376,539,8639,0
10838,1631544,98045,13858,3411,10255,189,8782,0
10949,1680328,100504,18408,3594,10986,294,8922,0
11066,1696380,97882,18667,3230,11142,373,9063,0
11174,1708252,74161,9824,2687,11694,233,9203,0
11294,1738078,78702,25156,2710,12140,164,9343,0
11414,1763540,95003,7791,2985,12430,249,9484,0
11531,1806476,105558,21208,2898,12557,563,9632,0
11655,1835972,120969,12406,2940,12718,447,9772,0
11764,1854032,132585,14425,2947,12636,402,9914,0
11879,1910128,129996,27591,2925,13553,562,10059,0
12003,1938988,129528,15463,3323,13702,439,10200,0
12116,1970920,138445,146,3419,13965,330,10340,0
12231,2015452,134937,-15843,3300,14395,-108,10485,0
12363,2057160,129057,-8677,3358,14753,290,10627,0
12483,2086596,145095,10222,3126,14764,352,10768,0
12612,2160864,152638,20844,3454,15526,653,10910,0
12736,2190332,159460,905,3744,15758,286,11054,0
12866,2206468,152955,-46412,3343,16088,-70,11196,0
13002,2227204,150812,-76096,3725,16291,-229,11338,0
13138,2217444,128662,-111572,4011,16664,-536,11479,0
13269,2235020,117823,-95530,4133,16919,-715,11621,0
13393,2249016,122403,-109952,4116,17174,-566,11763,0
13520,2245156,99383,-114568,4391,17416,-779,11903,0
13647,2232800,102012,-134995,4323,17461,-904,12045,0
13787,2211868,142703,-102219,4360,17402,-452,12186,0
13914,2167072,131938,-74588,4437,17317,-159,12331,0
14038,2166676,124842,-85140,4448,17346,-392,12473,0
14167,2127584,77743,-136679,4609,17333,-1039,12616,0
14281,2153088,113125,-124665,4446,17639,-537,12764,0
14399,2124308,113023,-119775,4721,17839,-765,12905,0
14525,2131384,117088,-109388,5150,17945,-694,13048,0
14641,2125596,112774,-108862,5245,18073,-786,13194,0
14759,2122216,111168,-113507,5254,18428,-480,13343,0
14883,2120000,115590,-93285,5533,18296,-397,13494,0
15014,2113840,125882,-113901,5343,18474,-529,13637,0
15126,2138488,134630,-96396,6061,18770,-367,13784,0
15243,2128308,122638,-94185,6237,19091,-408,13927,0
15361,2144280,137705,-96790,6350,19060,-379,14068,0
15474,2116412,103698,-125161,6304,19340,-687,14211,0
15590,2127060,100456,-130387,6263,19245,-561,14353,0
15706,2145400,112682,-121100,6100,19432,-799,14494,0
15832,2155296,139541,-112213,6104,19604,-678,14642,0
15948,2171664,124494,-111266,6550,19857,-626,14787,0
16064,2161000,131750,-119257,6681,19777,-802,14930,0
16177,2160808,125324,-125815,6823,20291,-466,15070,0
16292,2159560,125186,-121192,6905,20273,-685,15214,0
16419,2170640,110285,-114634,7404,20825,-618,15355,0
16477,2172752,121773,-103770,7654,20885,-394,15498,0
16477,2192108,119599,-94918,7469,21149,-294,15640,0
16477,2191520,122756,-102247,7346,21006,-367,15784,0
16477,2190124,116618,-86399,7508,21244,-440,15927,0
16477,2196048,125963,-80437,7386,21082,-269,16072,0
16477,2199328,124844,-85606,7532,21174,-77,16215,0
16477,2192280,125012,-86106,7619,21187,-214,16355,0
16477,2208484,135473,-98093,7432,21189,-247,16499,0
16477,2211620,149273,-91444,7381,21239,118,16640,0
16477,2200768,141085,-87724,7421,20968,-56,16783,0
16477,2204036,132269,-78091,7571,21197,-209,16924,0
16477,2209040,134544,-78891,7509,21276,-209,17169,0
16483,2146328,136486,-157020,7355,20498,-913,17311,0
16631,2116424,120273,-137986,7466,20887,-727,17459,0
16891,2089544,148331,-121739,7893,20838,-374,17609,0
16981,2098668,112068,-98825,8018,21141,-437,17753,0
16981,2104776,89331,-106639,8140,20786,-655,17894,0
16981,2102412,79143,-126612,8167,21245,-717,18047,0
16981,2107100,88852,-130038,8181,20985,-947,18190,0
16981,2112236,77272,-122669,8183,20991,-857,18333,0
16981,2110300,77147,-122227,8007,20903,-914,18483,0
16981,2111768,75594,-120844,8238,21171,-795,18622,0
16981,2108424,81059,-129518,8108,21207,-1005,18764,0
16981,2105512,86277,-133636,8043,21232,-757,18916,0
16981,2114136,77415,-116084,8145,21234,-606,19059,0
16981,2102220,60165,-146768,8338,21033,-1113,19206,0
16981,2108600,61306,-157240,8163,20880,-1150,19352,0
16981,1954252,-12938,-60480,8013,19629,-239,19503,0
16977,2012516,-42304,-71676,8345,20293,-556,19646,0
16941,2069952,-35839,-72922,8572,21026,-620,19789,0
16771,2130280,4273,44571,8104,20858,481,19938,0
16495,2158768,-58443,-26701,8141,21033,-201,20080,0
16465,2149872,-73058,2468,7985,20955,-103,20223,0
16465,2158440,-74446,35695,8388,21130,415,20371,0
16465,2152568,-75859,308,8220,20923,-1,20520,0
16465,2158904,-86937,19057,8378,21166,214,20664,0
16464,2168572,-86399,21982,8118,21214,220,20807,0
16463,2180480,-102626,22544,8410,21449,294,20954,0
16460,2184064,-131383,31695,8343,21401,179,21097,0
16416,2231328,-150114,76145,8272,21582,639,21240,0
16316,2168040,-104256,61769,8012,20897,680,21385,0
16317,2135000,-135500,62989,7941,20540,909,21534,0
16317,2185268,-155225,55409,8349,21059,302,21679,0
16317,2201400,-153004,66371,8163,21248,651,21824,0
16317,2196784,-183282,68562,8151,21233,368,21969,0
16316,2202128,-188785,68543,7998,21225,16,22114,0
16316,2197280,-181315,59858,8122,21026,398,22266,0
16316,2199928,-177051,62886,8298,21200,544,22413,0
16316,2206448,-159995,70737,8307,21075,577,22559,0
16316,2198336,-163202,54637,8098,21291,345,22700,0
16316,2183956,-179797,53493,8393,21005,454,22844,0
16316,2205536,-171246,58050,8037,21170,494,22990,0
16316,2211424,-164964,54320,8407,21312,195,23132,0
16316,2216152,-155022,60597,8062,21197,633,23275,0
16316,2219660,-164832,63786,7971,21096,541,23435,0
16316,2229284,-185169,76204,8256,21420,354,23593,0
16316,2216852,-204980,72441,8118,21352,338,23735,0
16315,2205976,-245174,49267,8351,21246,117,23878,0
16315,2129092,-211729,8641,7851,20250,-496,24021,0
16316,2157144,-106613,38236,7774,20529,508,24166,0
16316,2063352,-173033,-348,7457,19827,-302,24312,0
16316,2099192,-137063,17727,7679,20043,-190,24454,0
16316,2098944,-150091,38307,7548,19719,398,24596,0
16316,2101072,-125933,68366,7663,19718,731,24737,0
16316,2099888,-124819,52140,7706,20051,664,24879,0
16316,2106492,-107648,67962,7836,19970,1126,25023,0
16316,2107608,-97010,95904,7860,20108,1150,25170,0
