Status: 0x00000000
Fx: -10345865
Fy: -3373847
Fz: -34633136
Tx: 56187
Ty: 204471
Tz: -210233
1645110918135
Status: 0x00000000
Fx: -10340063
Fy: -3369358
Fz: -34637696
Tx: 55967
Ty: 204667
Tz: -210271
1645110918292
Status: 0x00000000
Fx: -10342619
Fy: -3373753
Fz: -34634120
Tx: 56254
Ty: 204853
Tz: -210359
1645110918455
Status: 0x00000000
Fx: -10341559
Fy: -3371661
Fz: -34628280
Tx: 55901
Ty: 204474
Tz: -210245
1645110918606
Status: 0x00000000
Fx: -10336879
Fy: -3377541
Fz: -34629652
Tx: 56210
Ty: 204643
Tz: -210361
1645110918774
Status: 0x00000000
Fx: -10341452
Fy: -3369712
Fz: -34633776
Tx: 56472
Ty: 204387
Tz: -210043
1645110918927
Status: 0x00000000
Fx: -10343570
Fy: -3366766
Fz: -34626528
Tx: 56156
Ty: 204671
Tz: -210169
1645110920071
Status: 0x00000000
Fx: -10398716
Fy: -3434662
Fz: -34523304
Tx: 55296
Ty: 204210
Tz: -210735
1645110920233
Status: 0x00000000
Fx: -10413846
Fy: -3411082
Fz: -34490952
Tx: 55325
Ty: 204116
Tz: -210709
1645110920384
Status: 0x00000000
Fx: -10398278
Fy: -3402819
Fz: -34451152
Tx: 55417
Ty: 203729
Tz: -210512
1645110920539
Status: 0x00000000
Fx: -10388257
Fy: -3409465
Fz: -34404092
Tx: 55350
Ty: 203469
Tz: -210309
1645110920692
Status: 0x00000000
Fx: -10381803
Fy: -3415232
Fz: -34355684
Tx: 55446
Ty: 203049
Tz: -210544
1645110920847
Status: 0x00000000
Fx: -10390106
Fy: -3413118
Fz: -34293720
Tx: 55335
Ty: 202825
Tz: -210464
1645110920997
Status: 0x00000000
Fx: -10375135
Fy: -3398057
Fz: -34235104
Tx: 55422
Ty: 202406
Tz: -210274
1645110921154
Status: 0x00000000
Fx: -10385863
Fy: -3402916
Fz: -34311912
Tx: 55436
Ty: 202400
Tz: -210560
1645110921311
Status: 0x00000000
Fx: -10374678
Fy: -3398301
Fz: -34206108
Tx: 55711
Ty: 202323
Tz: -210559
1645110921463
Status: 0x00000000
Fx: -10368665
Fy: -3409030
Fz: -34145408
Tx: 55447
Ty: 202094
Tz: -210380
1645110921628
Status: 0x00000000
Fx: -10362848
Fy: -3404041
Fz: -34139012
Tx: 55656
Ty: 202166
Tz: -210506
1645110921795
Status: 0x00000000
Fx: -10361920
Fy: -3407484
Fz: -34138028
Tx: 55358
Ty: 202047
Tz: -210336
1645110922046
Status: 0x00000000
Fx: -10368102
Fy: -3401117
Fz: -34140304
Tx: 55567
Ty: 201921
Tz: -210379
1645110922199
Status: 0x00000000
Fx: -10365345
Fy: -3400869
Fz: -34150588
Tx: 55516
Ty: 202038
Tz: -210393
1645110922351
Status: 0x00000000
Fx: -10367626
Fy: -3408053
Fz: -34122360
Tx: 55387
Ty: 202053
Tz: -210295
1645110922504
Status: 0x00000000
Fx: -10366560
Fy: -3403981
Fz: -34133088
Tx: 55692
Ty: 201805
Tz: -210287
1645110922667
Status: 0x00000000
Fx: -10371556
Fy: -3398062
Fz: -34135580
Tx: 55641
Ty: 202192
Tz: -210254
1645110922823
Status: 0x00000000
Fx: -10363008
Fy: -3401497
Fz: -34129168
Tx: 55493
Ty: 202171
Tz: -210436
1645110922977
Status: 0x00000000
Fx: -10360062
Fy: -3402712
Fz: -34134112
Tx: 55672
Ty: 202011
Tz: -210203
1645110923142
Status: 0x00000000
Fx: -10369887
Fy: -3400566
Fz: -34142292
Tx: 55501
Ty: 202129
Tz: -210340
1645110923297
Status: 0x00000000
Fx: -10359230
Fy: -3408683
Fz: -34127400
Tx: 55469
Ty: 201954
Tz: -210080
1645110923452
Status: 0x00000000
Fx: -10361552
Fy: -3413489
Fz: -34133284
Tx: 55438
Ty: 202096
Tz: -210228
1645110923606
Status: 0x00000000
Fx: -10358917
Fy: -3400900
Fz: -34135816
Tx: 55468
Ty: 202039
Tz: -210150
1645110923759
Status: 0x00000000
Fx: -10363375
Fy: -3399404
Fz: -34121856
Tx: 55494
Ty: 201985
Tz: -210310
1645110923913
Status: 0x00000000
Fx: -10360828
Fy: -3406242
Fz: -34139692
Tx: 55269
Ty: 201902
Tz: -210253
1645110924070
Status: 0x00000000
Fx: -10366286
Fy: -3402447
Fz: -34124648
Tx: 55620
Ty: 201995
Tz: -210400
1645110924223
Status: 0x00000000
Fx: -10369120
Fy: -3407118
Fz: -34130756
Tx: 55588
Ty: 202177
Tz: -210425
1645110924377
Status: 0x00000000
Fx: -10359415
Fy: -3407874
Fz: -34128436
Tx: 55154
Ty: 202049
Tz: -210416
1645110924529
Status: 0x00000000
Fx: -10366605
Fy: -3398665
Fz: -34131452
Tx: 55285
Ty: 202317
Tz: -209861
1645110924698
Status: 0x00000000
Fx: -10362362
Fy: -3400257
Fz: -34128116
Tx: 55355
Ty: 202131
Tz: -210239
1645110924854
Status: 0x00000000
Fx: -10366803
Fy: -3405516
Fz: -34130292
Tx: 55464
Ty: 202297
Tz: -210359
1645110925006
Status: 0x00000000
Fx: -10368979
Fy: -3403435
Fz: -34122704
Tx: 55561
Ty: 202081
Tz: -210189
1645110925158
Status: 0x00000000
Fx: -10358197
Fy: -3401943
Fz: -34128968
Tx: 55388
Ty: 201768
Tz: -210455
1645110925316
Status: 0x00000000
Fx: -10362442
Fy: -3412502
Fz: -34119196
Tx: 55422
Ty: 202004
Tz: -209973
1645110925469
Status: 0x00000000
Fx: -10368525
Fy: -3404262
Fz: -34115312
Tx: 55625
Ty: 202018
Tz: -210296
1645110925623
Status: 0x00000000
Fx: -10359345
Fy: -3405231
Fz: -34106000
Tx: 55509
Ty: 201965
Tz: -210446
1645110925783
Status: 0x00000000
Fx: -10359578
Fy: -3408468
Fz: -34120376
Tx: 55293
Ty: 201898
Tz: -210215
1645110926034
Status: 0x00000000
Fx: -10362098
Fy: -3408053
Fz: -34113612
Tx: 55436
Ty: 201972
Tz: -210394
1645110926186
Status: 0x00000000
Fx: -10357933
Fy: -3405122
Fz: -34104760
Tx: 55537
Ty: 202009
Tz: -210304
1645110926338
Status: 0x00000000
Fx: -10354932
Fy: -3402379
Fz: -34115832
Tx: 55570
Ty: 201883
Tz: -210279
1645110926492
Status: 0x00000000
Fx: -10362072
Fy: -3409800
Fz: -34111224
Tx: 55583
Ty: 201934
Tz: -210124
1645110926648
Status: 0x00000000
Fx: -10360466
Fy: -3401961
Fz: -34100320
Tx: 55632
Ty: 202085
Tz: -210266
1645110926808
Status: 0x00000000
Fx: -10358600
Fy: -3408232
Fz: -34113192
Tx: 55659
Ty: 202221
Tz: -210037
1645110926961
Status: 0x00000000
Fx: -10362996
Fy: -3404168
Fz: -34110328
Tx: 55664
Ty: 202049
Tz: -210281
1645110927114
Status: 0x00000000
Fx: -10365825
Fy: -3407718
Fz: -34105980
Tx: 55648
Ty: 202086
Tz: -210176
1645110927272
Status: 0x00000000
Fx: -10364880
Fy: -3396415
Fz: -34112700
Tx: 55632
Ty: 202161
Tz: -209959
1645110927433
Status: 0x00000000
Fx: -10366017
Fy: -3402372
Fz: -34108708
Tx: 55594
Ty: 202146
Tz: -210452
1645110927587
Status: 0x00000000
Fx: -10363343
Fy: -3403042
Fz: -34114004
Tx: 55518
Ty: 201824
Tz: -210340
1645110927832
Status: 0x00000000
Fx: -10361295
Fy: -3398641
Fz: -34106536
Tx: 55757
Ty: 202110
Tz: -210222
1645110927984
Status: 0x00000000
Fx: -10361129
Fy: -3406834
Fz: -34111400
Tx: 55742
Ty: 201988
Tz: -210143
1645110928139
Status: 0x00000000
Fx: -10367774
Fy: -3403330
Fz: -34113796
Tx: 55798
Ty: 201980
Tz: -210241
1645110928294
Status: 0x00000000
Fx: -10364518
Fy: -3406384
Fz: -34097224
Tx: 55495
Ty: 201857
Tz: -210070
1645110928485
Status: 0x00000000
Fx: -10359445
Fy: -3399875
Fz: -34113680
Tx: 55517
Ty: 201873
Tz: -210105
1645110928639
Status: 0x00000000
Fx: -10369167
Fy: -3411972
Fz: -34107248
Tx: 55494
Ty: 202012
Tz: -210146
1645110928798
Status: 0x00000000
Fx: -10368610
Fy: -3406057
Fz: -34103248
Tx: 55588
Ty: 201791
Tz: -210279
1645110928954
Status: 0x00000000
Fx: -10365872
Fy: -3406552
Fz: -34101608
Tx: 55640
Ty: 201907
Tz: -210227
1645110929112
Status: 0x00000000
Fx: -10366900
Fy: -3405502
Fz: -34107868
Tx: 55535
Ty: 201901
Tz: -210268
1645110929271
Status: 0x00000000
Fx: -10365842
Fy: -3408018
Fz: -34108992
Tx: 55329
Ty: 201810
Tz: -210336
1645110929424
Status: 0x00000000
Fx: -10371573
Fy: -3409852
Fz: -34100664
Tx: 55654
Ty: 202007
Tz: -210291
1645110929581
Status: 0x00000000
Fx: -10362781
Fy: -3405057
Fz: -34113052
Tx: 55355
Ty: 201894
Tz: -210149
1645110929738
Status: 0x00000000
Fx: -10364060
Fy: -3415668
Fz: -34105372
Tx: 55510
Ty: 201858
Tz: -210375
1645110929891
Status: 0x00000000
Fx: -10364328
Fy: -3402622
Fz: -34107656
Tx: 55771
Ty: 201971
Tz: -210202
1645110930045
Status: 0x00000000
Fx: -10364438
Fy: -3405294
Fz: -34115380
Tx: 55726
Ty: 202059
Tz: -209879
1645110930197
Status: 0x00000000
Fx: -10370857
Fy: -3396462
Fz: -34184868
Tx: 55934
Ty: 202349
Tz: -210324
1645110930352
Status: 0x00000000
Fx: -10359981
Fy: -3415556
Fz: -34263088
Tx: 55730
Ty: 202762
Tz: -210007
1645110930516
Status: 0x00000000
Fx: -10338618
Fy: -3404955
Fz: -34341688
Tx: 56139
Ty: 203232
Tz: -210093
1645110930674
Status: 0x00000000
Fx: -10350791
Fy: -3407396
Fz: -34417256
Tx: 56121
Ty: 203754
Tz: -210413
1645110930829
Status: 0x00000000
Fx: -10337880
Fy: -3394868
Fz: -34487288
Tx: 56229
Ty: 203803
Tz: -209959
1645110930983
Status: 0x00000000
Fx: -10356918
Fy: -3389727
Fz: -34559388
Tx: 56404
Ty: 204653
Tz: -210152
1645110931140
Status: 0x00000000
Fx: -10339699
Fy: -3384217
Fz: -34598280
Tx: 56568
Ty: 204797
Tz: -210135
1645110931293
Status: 0x00000000
Fx: -10346450
Fy: -3384004
Fz: -34621196
Tx: 56387
Ty: 205230
Tz: -209770
1645110931446
Status: 0x00000000
Fx: -10359201
Fy: -3417115
Fz: -34598552
Tx: 55766
Ty: 205160
Tz: -210295
1645110931603
Status: 0x00000000
Fx: -10316934
Fy: -3398589
Fz: -34674704
Tx: 55949
Ty: 205820
Tz: -209832
1645110931773
Status: 0x00000000
Fx: -10388021
Fy: -3336041
Fz: -34763936
Tx: 55142
Ty: 206009
Tz: -209901
1645110931932
Status: 0x00000000
Fx: -10336651
Fy: -3379325
Fz: -34699064
Tx: 55288
Ty: 206332
Tz: -209908
1645110932088
Status: 0x00000000
Fx: -10367873
Fy: -3395572
Fz: -34657536
Tx: 55457
Ty: 206013
Tz: -210081
1645110932244
Status: 0x00000000
Fx: -10370235
Fy: -3397576
Fz: -34662088
Tx: 55351
Ty: 205891
Tz: -210227
1645110932401
Status: 0x00000000
Fx: -10352747
Fy: -3386377
Fz: -34669408
Tx: 55503
Ty: 205861
Tz: -210029
1645110932559
Status: 0x00000000
Fx: -10357277
Fy: -3375235
Fz: -34669752
Tx: 55351
Ty: 205940
Tz: -209960
1645110932713
Status: 0x00000000
Fx: -10352230
Fy: -3373486
Fz: -34695920
Tx: 55406
Ty: 206188
Tz: -209654
1645110932878
Status: 0x00000000
Fx: -10328683
Fy: -3389278
Fz: -34751320
Tx: 55191
Ty: 206594
Tz: -209861
1645110933030
Status: 0x00000000
Fx: -10372246
Fy: -3379020
Fz: -34735092
Tx: 55263
Ty: 206378
Tz: -209949
1645110933185
Status: 0x00000000
Fx: -10387408
Fy: -3396139
Fz: -34715760
Tx: 55127
Ty: 206272
Tz: -210024
1645110933340
Status: 0x00000000
Fx: -10395623
Fy: -3413216
Fz: -34652536
Tx: 55255
Ty: 205807
Tz: -210050
1645110933493
Status: 0x00000000
Fx: -10415859
Fy: -3410951
Fz: -34585856
Tx: 55253
Ty: 205160
Tz: -210110
1645110933648
Status: 0x00000000
Fx: -10425588
Fy: -3409103
Fz: -34521528
Tx: 55193
Ty: 204836
Tz: -210120
1645110933805
Status: 0x00000000
Fx: -10400121
Fy: -3418665
Fz: -34441500
Tx: 55295
Ty: 204284
Tz: -209912
1645110933960
Status: 0x00000000
Fx: -10388103
Fy: -3418384
Fz: -34407852
Tx: 55236
Ty: 203822
Tz: -209963
1645110934114
Status: 0x00000000
Fx: -10393957
Fy: -3412109
Fz: -34341848
Tx: 55327
Ty: 203083
Tz: -209987
1645110934273
Status: 0x00000000
Fx: -10392824
Fy: -3408380
Fz: -34277396
Tx: 55227
Ty: 202867
Tz: -210072
1645110934434
Status: 0x00000000
Fx: -10370468
Fy: -3411104
Fz: -34183784
Tx: 55872
Ty: 202295
Tz: -209973
1645110934623
Status: 0x00000000
Fx: -10389215
Fy: -3404123
Fz: -34214848
Tx: 55596
Ty: 202388
Tz: -210034
1645110934779
Status: 0x00000000
Fx: -10373277
Fy: -3411688
Fz: -34136360
Tx: 55126
Ty: 201987
Tz: -210186
1645110934937
Status: 0x00000000
Fx: -10364902
Fy: -3399620
Fz: -34102344
Tx: 55361
Ty: 201546
Tz: -209853
1645110935093
Status: 0x00000000
Fx: -10362922
Fy: -3407392
Fz: -34109668
Tx: 55493
Ty: 201637
Tz: -210023
1645110935252
Status: 0x00000000
Fx: -10368528
Fy: -3407955
Fz: -34100184
Tx: 55450
Ty: 201899
Tz: -210174
1645110935405
Status: 0x00000000
Fx: -10364690
Fy: -3405052
Fz: -34099744
Tx: 55341
Ty: 201672
Tz: -209860
1645110935559
Status: 0x00000000
Fx: -10365548
Fy: -3409896
Fz: -34095908
Tx: 55395
Ty: 201795
Tz: -209942
1645110935717
Status: 0x00000000
Fx: -10369564
Fy: -3407658
Fz: -34091884
Tx: 55493
Ty: 201993
Tz: -209732
1645110935871
Status: 0x00000000
Fx: -10361017
Fy: -3409871
Fz: -34089984
Tx: 55401
Ty: 201956
Tz: -209799
1645110936031
Status: 0x00000000
Fx: -10367065
Fy: -3410245
Fz: -34094496
Tx: 55241
Ty: 201901
Tz: -210059
1645110936186
Status: 0x00000000
Fx: -10364990
Fy: -3408632
Fz: -34095804
Tx: 55448
Ty: 201667
Tz: -210053
1645110936351
Status: 0x00000000
Fx: -10364997
Fy: -3401549
Fz: -34093804
Tx: 55653
Ty: 201785
Tz: -209931
1645110936513
Status: 0x00000000
Fx: -10367092
Fy: -3410211
Fz: -34091544
Tx: 55477
Ty: 201849
Tz: -209875
1645110936668
Status: 0x00000000
Fx: -10366134
Fy: -3414098
Fz: -34100256
Tx: 55417
Ty: 202046
Tz: -209974
1645110936821
Status: 0x00000000
Fx: -10368134
Fy: -3413645
Fz: -34086404
Tx: 55452
Ty: 201870
Tz: -210089
1645110936977
Status: 0x00000000
Fx: -10366530
Fy: -3412098
Fz: -34095448
Tx: 55469
Ty: 201857
Tz: -209770
1645110937131
Status: 0x00000000
Fx: -10364972
Fy: -3410646
Fz: -34087392
Tx: 55438
Ty: 201812
Tz: -209734
1645110937294
Status: 0x00000000
Fx: -10362644
Fy: -3411055
Fz: -34085464
Tx: 55348
Ty: 201786
Tz: -210116
1645110937447
Status: 0x00000000
Fx: -10364394
Fy: -3410427
Fz: -34084536
Tx: 55492
Ty: 202317
Tz: -209977
1645110937602
Status: 0x00000000
Fx: -10368342
Fy: -3408397
Fz: -34083336
Tx: 55506
Ty: 201910
Tz: -210005
1645110937755
Status: 0x00000000
Fx: -10363786
Fy: -3407864
Fz: -34090412
Tx: 55443
Ty: 202086
Tz: -209813
1645110937914
Status: 0x00000000
Fx: -10365708
Fy: -3410954
Fz: -34078700
Tx: 55423
Ty: 202129
Tz: -209957
1645110938070
Status: 0x00000000
Fx: -10367784
Fy: -3413119
Fz: -34089216
Tx: 55346
Ty: 201895
Tz: -209869
1645110938229
Status: 0x00000000
Fx: -10362606
Fy: -3411536
Fz: -34068748
Tx: 55569
Ty: 202040
