Status: 0x00000000
Fx: -10565706
Fy: -3971531
Fz: -31896020
Tx: 61179
Ty: 203419
Tz: -177389
1645112081618
Status: 0x00000000
Fx: -10557100
Fy: -3970444
Fz: -31895640
Tx: 61208
Ty: 203221
Tz: -177192
1645112081758
Status: 0x00000000
Fx: -10564833
Fy: -3970479
Fz: -31896654
Tx: 61246
Ty: 203010
Tz: -177088
1645112081902
Status: 0x00000000
Fx: -10560019
Fy: -3971092
Fz: -31897344
Tx: 61165
Ty: 203099
Tz: -176989
1645112082041
Status: 0x00000000
Fx: -10563048
Fy: -3969693
Fz: -31871568
Tx: 61326
Ty: 203135
Tz: -177121
1645112082181
Status: 0x00000000
Fx: -10563921
Fy: -3967820
Fz: -31885252
Tx: 61144
Ty: 203228
Tz: -177163
1645112082323
Status: 0x00000000
Fx: -10568220
Fy: -3971191
Fz: -31886536
Tx: 60990
Ty: 203324
Tz: -177127
1645112082465
Status: 0x00000000
Fx: -10569352
Fy: -3973654
Fz: -31883836
Tx: 61075
Ty: 203345
Tz: -177151
1645112082634
Status: 0x00000000
Fx: -10564051
Fy: -3966822
Fz: -31885204
Tx: 61184
Ty: 202942
Tz: -177533
1645112082780
Status: 0x00000000
Fx: -10558791
Fy: -3970213
Fz: -31879312
Tx: 61155
Ty: 203238
Tz: -177211
1645112082921
Status: 0x00000000
Fx: -10563548
Fy: -3967360
Fz: -31875056
Tx: 61138
Ty: 203023
Tz: -177113
1645112083063
Status: 0x00000000
Fx: -10558898
Fy: -3970964
Fz: -31889940
Tx: 61207
Ty: 203270
Tz: -177155
1645112083202
Status: 0x00000000
Fx: -10565185
Fy: -3967242
Fz: -31887768
Tx: 60832
Ty: 203227
Tz: -177112
1645112083342
Status: 0x00000000
Fx: -10565244
Fy: -3977422
Fz: -31887406
Tx: 61069
Ty: 203290
Tz: -177208
1645112083482
Status: 0x00000000
Fx: -10566351
Fy: -3963817
Fz: -31885784
Tx: 61070
Ty: 203171
Tz: -177343
1645112083623
Status: 0x00000000
Fx: -10564748
Fy: -3973860
Fz: -31891538
Tx: 60997
Ty: 203189
Tz: -177055
1645112083765
Status: 0x00000000
Fx: -10566807
Fy: -3972500
Fz: -31887644
Tx: 61113
Ty: 203073
Tz: -177168
1645112083905
Status: 0x00000000
Fx: -10565633
Fy: -3975212
Fz: -31892516
Tx: 61026
Ty: 203096
Tz: -177192
1645112084049
Status: 0x00000000
Fx: -10563001
Fy: -3967825
Fz: -31886696
Tx: 60680
Ty: 203109
Tz: -177310
1645112084188
Status: 0x00000000
Fx: -10568990
Fy: -3966780
Fz: -31890012
Tx: 61173
Ty: 203196
Tz: -177206
1645112084333
Status: 0x00000000
Fx: -10561016
Fy: -3971008
Fz: -31882780
Tx: 60956
Ty: 202978
Tz: -177167
1645112084473
Status: 0x00000000
Fx: -10558666
Fy: -3977776
Fz: -31882356
Tx: 61040
Ty: 202964
Tz: -177045
1645112084619
Status: 0x00000000
Fx: -10566759
Fy: -3972620
Fz: -31888024
Tx: 60937
Ty: 203037
Tz: -177180
1645112084760
Status: 0x00000000
Fx: -10568568
Fy: -3974772
Fz: -31883356
Tx: 61189
Ty: 203282
Tz: -176997
1645112084898
Status: 0x00000000
Fx: -10569528
Fy: -3975076
Fz: -31875270
Tx: 61015
Ty: 203030
Tz: -177073
1645112085039
Status: 0x00000000
Fx: -10567362
Fy: -3970609
Fz: -31891088
Tx: 60980
Ty: 203305
Tz: -177108
1645112085182
Status: 0x00000000
Fx: -10561536
Fy: -3969748
Fz: -31878334
Tx: 60975
Ty: 203206
Tz: -177068
1645112085322
Status: 0x00000000
Fx: -10567167
Fy: -3973252
Fz: -31883488
Tx: 60986
Ty: 203183
Tz: -176974
1645112085464
Status: 0x00000000
Fx: -10566681
Fy: -3978299
Fz: -31881312
Tx: 60915
Ty: 203303
Tz: -177252
1645112085608
Status: 0x00000000
Fx: -10576100
Fy: -3972310
Fz: -31882718
Tx: 61113
Ty: 203099
Tz: -177141
1645112085748
Status: 0x00000000
Fx: -10575179
Fy: -3972803
Fz: -31887662
Tx: 61001
Ty: 203285
Tz: -177080
1645112085889
Status: 0x00000000
Fx: -10573982
Fy: -3970212
Fz: -31884666
Tx: 60960
Ty: 203387
Tz: -177053
1645112086029
Status: 0x00000000
Fx: -10568049
Fy: -3976436
Fz: -31888440
Tx: 60813
Ty: 203090
Tz: -177272
1645112086169
Status: 0x00000000
Fx: -10562999
Fy: -3976699
Fz: -31873262
Tx: 60927
Ty: 203306
Tz: -177080
1645112086312
Status: 0x00000000
Fx: -10570016
Fy: -3978472
Fz: -31885984
Tx: 61160
Ty: 203511
Tz: -177063
1645112086452
Status: 0x00000000
Fx: -10560345
Fy: -3968363
Fz: -31887284
Tx: 60936
Ty: 203160
Tz: -177244
1645112086598
Status: 0x00000000
Fx: -10565236
Fy: -3982648
Fz: -31882036
Tx: 61201
Ty: 203270
Tz: -177241
1645112086743
Status: 0x00000000
Fx: -10566359
Fy: -3977972
Fz: -31884304
Tx: 61107
Ty: 203286
Tz: -176894
1645112086893
Status: 0x00000000
Fx: -10561797
Fy: -3980966
Fz: -31890604
Tx: 61146
Ty: 203262
Tz: -176897
1645112087032
Status: 0x00000000
Fx: -10558864
Fy: -3972088
Fz: -31880272
Tx: 61022
Ty: 203417
Tz: -177252
1645112087173
Status: 0x00000000
Fx: -10563566
Fy: -3976861
Fz: -31883904
Tx: 60910
Ty: 203318
Tz: -177105
1645112087313
Status: 0x00000000
Fx: -10565882
Fy: -3977718
Fz: -31877514
Tx: 60922
Ty: 203522
Tz: -176973
1645112087458
Status: 0x00000000
Fx: -10564150
Fy: -3973615
Fz: -31884938
Tx: 61305
Ty: 203152
Tz: -176964
1645112087603
Status: 0x00000000
Fx: -10570525
Fy: -3981512
Fz: -31880348
Tx: 60841
Ty: 203668
Tz: -177033
1645112087748
Status: 0x00000000
Fx: -10559064
Fy: -3973009
Fz: -31878440
Tx: 61060
Ty: 203349
Tz: -176937
1645112087889
Status: 0x00000000
Fx: -10562801
Fy: -3977514
Fz: -31877376
Tx: 61122
Ty: 203150
Tz: -176835
1645112088033
Status: 0x00000000
Fx: -10565906
Fy: -3978829
Fz: -31885704
Tx: 61105
Ty: 203440
Tz: -177202
1645112088178
Status: 0x00000000
Fx: -10563332
Fy: -3971255
Fz: -31879136
Tx: 61149
Ty: 203521
Tz: -176820
1645112088319
Status: 0x00000000
Fx: -10554536
Fy: -3976856
Fz: -31872262
Tx: 61150
Ty: 203709
Tz: -177057
1645112088459
Status: 0x00000000
Fx: -10568979
Fy: -3971619
Fz: -31871524
Tx: 61265
Ty: 203655
Tz: -176887
1645112088599
Status: 0x00000000
Fx: -10559256
Fy: -3977093
Fz: -31877908
Tx: 60985
Ty: 203397
Tz: -177220
1645112088751
Status: 0x00000000
Fx: -10568276
Fy: -3984598
Fz: -31875704
Tx: 61059
Ty: 203613
Tz: -177033
1645112088893
Status: 0x00000000
Fx: -10565974
Fy: -3982567
Fz: -31877828
Tx: 61350
Ty: 203562
Tz: -176966
