Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10565706, -3971531, -31896020, 61179, 203419, -177389,0, 
0x00000000, -10557100, -3970444, -31895640, 61208, 203221, -177192,140, 
0x00000000, -10564833, -3970479, -31896654, 61246, 203010, -177088,284, 
0x00000000, -10560019, -3971092, -31897344, 61165, 203099, -176989,423, 
0x00000000, -10563048, -3969693, -31871568, 61326, 203135, -177121,563, 
0x00000000, -10563921, -3967820, -31885252, 61144, 203228, -177163,705, 
0x00000000, -10568220, -3971191, -31886536, 60990, 203324, -177127,847, 
0x00000000, -10569352, -3973654, -31883836, 61075, 203345, -177151,1016, 
0x00000000, -10564051, -3966822, -31885204, 61184, 202942, -177533,1162, 
0x00000000, -10558791, -3970213, -31879312, 61155, 203238, -177211,1303, 
0x00000000, -10563548, -3967360, -31875056, 61138, 203023, -177113,1445, 
0x00000000, -10558898, -3970964, -31889940, 61207, 203270, -177155,1584, 
0x00000000, -10565185, -3967242, -31887768, 60832, 203227, -177112,1724, 
0x00000000, -10565244, -3977422, -31887406, 61069, 203290, -177208,1864, 
0x00000000, -10566351, -3963817, -31885784, 61070, 203171, -177343,2005, 
0x00000000, -10564748, -3973860, -31891538, 60997, 203189, -177055,2147, 
0x00000000, -10566807, -3972500, -31887644, 61113, 203073, -177168,2287, 
0x00000000, -10565633, -3975212, -31892516, 61026, 203096, -177192,2431, 
0x00000000, -10563001, -3967825, -31886696, 60680, 203109, -177310,2570, 
0x00000000, -10568990, -3966780, -31890012, 61173, 203196, -177206,2715, 
0x00000000, -10561016, -3971008, -31882780, 60956, 202978, -177167,2855, 
0x00000000, -10558666, -3977776, -31882356, 61040, 202964, -177045,3001, 
0x00000000, -10566759, -3972620, -31888024, 60937, 203037, -177180,3142, 
0x00000000, -10568568, -3974772, -31883356, 61189, 203282, -176997,3280, 
0x00000000, -10569528, -3975076, -31875270, 61015, 203030, -177073,3421, 
0x00000000, -10567362, -3970609, -31891088, 60980, 203305, -177108,3564, 
0x00000000, -10561536, -3969748, -31878334, 60975, 203206, -177068,3704, 
0x00000000, -10567167, -3973252, -31883488, 60986, 203183, -176974,3846, 
0x00000000, -10566681, -3978299, -31881312, 60915, 203303, -177252,3990, 
0x00000000, -10576100, -3972310, -31882718, 61113, 203099, -177141,4130, 
0x00000000, -10575179, -3972803, -31887662, 61001, 203285, -177080,4271, 
0x00000000, -10573982, -3970212, -31884666, 60960, 203387, -177053,4411, 
0x00000000, -10568049, -3976436, -31888440, 60813, 203090, -177272,4551, 
0x00000000, -10562999, -3976699, -31873262, 60927, 203306, -177080,4694, 
0x00000000, -10570016, -3978472, -31885984, 61160, 203511, -177063,4834, 
0x00000000, -10560345, -3968363, -31887284, 60936, 203160, -177244,4980, 
0x00000000, -10565236, -3982648, -31882036, 61201, 203270, -177241,5125, 
0x00000000, -10566359, -3977972, -31884304, 61107, 203286, -176894,5275, 
0x00000000, -10561797, -3980966, -31890604, 61146, 203262, -176897,5414, 
0x00000000, -10558864, -3972088, -31880272, 61022, 203417, -177252,5555, 
0x00000000, -10563566, -3976861, -31883904, 60910, 203318, -177105,5695, 
0x00000000, -10565882, -3977718, -31877514, 60922, 203522, -176973,5840, 
0x00000000, -10564150, -3973615, -31884938, 61305, 203152, -176964,5985, 
0x00000000, -10570525, -3981512, -31880348, 60841, 203668, -177033,6130, 
0x00000000, -10559064, -3973009, -31878440, 61060, 203349, -176937,6271, 
0x00000000, -10562801, -3977514, -31877376, 61122, 203150, -176835,6415, 
0x00000000, -10565906, -3978829, -31885704, 61105, 203440, -177202,6560, 
0x00000000, -10563332, -3971255, -31879136, 61149, 203521, -176820,6701, 
0x00000000, -10554536, -3976856, -31872262, 61150, 203709, -177057,6841, 
0x00000000, -10568979, -3971619, -31871524, 61265, 203655, -176887,6981, 
0x00000000, -10559256, -3977093, -31877908, 60985, 203397, -177220,7133, 
0x00000000, -10568276, -3984598, -31875704, 61059, 203613, -177033,7275, 
0x00000000, -10565974, -3982567, -31877828, 61350, 203562, -176966,7415, 
0x00000000, -10566907, -3979748, -31871264, 61236, 203602, -177226,7559, 
0x00000000, -10561620, -3974873, -31881438, 61128, 203778, -176995,7697, 
0x00000000, -10560501, -3979898, -31875476, 61277, 203490, -177011,7844, 
0x00000000, -10551830, -3985351, -31872440, 61183, 203447, -177112,7986, 
0x00000000, -10571274, -3975717, -31886476, 61210, 203751, -176808,8136, 
0x00000000, -10561171, -3980289, -31968500, 61577, 204332, -177083,8275, 
0x00000000, -10559883, -3987801, -32014154, 61532, 204689, -176948,8414, 
0x00000000, -10554004, -3978420, -32056776, 61816, 205031, -177194,8559, 
0x00000000, -10553081, -3989593, -32112224, 61949, 205193, -176787,8699, 
