Status: 0x00000000
Fx: -10570456
Fy: -3981493
Fz: -31832686
Tx: 60317
Ty: 203692
Tz: -174927
1645112205645
Status: 0x00000000
Fx: -10568596
Fy: -3977944
Fz: -31841946
Tx: 60306
Ty: 204018
Tz: -174952
1645112205788
Status: 0x00000000
Fx: -10558310
Fy: -3980198
Fz: -31841032
Tx: 60361
Ty: 203730
Tz: -175075
1645112205929
Status: 0x00000000
Fx: -10579811
Fy: -3978590
Fz: -31850368
Tx: 60460
Ty: 204041
Tz: -174970
1645112206133
Status: 0x00000000
Fx: -10558859
Fy: -3982870
Fz: -31847100
Tx: 60445
Ty: 203702
Tz: -174978
1645112206271
Status: 0x00000000
Fx: -10569272
Fy: -3976842
Fz: -31843912
Tx: 60641
Ty: 204000
Tz: -175146
1645112206412
Status: 0x00000000
Fx: -10571778
Fy: -3982131
Fz: -31836404
Tx: 60245
Ty: 204103
Tz: -175027
1645112206561
Status: 0x00000000
Fx: -10572267
Fy: -3979414
Fz: -31844736
Tx: 60142
Ty: 203682
Tz: -174815
1645112206706
Status: 0x00000000
Fx: -10567886
Fy: -3978145
Fz: -31852568
Tx: 60227
Ty: 203939
Tz: -174977
1645112206853
Status: 0x00000000
Fx: -10569055
Fy: -3974448
Fz: -31839816
Tx: 60240
Ty: 203835
Tz: -175005
1645112206994
Status: 0x00000000
Fx: -10576108
Fy: -3981741
Fz: -31854450
Tx: 60480
Ty: 203968
Tz: -175256
1645112207134
Status: 0x00000000
Fx: -10574198
Fy: -3977101
Fz: -31840784
Tx: 60324
Ty: 203935
Tz: -174737
1645112207274
Status: 0x00000000
Fx: -10571245
Fy: -3976749
Fz: -31851264
Tx: 60293
Ty: 203709
Tz: -175204
1645112207421
Status: 0x00000000
Fx: -10574732
Fy: -3978470
Fz: -31836368
Tx: 60363
Ty: 203917
Tz: -175052
1645112207561
Status: 0x00000000
Fx: -10569556
Fy: -3976802
Fz: -31844220
Tx: 60413
Ty: 203726
Tz: -174882
1645112207702
Status: 0x00000000
Fx: -10566188
Fy: -3978993
Fz: -31845552
Tx: 60399
Ty: 203667
Tz: -174870
1645112207843
Status: 0x00000000
Fx: -10573550
Fy: -3975197
Fz: -31846972
Tx: 60290
Ty: 203785
Tz: -174829
1645112207984
Status: 0x00000000
Fx: -10576159
Fy: -3970416
Fz: -31853172
Tx: 60500
Ty: 203927
Tz: -175258
1645112208123
Status: 0x00000000
Fx: -10571370
Fy: -3973195
Fz: -31836770
Tx: 60312
Ty: 203876
Tz: -174666
1645112208268
Status: 0x00000000
Fx: -10565234
Fy: -3982320
Fz: -31845636
Tx: 60064
Ty: 203798
Tz: -175053
1645112208407
Status: 0x00000000
Fx: -10569354
Fy: -3983856
Fz: -31836504
Tx: 60267
Ty: 203857
Tz: -174916
1645112208554
Status: 0x00000000
Fx: -10573834
Fy: -3974859
Fz: -31844200
Tx: 60321
Ty: 203705
Tz: -175030
1645112208696
Status: 0x00000000
Fx: -10574250
Fy: -3984026
Fz: -31859616
Tx: 60295
Ty: 203875
Tz: -175056
1645112208837
Status: 0x00000000
Fx: -10571996
Fy: -3978855
Fz: -31842960
Tx: 60291
Ty: 203662
Tz: -174976
1645112208981
Status: 0x00000000
Fx: -10572465
Fy: -3985896
Fz: -31844228
Tx: 60277
Ty: 203639
Tz: -174865
1645112209122
Status: 0x00000000
Fx: -10563373
Fy: -3977890
Fz: -31840800
Tx: 60267
Ty: 203704
Tz: -175016
1645112209272
Status: 0x00000000
Fx: -10571813
Fy: -3976983
Fz: -31852388
Tx: 60193
Ty: 203825
Tz: -175017
1645112209412
Status: 0x00000000
Fx: -10565025
Fy: -3974787
Fz: -31855028
Tx: 60429
Ty: 203775
Tz: -174659
1645112209551
Status: 0x00000000
Fx: -10568410
Fy: -3978480
Fz: -31840300
Tx: 60474
Ty: 203731
Tz: -174784
1645112209691
Status: 0x00000000
Fx: -10576294
Fy: -3973170
Fz: -31849376
Tx: 60242
Ty: 203716
Tz: -174997
1645112209831
Status: 0x00000000
Fx: -10576836
Fy: -3978974
Fz: -31853342
Tx: 60196
Ty: 203813
Tz: -175013
1645112209973
Status: 0x00000000
Fx: -10581613
Fy: -3981754
Fz: -31858772
Tx: 60089
Ty: 203895
Tz: -175051
1645112210123
Status: 0x00000000
Fx: -10573208
Fy: -3982212
Fz: -31853060
Tx: 60031
Ty: 203873
Tz: -174912
1645112210269
Status: 0x00000000
Fx: -10574918
Fy: -3975273
Fz: -31855048
Tx: 60087
Ty: 203735
Tz: -174947
1645112210411
Status: 0x00000000
Fx: -10569522
Fy: -3982089
Fz: -31860724
Tx: 60366
Ty: 203740
Tz: -175296
1645112210551
Status: 0x00000000
Fx: -10572449
Fy: -3980681
Fz: -31852266
Tx: 59951
Ty: 203713
Tz: -174782
1645112210692
Status: 0x00000000
Fx: -10576174
Fy: -3982658
Fz: -31851868
Tx: 60135
Ty: 203548
Tz: -175133
1645112210833
Status: 0x00000000
Fx: -10570802
Fy: -3974772
Fz: -31852216
Tx: 60289
Ty: 203832
Tz: -175077
1645112210973
Status: 0x00000000
Fx: -10574817
Fy: -3970802
Fz: -31859070
Tx: 60146
Ty: 203839
Tz: -174873
1645112211114
Status: 0x00000000
Fx: -10567390
Fy: -3974527
Fz: -31860368
Tx: 59981
Ty: 203793
Tz: -174631
1645112211254
Status: 0x00000000
Fx: -10575959
Fy: -3976339
Fz: -31869058
Tx: 60285
Ty: 204044
Tz: -174877
1645112211400
Status: 0x00000000
Fx: -10575440
Fy: -3978564
Fz: -31855288
Tx: 60016
Ty: 203673
Tz: -175079
1645112211540
Status: 0x00000000
Fx: -10570248
Fy: -3977188
Fz: -31849832
Tx: 59988
Ty: 203696
Tz: -174996
1645112211680
Status: 0x00000000
Fx: -10571796
Fy: -3973094
Fz: -31855376
Tx: 60282
Ty: 203412
Tz: -175051
1645112211822
Status: 0x00000000
Fx: -10582509
Fy: -3974561
Fz: -31850820
Tx: 60326
Ty: 203584
Tz: -174768
1645112211963
Status: 0x00000000
Fx: -10573911
Fy: -3974871
Fz: -31854648
Tx: 60074
Ty: 203541
Tz: -175102
1645112212105
Status: 0x00000000
Fx: -10578637
Fy: -3969635
Fz: -31846062
Tx: 59906
Ty: 203778
Tz: -174905
1645112212246
Status: 0x00000000
Fx: -10578145
Fy: -3974851
Fz: -31839980
Tx: 60188
Ty: 203570
Tz: -174753
1645112212390
Status: 0x00000000
Fx: -10579496
Fy: -3976216
Fz: -31861384
Tx: 60014
Ty: 203828
Tz: -175161
1645112212532
Status: 0x00000000
Fx: -10576791
Fy: -3970531
Fz: -31847512
Tx: 59968
Ty: 203719
Tz: -174969
1645112212678
Status: 0x00000000
Fx: -10579559
Fy: -3980845
Fz: -31845986
Tx: 60135
Ty: 203533
Tz: -174797
1645112212826
Status: 0x00000000
Fx: -10575600
Fy: -3976083
Fz: -31854920
Tx: 59982
Ty: 203657
Tz: -175104
1645112212969
Status: 0x00000000
Fx: -10575400
Fy: -3967582
Fz: -31852802
Tx: 60063
Ty: 203721
Tz: -174739
1645112213110
Status: 0x00000000
Fx: -10583403
Fy: -3974688
Fz: -31858298
Tx: 60142
Ty: 203636
Tz: -174710
1645112213253
Status: 0x00000000
Fx: -10580250
Fy: -3968625
Fz: -31857648
Tx: 60090
Ty: 203558
Tz: -174777
1645112213394
Status: 0x00000000
Fx: -10577753
Fy: -3977103
Fz: -31852352
Tx: 59794
Ty: 203690
Tz: -174947
1645112213533
Status: 0x00000000
Fx: -10579932
Fy: -3977291
Fz: -31846536
Tx: 59952
Ty: 203836
Tz: -174966
1645112213675
Status: 0x00000000
Fx: -10580996
Fy: -3975900
Fz: -31849512
Tx: 59842
Ty: 203485
Tz: -174836
1645112213824
Status: 0x00000000
Fx: -10579803
Fy: -3977627
Fz: -31845124
Tx: 59746
Ty: 203588
Tz: -174682
1645112213965
Status: 0x00000000
Fx: -10578374
Fy: -3966723
Fz: -31842828
Tx: 59934
Ty: 203693
Tz: -174883
1645112214106
Status: 0x00000000
Fx: -10577353
Fy: -3973925
Fz: -31850648
Tx: 60032
Ty: 203419
Tz: -174957
1645112214247
Status: 0x00000000
Fx: -10578457
Fy: -3973476
Fz: -31848864
Tx: 60086
Ty: 203457
Tz: -174898
1645112214389
Status: 0x00000000
Fx: -10575042
Fy: -3976588
Fz: -31849176
Tx: 59828
Ty: 203428
Tz: -174856
1645112214533
Status: 0x00000000
Fx: -10576540
Fy: -3977370
Fz: -31858328
Tx: 59673
Ty: 203408
Tz: -175059
1645112214674
Status: 0x00000000
Fx: -10572683
Fy: -3971222
Fz: -31849044
Tx: 60006
Ty: 203458
