Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10570456, -3981493, -31832686, 60317, 203692, -174927,0, 
0x00000000, -10568596, -3977944, -31841946, 60306, 204018, -174952,143, 
0x00000000, -10558310, -3980198, -31841032, 60361, 203730, -175075,284, 
0x00000000, -10579811, -3978590, -31850368, 60460, 204041, -174970,488, 
0x00000000, -10558859, -3982870, -31847100, 60445, 203702, -174978,626, 
0x00000000, -10569272, -3976842, -31843912, 60641, 204000, -175146,767, 
0x00000000, -10571778, -3982131, -31836404, 60245, 204103, -175027,916, 
0x00000000, -10572267, -3979414, -31844736, 60142, 203682, -174815,1061, 
0x00000000, -10567886, -3978145, -31852568, 60227, 203939, -174977,1208, 
0x00000000, -10569055, -3974448, -31839816, 60240, 203835, -175005,1349, 
0x00000000, -10576108, -3981741, -31854450, 60480, 203968, -175256,1489, 
0x00000000, -10574198, -3977101, -31840784, 60324, 203935, -174737,1629, 
0x00000000, -10571245, -3976749, -31851264, 60293, 203709, -175204,1776, 
0x00000000, -10574732, -3978470, -31836368, 60363, 203917, -175052,1916, 
0x00000000, -10569556, -3976802, -31844220, 60413, 203726, -174882,2057, 
0x00000000, -10566188, -3978993, -31845552, 60399, 203667, -174870,2198, 
0x00000000, -10573550, -3975197, -31846972, 60290, 203785, -174829,2339, 
0x00000000, -10576159, -3970416, -31853172, 60500, 203927, -175258,2478, 
0x00000000, -10571370, -3973195, -31836770, 60312, 203876, -174666,2623, 
0x00000000, -10565234, -3982320, -31845636, 60064, 203798, -175053,2762, 
0x00000000, -10569354, -3983856, -31836504, 60267, 203857, -174916,2909, 
0x00000000, -10573834, -3974859, -31844200, 60321, 203705, -175030,3051, 
0x00000000, -10574250, -3984026, -31859616, 60295, 203875, -175056,3192, 
0x00000000, -10571996, -3978855, -31842960, 60291, 203662, -174976,3336, 
0x00000000, -10572465, -3985896, -31844228, 60277, 203639, -174865,3477, 
0x00000000, -10563373, -3977890, -31840800, 60267, 203704, -175016,3627, 
0x00000000, -10571813, -3976983, -31852388, 60193, 203825, -175017,3767, 
0x00000000, -10565025, -3974787, -31855028, 60429, 203775, -174659,3906, 
0x00000000, -10568410, -3978480, -31840300, 60474, 203731, -174784,4046, 
0x00000000, -10576294, -3973170, -31849376, 60242, 203716, -174997,4186, 
0x00000000, -10576836, -3978974, -31853342, 60196, 203813, -175013,4328, 
0x00000000, -10581613, -3981754, -31858772, 60089, 203895, -175051,4478, 
0x00000000, -10573208, -3982212, -31853060, 60031, 203873, -174912,4624, 
0x00000000, -10574918, -3975273, -31855048, 60087, 203735, -174947,4766, 
0x00000000, -10569522, -3982089, -31860724, 60366, 203740, -175296,4906, 
0x00000000, -10572449, -3980681, -31852266, 59951, 203713, -174782,5047, 
0x00000000, -10576174, -3982658, -31851868, 60135, 203548, -175133,5188, 
0x00000000, -10570802, -3974772, -31852216, 60289, 203832, -175077,5328, 
0x00000000, -10574817, -3970802, -31859070, 60146, 203839, -174873,5469, 
0x00000000, -10567390, -3974527, -31860368, 59981, 203793, -174631,5609, 
0x00000000, -10575959, -3976339, -31869058, 60285, 204044, -174877,5755, 
0x00000000, -10575440, -3978564, -31855288, 60016, 203673, -175079,5895, 
0x00000000, -10570248, -3977188, -31849832, 59988, 203696, -174996,6035, 
0x00000000, -10571796, -3973094, -31855376, 60282, 203412, -175051,6177, 
0x00000000, -10582509, -3974561, -31850820, 60326, 203584, -174768,6318, 
0x00000000, -10573911, -3974871, -31854648, 60074, 203541, -175102,6460, 
0x00000000, -10578637, -3969635, -31846062, 59906, 203778, -174905,6601, 
0x00000000, -10578145, -3974851, -31839980, 60188, 203570, -174753,6745, 
0x00000000, -10579496, -3976216, -31861384, 60014, 203828, -175161,6887, 
0x00000000, -10576791, -3970531, -31847512, 59968, 203719, -174969,7033, 
0x00000000, -10579559, -3980845, -31845986, 60135, 203533, -174797,7181, 
0x00000000, -10575600, -3976083, -31854920, 59982, 203657, -175104,7324, 
0x00000000, -10575400, -3967582, -31852802, 60063, 203721, -174739,7465, 
0x00000000, -10583403, -3974688, -31858298, 60142, 203636, -174710,7608, 
0x00000000, -10580250, -3968625, -31857648, 60090, 203558, -174777,7749, 
0x00000000, -10577753, -3977103, -31852352, 59794, 203690, -174947,7888, 
0x00000000, -10579932, -3977291, -31846536, 59952, 203836, -174966,8030, 
0x00000000, -10580996, -3975900, -31849512, 59842, 203485, -174836,8179, 
0x00000000, -10579803, -3977627, -31845124, 59746, 203588, -174682,8320, 
0x00000000, -10578374, -3966723, -31842828, 59934, 203693, -174883,8461, 
0x00000000, -10577353, -3973925, -31850648, 60032, 203419, -174957,8602, 
0x00000000, -10578457, -3973476, -31848864, 60086, 203457, -174898,8744, 
0x00000000, -10575042, -3976588, -31849176, 59828, 203428, -174856,8888, 
0x00000000, -10576540, -3977370, -31858328, 59673, 203408, -175059,9029, 
0x00000000, -10572683, -3971222, -31849044, 60006, 203458, -174799,9175, 
0x00000000, -10583365, -3976728, -31842908, 59805, 203429, -174658,9316, 
0x00000000, -10588973, -3972198, -31835976, 59770, 203513, -174550,9458, 
0x00000000, -10579948, -3977934, -31840272, 59984, 203709, -174960,9600, 
0x00000000, -10581604, -3971587, -31845276, 59716, 203502, -174891,9745, 
0x00000000, -10578813, -3979801, -31840008, 59778, 203634, -175128,9894, 
0x00000000, -10573922, -3972884, -31832852, 59908, 203567, -174761,10036, 
0x00000000, -10573432, -3979148, -31839760, 59635, 203693, -174708,10178, 
0x00000000, -10581388, -3971306, -31843460, 59978, 203561, -174806,10322, 
