Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10632756, -4193541, -31416424, 62964, 203963, -166789,0, 
0x00000000, -10635104, -4197379, -31414212, 62856, 204278, -166725,165, 
0x00000000, -10628664, -4182143, -31412680, 62845, 204136, -166777,308, 
0x00000000, -10641247, -4180960, -31413038, 62914, 204059, -166741,458, 
0x00000000, -10635594, -4187712, -31414384, 63064, 204222, -166822,599, 
0x00000000, -10628773, -4187205, -31416146, 62965, 204170, -166697,740, 
0x00000000, -10629110, -4191083, -31421580, 62874, 204004, -166862,888, 
0x00000000, -10630832, -4180942, -31417432, 63125, 203835, -166775,1046, 
0x00000000, -10637033, -4187940, -31416548, 62648, 204131, -166793,1198, 
0x00000000, -10632021, -4179656, -31422356, 62913, 204031, -166593,1340, 
0x00000000, -10627965, -4191377, -31405592, 62879, 204064, -166502,1487, 
0x00000000, -10635239, -4190315, -31420604, 62809, 204041, -166725,1633, 
0x00000000, -10633441, -4181783, -31425760, 62750, 204268, -166950,1779, 
0x00000000, -10630580, -4185046, -31419194, 62712, 204254, -167026,1922, 
0x00000000, -10629809, -4180875, -31412068, 62629, 203970, -166922,2071, 
0x00000000, -10628565, -4176821, -31419036, 62793, 204065, -166952,2211, 
0x00000000, -10630640, -4182636, -31412696, 62703, 204231, -166673,2351, 
0x00000000, -10633704, -4182225, -31421836, 62800, 204213, -166560,2500, 
0x00000000, -10634018, -4186659, -31417320, 62689, 204309, -166695,2646, 
0x00000000, -10629503, -4188046, -31414954, 62305, 203958, -166860,2792, 
0x00000000, -10644467, -4173376, -31418836, 62738, 204327, -166637,2934, 
0x00000000, -10627766, -4183385, -31527204, 62910, 204606, -166690,3077, 
0x00000000, -10626438, -4190295, -31613996, 63050, 205314, -166856,3220, 
0x00000000, -10612207, -4179581, -31689588, 63371, 205827, -166911,3359, 
0x00000000, -10626102, -4187669, -31793616, 63151, 206417, -166733,3502, 
0x00000000, -10614997, -4171424, -31871076, 63495, 207187, -166769,3645, 
0x00000000, -10620559, -4162035, -31953532, 63628, 207556, -166876,3785, 
0x00000000, -10613848, -4152114, -32006912, 63494, 208126, -166359,3926, 
0x00000000, -10646410, -4175325, -31927018, 62430, 207801, -166628,4066, 
0x00000000, -10627968, -4151132, -32064308, 62334, 208605, -166763,4208, 
0x00000000, -10609253, -4147496, -32148488, 62622, 209134, -166440,4349, 
0x00000000, -10607577, -4145441, -32227620, 62341, 209936, -166384,4489, 
0x00000000, -10609860, -4138178, -32297168, 62298, 210185, -166182,4631, 
0x00000000, -10603778, -4153782, -32386492, 63756, 210314, -166571,4771, 
0x00000000, -10582159, -4143751, -32469432, 64296, 210840, -166417,4912, 
0x00000000, -10578168, -4153683, -32543292, 64384, 211172, -166404,5055, 
0x00000000, -10597899, -4150148, -32603820, 64667, 211566, -166499,5198, 
0x00000000, -10580657, -4154618, -32692754, 65175, 212280, -166243,5341, 
0x00000000, -10586759, -4147949, -32765596, 65150, 212483, -166378,5481, 
0x00000000, -10575333, -4144833, -32810432, 65102, 213141, -166459,5621, 
0x00000000, -10559255, -4155898, -32866440, 65207, 213115, -166633,5763, 
0x00000000, -10549212, -4160280, -32932100, 65200, 213898, -166450,5903, 
0x00000000, -10551344, -4156865, -33011976, 65208, 214594, -166438,6044, 
0x00000000, -10556369, -4146369, -33086348, 64961, 215522, -166260,6188, 
0x00000000, -10588416, -4130713, -33156736, 64487, 216443, -166565,6329, 
0x00000000, -10525972, -4135221, -33190620, 64842, 216651, -166045,6471, 
0x00000000, -10522857, -4154184, -33276880, 64961, 217155, -166387,6611, 
0x00000000, -10510452, -4153958, -33360580, 64684, 218025, -166388,6752, 
0x00000000, -10513091, -4176457, -33442498, 64977, 218795, -166133,6892, 
0x00000000, -10510353, -4150253, -33534110, 65312, 219158, -166303,7034, 
0x00000000, -10483907, -4166012, -33616648, 65534, 220125, -166417,7176, 
0x00000000, -10492912, -4208565, -33640880, 65791, 220249, -166529,7318, 
0x00000000, -10514289, -4266702, -33651712, 65565, 220573, -166927,7459, 
0x00000000, -10534092, -4288024, -33652196, 65981, 221092, -167415,7733, 
0x00000000, -10548833, -4281006, -33628084, 66394, 221506, -167502,7877, 
0x00000000, -10508994, -4236305, -33547634, 65931, 221051, -166809,8018, 
0x00000000, -10560186, -4298690, -33525404, 65994, 220946, -167391,8160, 
0x00000000, -10536081, -4271355, -33498272, 66373, 220982, -167396,8310, 
0x00000000, -10557900, -4277894, -33444540, 66651, 220771, -167292,8451, 
0x00000000, -10548778, -4257545, -33405664, 66869, 220482, -167146,8592, 
0x00000000, -10525575, -4289157, -33421648, 67392, 221015, -167483,8744, 
0x00000000, -10532237, -4263243, -33432648, 67801, 221540, -167216,8891, 
0x00000000, -10522821, -4259796, -33437292, 67694, 221774, -167198,9041, 
0x00000000, -10555009, -4277362, -33440482, 67880, 222002, -167384,9188, 
